human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
CMKLR2,cmklr2,3,6,4,17,42.86,85.71
CNR1,cnr1,27,28,3,2,90.0,93.33
CNR2,cnr2,17,18,4,3,80.95,85.71
CRHR1,crhr1,6,6,0,5,100.0,100.0
CRHR2,crhr2,0,0,0,8,0.0,0.0
CXCR1,cxcr1,6,7,4,13,60.0,70.0
CXCR2,cxcr2,5,5,4,4,55.56,55.56
CXCR3,cxcr3.1,4,5,4,10,50.0,62.5
CXCR3,cxcr3.2,4,4,4,10,50.0,50.0
CXCR4,cxcr4a,4,6,3,13,57.14,85.71
CXCR4,cxcr4b,0,2,2,18,0.0,100.0
CXCR5,cxcr5,4,5,4,5,50.0,62.5
CYSLTR1,cysltr1,0,0,0,22,0.0,0.0
DRD1,drd1a,15,17,3,1,83.33,94.44
DRD1,drd1b,17,19,2,0,89.47,100.0
DRD2,drd2a,11,13,3,1,78.57,92.86
DRD2,drd2b,10,11,4,1,71.43,78.57
DRD3,drd3,15,15,1,3,93.75,93.75
DRD4,drd4a,12,14,5,6,70.59,82.35
DRD4,drd4b,1,1,0,22,100.0,100.0
EDNRA,ednraa,17,17,1,0,94.44,94.44
EDNRA,ednrab,11,13,3,4,78.57,92.86
EDNRB,ednrba,16,16,2,2,88.89,88.89
EDNRB,ednrbb,15,17,3,2,83.33,94.44
F2R,f2r,11,13,4,9,73.33,86.67
F2RL1,f2rl1.1,11,12,6,10,64.71,70.59
F2RL1,f2rl1.2,12,17,7,8,63.16,89.47
F2RL2,f2rl2,8,11,7,6,53.33,73.33
FPR1,fpr1,2,4,3,10,40.0,80.0
FSHR,fshr,18,20,4,5,81.82,90.91
FZD1,fzd1,22,25,3,0,88.0,100.0
FZD10,fzd10,24,25,1,2,96.0,100.0
FZD2,fzd2,22,24,2,0,91.67,100.0
FZD3,fzd3a,21,23,2,1,91.3,100.0
FZD3,fzd3b,20,22,2,2,90.91,100.0
FZD4,fzd4,22,25,5,2,81.48,92.59
FZD5,fzd5,20,21,2,3,90.91,95.45
FZD6,fzd6,20,21,1,5,95.24,100.0
FZD7,fzd7a,19,22,3,1,86.36,100.0
FZD7,fzd7b,20,22,2,1,90.91,100.0
FZD8,fzd8a,25,28,3,1,89.29,100.0
FZD8,fzd8b,22,26,5,2,81.48,96.3
FZD9,fzd9a,18,20,3,3,85.71,95.24
FZD9,fzd9b,20,21,2,2,90.91,95.45
GABBR1,gabbr1a,1,1,0,25,100.0,100.0
GABBR1,gabbr1b,1,1,0,25,100.0,100.0
GABBR2,gabbr2,22,22,0,0,100.0,100.0
GALR1,galr1a,17,21,4,2,80.95,100.0
GALR1,galr1b,13,15,4,6,76.47,88.24
GALR2,galr2a,10,12,2,4,83.33,100.0
GALR2,galr2b,0,0,0,16,0.0,0.0
GCGR,gcgra,0,0,0,7,0.0,0.0
GCGR,gcgrb,4,4,1,2,80.0,80.0
GHRHR,ghrhra,2,2,2,5,50.0,50.0
GHRHR,ghrhrb,1,1,1,7,50.0,50.0
GHSR,ghsra,9,10,1,5,90.0,100.0
GHSR,ghsrb,9,10,2,4,81.82,90.91
GIPR,gipr,4,5,1,3,80.0,100.0
GPBAR1,gpbar1,0,4,6,15,0.0,66.67
GPER1,gper1,1,1,1,17,50.0,50.0
GPR101,gpr101,3,10,7,10,30.0,100.0
GPR12,gpr12,18,20,4,4,81.82,90.91
GPR132,gpr132a,7,9,5,10,58.33,75.0
GPR132,gpr132b,7,9,5,10,58.33,75.0
GPR135,gpr135,6,10,6,11,50.0,83.33
GPR139,gpr139,12,14,2,5,85.71,100.0
GPR142,gpr142,7,7,1,3,87.5,87.5
GPR146,gpr146,7,8,7,2,50.0,57.14
GPR151,gpr151,2,3,4,22,33.33,50.0
GPR153,gpr153,18,20,3,3,85.71,95.24
GPR156,gpr156,0,0,1,19,0.0,0.0
GPR158,gpr158a,15,16,2,13,88.24,94.12
GPR158,gpr158b,20,24,7,3,74.07,88.89
GPR160,gpr160,0,1,3,9,0.0,33.33
GPR161,gpr161b,15,19,9,3,62.5,79.17
GPR17,gpr17,15,17,2,15,88.24,100.0
GPR171,gpr171,9,17,8,1,52.94,100.0
GPR173,gpr173,14,16,2,4,87.5,100.0
GPR174,gpr174,10,10,4,6,71.43,71.43
GPR176,gpr176,12,13,3,12,80.0,86.67
GPR18,gpr18,10,12,4,10,71.43,85.71
GPR183,gpr183a,18,19,4,4,81.82,86.36
GPR183,gpr183b,20,21,3,3,86.96,91.3
GPR19,gpr19,6,12,8,13,42.86,85.71
GPR20,gpr20,0,0,2,24,0.0,0.0
GPR22,gpr22a,19,20,4,7,82.61,86.96
GPR22,gpr22b,20,20,3,7,86.96,86.96
GPR25,gpr25,0,0,0,13,0.0,0.0
GPR26,gpr26,17,20,4,3,80.95,95.24
GPR27,gpr27,9,12,3,7,75.0,100.0
GPR3,gpr3,11,14,7,6,61.11,77.78
GPR34,gpr34a,10,14,5,9,66.67,93.33
GPR34,gpr34b,10,11,5,9,66.67,73.33
GPR35,gpr35.1,1,4,8,13,11.11,44.44
GPR37,gpr37a,10,17,10,1,50.0,85.0
GPR37,gpr37b,13,16,6,2,68.42,84.21
GPR37L1,gpr37l1a,0,3,5,15,0.0,60.0
GPR37L1,gpr37l1b,8,10,6,6,57.14,71.43
GPR39,gpr39,1,2,1,29,50.0,100.0
GPR4,gpr4,18,20,3,1,85.71,95.24
GPR45,gpr45,5,6,4,22,55.56,66.67
GPR52,gpr52,24,27,4,4,85.71,96.43
GPR55,gpr55a,2,7,7,14,22.22,77.78
GPR6,gpr6,13,14,3,4,81.25,87.5
GPR61,gpr61,8,8,3,14,72.73,72.73
GPR63,gpr63,25,25,3,2,89.29,89.29
GPR65,gpr65,4,9,7,12,36.36,81.82
GPR75,gpr75,1,1,4,15,20.0,20.0
GPR78,gpr78a,17,22,8,2,68.0,88.0
GPR78,gpr78b,16,23,8,3,66.67,95.83
GPR84,gpr84,14,17,7,2,66.67,80.95
GPR85,gpr85,0,0,0,20,0.0,0.0
GPRC5B,gprc5ba,13,18,9,1,59.09,81.82
GPRC5B,gprc5bb,12,16,6,5,66.67,88.89
GPRC5C,gprc5c,1,1,1,22,50.0,50.0
GPRC6A,gprc6a,1,2,2,22,33.33,66.67
GRM1,grm1a,0,1,4,13,0.0,25.0
GRM1,grm1b,15,16,2,0,88.24,94.12
GRM2,grm2a,1,2,2,22,33.33,66.67
GRM2,grm2b,20,24,4,1,83.33,100.0
GRM3,grm3,24,25,1,2,96.0,100.0
GRM4,grm4,18,22,5,0,78.26,95.65
GRM5,grm5a,0,1,2,17,0.0,50.0
GRM5,grm5b,17,18,2,0,89.47,94.74
GRM6,grm6a,13,15,2,11,86.67,100.0
GRM6,grm6b,22,26,4,0,84.62,100.0
GRM8,grm8a,12,14,2,13,85.71,100.0
GRM8,grm8b,12,15,3,12,80.0,100.0
HCAR1,hcar1-1,6,11,9,13,40.0,73.33
HCAR1,hcar1-2,5,11,9,14,35.71,78.57
HCRTR2,hcrtr2,4,5,1,16,80.0,100.0
HRH1,hrh1,0,0,1,18,0.0,0.0
HRH2,hrh2a,0,0,1,18,0.0,0.0
HRH2,hrh2b,4,6,5,10,44.44,66.67
HRH3,hrh3,13,15,4,4,76.47,88.24
HTR1A,htr1aa,15,15,1,0,93.75,93.75
HTR1A,htr1ab,11,12,3,2,78.57,85.71
HTR1B,htr1b,12,13,4,0,75.0,81.25
HTR1D,htr1d,12,15,4,1,75.0,93.75
HTR1F,htr1fa,14,18,7,7,66.67,85.71
HTR1F,htr1fb,15,20,9,4,62.5,83.33
HTR2A,htr2ab,15,19,6,0,71.43,90.48
HTR2B,htr2b,10,12,4,9,71.43,85.71
HTR4,htr4,8,8,1,19,88.89,88.89
HTR5A,htr5aa,10,11,1,8,90.91,100.0
HTR5A,htr5ab,10,10,2,7,83.33,83.33
HTR6,htr6,10,11,3,10,76.92,84.62
HTR7,htr7a,24,24,2,1,92.31,92.31
KISS1R,kiss1ra,12,12,4,8,75.0,75.0
KISS1R,kiss1rb,11,12,2,11,84.62,92.31
LGR4,lgr4,17,19,2,4,89.47,100.0
LGR6,lgr6,11,15,4,9,73.33,100.0
LHCGR,lhcgr,18,20,3,1,85.71,95.24
LPAR1,lpar1,23,23,1,2,95.83,95.83
LPAR2,lpar2a,18,22,7,1,72.0,88.0
LPAR2,lpar2b,20,21,3,3,86.96,91.3
LPAR3,lpar3,17,17,5,2,77.27,77.27
LPAR4,lpar4,0,0,0,24,0.0,0.0
LPAR5,lpar5a,2,7,8,10,20.0,70.0
LPAR5,lpar5b,1,2,3,16,25.0,50.0
LPAR6,lpar6a,13,13,0,6,100.0,100.0
LPAR6,lpar6b,1,2,2,16,33.33,66.67
LTB4R,ltb4r,4,6,6,8,40.0,60.0
LTB4R2,ltb4r2a,6,8,4,12,60.0,80.0
LTB4R2,ltb4r2b,6,7,5,11,54.55,63.64
MC1R,mc1r,4,4,3,14,57.14,57.14
MC2R,mc2r,0,0,2,25,0.0,0.0
MC3R,mc3r,11,14,4,1,73.33,93.33
MC4R,mc4r,10,11,3,7,76.92,84.62
MC5R,mc5ra,12,12,1,11,92.31,92.31
MC5R,mc5rb,13,13,0,11,100.0,100.0
MCHR1,mchr1a,0,0,1,21,0.0,0.0
MCHR1,mchr1b,0,2,2,20,0.0,100.0
MCHR2,mchr2a,13,14,1,1,92.86,100.0
MCHR2,mchr2b,0,0,1,14,0.0,0.0
MLNR,mlnr,5,10,5,7,50.0,100.0
MTNR1A,mtnr1aa,13,15,2,4,86.67,100.0
MTNR1A,mtnr1ab,12,15,3,4,80.0,100.0
MTNR1A,mtnr1al,2,3,1,16,66.67,100.0
MTNR1B,mtnr1ba,13,14,2,1,86.67,93.33
MTNR1B,mtnr1bb,14,15,2,0,87.5,93.75
NMUR1,nmur1a,13,15,3,2,81.25,93.75
NPBWR2,npbwr2a,3,7,11,7,21.43,50.0
NPBWR2,npbwr2b,12,13,1,8,92.31,100.0
NPFFR1,npffr1,0,1,2,18,0.0,50.0
NPFFR1,npffr1l1,0,0,0,20,0.0,0.0
NPFFR1,npffr1l2,0,1,1,19,0.0,100.0
NPFFR1,npffr1l3,15,17,4,1,78.95,89.47
NPFFR2,npffr2a,22,23,3,1,88.0,92.0
NPFFR2,npffr2b,19,19,4,3,82.61,82.61
NPY1R,npy1r,18,18,2,3,90.0,90.0
NPY2R,npy2r,0,0,0,15,0.0,0.0
NPY2R,npy2rl,7,10,5,3,58.33,83.33
NPY4R,npy4r,13,16,6,1,68.42,84.21
NTSR1,ntsr1,11,11,0,16,100.0,100.0
OPN1LW,opn1lw1,26,28,2,2,92.86,100.0
OPN1SW,opn1sw1,22,24,5,5,81.48,88.89
OPN3,opn3,12,19,11,2,52.17,82.61
OPN4,opn4a,23,26,3,1,88.46,100.0
OPN4,opn4b,25,27,2,0,92.59,100.0
OPN5,opn5,25,26,1,2,96.15,100.0
OPRD1,oprd1a,0,3,4,19,0.0,75.0
OPRD1,oprd1b,6,6,3,14,66.67,66.67
OPRK1,oprk1,3,6,5,14,37.5,75.0
OPRL1,oprl1,0,0,1,19,0.0,0.0
OPRM1,oprm1,12,13,2,3,85.71,92.86
OXGR1,oxgr1a.1,14,17,3,3,82.35,100.0
OXGR1,oxgr1a.2,15,19,4,1,78.95,100.0
OXGR1,oxgr1a.3,15,19,4,1,78.95,100.0
OXGR1,oxgr1b,1,2,2,17,33.33,66.67
OXTR,oxtra,14,15,2,1,87.5,93.75
OXTR,oxtrb,14,16,2,1,87.5,100.0
P2RY1,p2ry1,0,1,1,26,0.0,100.0
P2RY10,p2ry10,9,10,2,12,81.82,90.91
P2RY11,p2ry11,0,1,3,16,0.0,33.33
P2RY12,p2ry12,8,8,2,6,80.0,80.0
P2RY13,p2ry13,2,3,2,17,50.0,75.0
P2RY2,p2ry2.1,1,1,0,20,100.0,100.0
P2RY2,p2ry2.2,10,11,1,10,90.91,100.0
P2RY2,p2ry2.3,1,1,0,20,100.0,100.0
P2RY8,p2ry8,18,20,5,4,78.26,86.96
PITPNM3,pitpnm3,0,2,5,17,0.0,40.0
PROKR1,prokr1a,14,17,4,3,77.78,94.44
PROKR1,prokr1b,15,18,4,2,78.95,94.74
PTAFR,ptafr,1,1,0,23,100.0,100.0
PTGER1,ptger1a,6,10,6,11,50.0,83.33
PTGER1,ptger1b,10,13,4,9,71.43,92.86
PTGER1,ptger1c,8,11,9,6,47.06,64.71
PTGER2,ptger2a,7,9,7,10,50.0,64.29
PTGER2,ptger2b,2,5,11,11,15.38,38.46
PTGER3,ptger3,18,20,4,6,81.82,90.91
PTGER4,ptger4a,17,19,4,3,80.95,90.48
PTGER4,ptger4b,16,17,2,6,88.89,94.44
PTGER4,ptger4c,12,15,8,4,60.0,75.0
PTGFR,ptgfr,7,12,8,9,46.67,80.0
PTGIR,ptgir,15,15,3,8,83.33,83.33
PTH1R,pth1r,5,5,0,8,100.0,100.0
PTH2R,pth2ra,2,2,0,15,100.0,100.0
PTH2R,pth2rb,8,9,1,8,88.89,100.0
QRFPR,qrfpra,2,2,1,19,66.67,66.67
QRFPR,qrfprb,11,14,6,5,64.71,82.35
RGR,rgra,18,24,10,1,64.29,85.71
RGR,rgrb,17,22,9,3,65.38,84.62
RHO,rho,29,31,2,0,93.55,100.0
RRH,rrh,18,18,0,4,100.0,100.0
RXFP1,rxfp1,22,23,3,1,88.0,92.0
RXFP2,rxfp2a,12,17,5,9,70.59,100.0
RXFP2,rxfp2b,11,15,5,10,68.75,93.75
RXFP3,rxfp3,0,0,2,18,0.0,0.0
S1PR1,s1pr1,23,28,7,0,76.67,93.33
S1PR2,s1pr2,14,16,6,5,70.0,80.0
S1PR3,s1pr3a,20,24,8,5,71.43,85.71
S1PR4,s1pr4,6,6,1,19,85.71,85.71
S1PR5,s1pr5a,24,25,3,2,88.89,92.59
S1PR5,s1pr5b,24,24,1,4,96.0,96.0
SMO,smo,23,24,2,2,92.0,96.0
SSTR1,sstr1a,13,15,4,8,76.47,88.24
SSTR2,sstr2a,5,5,0,12,100.0,100.0
SSTR2,sstr2b,4,4,2,11,66.67,66.67
SSTR3,sstr3,7,8,5,8,58.33,66.67
SSTR5,sstr5,11,12,4,5,73.33,80.0
TAAR1,taar1b,16,17,4,8,80.0,85.0
TACR1,tacr1a,16,21,6,2,72.73,95.45
TACR1,tacr1b,15,19,4,5,78.95,100.0
TACR2,tacr2,18,19,1,2,94.74,100.0
TACR3,tacr3a,13,15,5,8,72.22,83.33
TACR3,tacr3l,0,2,3,23,0.0,66.67
TBXA2R,tbxa2r,10,13,3,16,76.92,100.0
TRHR,trhra,12,13,4,3,75.0,81.25
TRHR,trhrb,10,13,6,3,62.5,81.25
TSHR,tshr,16,16,1,1,94.12,94.12
VIPR1,vipr1a,2,2,1,13,66.67,66.67
VIPR1,vipr1b,3,6,3,10,50.0,100.0
VIPR2,vipr2,4,4,0,3,100.0,100.0
XCR1,xcr1a.1,4,8,8,6,33.33,66.67
XCR1,xcr1b.1,2,7,10,6,16.67,58.33
XCR1,xcr1b.2,3,6,6,9,33.33,66.67
