human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
F2RL1,f2rl1.1,11,18,9,1,55.0,90.0
F2RL1,f2rl1.2,0,1,1,20,0.0,100.0
F2RL2,f2rl2,10,16,9,3,52.63,84.21
FPR1,fpr1,1,4,4,14,20.0,80.0
FSHR,fshr,1,1,0,19,100.0,100.0
FZD1,fzd1,23,23,0,0,100.0,100.0
FZD10,fzd10,0,0,0,1,0.0,0.0
FZD2,fzd2,0,1,2,17,0.0,50.0
FZD3,fzd3a,2,6,7,14,22.22,66.67
FZD3,fzd3b,6,6,1,16,85.71,85.71
FZD4,fzd4,23,24,1,0,95.83,100.0
FZD5,fzd5,0,0,0,25,0.0,0.0
FZD6,fzd6,1,3,2,21,33.33,100.0
FZD7,fzd7a,0,0,0,22,0.0,0.0
FZD7,fzd7b,0,1,1,21,0.0,100.0
FZD8,fzd8a,0,0,0,0,0.0,0.0
FZD8,fzd8b,0,0,0,0,0.0,0.0
FZD9,fzd9a,0,0,1,22,0.0,0.0
FZD9,fzd9b,1,2,6,16,14.29,28.57
GABBR1,gabbr1a,25,26,1,1,96.15,100.0
GABBR1,gabbr1b,17,18,1,9,94.44,100.0
GABBR2,gabbr2,28,28,0,0,100.0,100.0
GALR1,galr1a,15,17,2,0,88.24,100.0
GALR1,galr1b,10,12,5,2,66.67,80.0
GALR2,galr2a,13,19,6,2,68.42,100.0
GALR2,galr2b,12,17,8,1,60.0,85.0
GCGR,gcgra,4,8,5,11,44.44,88.89
GCGR,gcgrb,6,13,10,4,37.5,81.25
GHRHR,ghrhra,0,0,1,21,0.0,0.0
GHRHR,ghrhrb,0,0,1,21,0.0,0.0
GHSR,ghsra,15,15,0,1,100.0,100.0
GHSR,ghsrb,16,16,0,0,100.0,100.0
GIPR,gipr,9,9,0,10,100.0,100.0
GPBAR1,gpbar1,0,1,3,17,0.0,33.33
GPER1,gper1,7,8,2,10,77.78,88.89
GPR101,gpr101,9,12,6,4,60.0,80.0
GPR12,gpr12,18,20,2,0,90.0,100.0
GPR132,gpr132a,12,16,4,7,75.0,100.0
GPR132,gpr132b,0,1,4,19,0.0,25.0
GPR135,gpr135,7,13,7,3,50.0,92.86
GPR139,gpr139,15,16,2,2,88.24,94.12
GPR142,gpr142,0,3,4,13,0.0,75.0
GPR146,gpr146,14,17,5,1,73.68,89.47
GPR151,gpr151,1,3,5,15,16.67,50.0
GPR153,gpr153,20,22,2,1,90.91,100.0
GPR156,gpr156,6,12,8,4,42.86,85.71
GPR158,gpr158a,16,17,3,1,84.21,89.47
GPR158,gpr158b,14,16,4,2,77.78,88.89
GPR160,gpr160,2,5,10,15,16.67,41.67
GPR161,gpr161b,15,18,3,2,83.33,100.0
GPR17,gpr17,2,3,1,21,66.67,100.0
GPR171,gpr171,18,21,5,1,78.26,91.3
GPR173,gpr173,18,18,0,3,100.0,100.0
GPR174,gpr174,6,7,2,12,75.0,87.5
GPR176,gpr176,10,15,6,3,62.5,93.75
GPR18,gpr18,14,19,6,3,70.0,95.0
GPR183,gpr183a,11,16,8,2,57.89,84.21
GPR183,gpr183b,0,0,0,21,0.0,0.0
GPR19,gpr19,13,15,5,2,72.22,83.33
GPR20,gpr20,17,18,2,2,89.47,94.74
GPR22,gpr22a,0,0,1,20,0.0,0.0
GPR22,gpr22b,18,19,2,1,90.0,95.0
GPR25,gpr25,8,16,9,4,47.06,94.12
GPR26,gpr26,15,19,5,3,75.0,95.0
GPR27,gpr27,10,16,6,1,62.5,100.0
GPR3,gpr3,0,1,4,18,0.0,25.0
GPR34,gpr34a,16,18,4,1,80.0,90.0
GPR34,gpr34b,0,2,7,14,0.0,28.57
GPR35,gpr35.1,0,0,3,21,0.0,0.0
GPR37,gpr37a,0,0,0,20,0.0,0.0
GPR37,gpr37b,16,19,3,1,84.21,100.0
GPR37L1,gpr37l1a,2,3,1,19,66.67,100.0
GPR37L1,gpr37l1b,9,9,1,12,90.0,90.0
GPR39,gpr39,18,20,2,1,90.0,100.0
GPR4,gpr4,21,22,2,0,91.3,95.65
GPR45,gpr45,16,17,2,4,88.89,94.44
GPR52,gpr52,4,4,0,17,100.0,100.0
GPR55,gpr55a,2,2,0,19,100.0,100.0
GPR6,gpr6,15,19,4,1,78.95,100.0
GPR61,gpr61,15,16,1,5,93.75,100.0
GPR63,gpr63,4,4,0,18,100.0,100.0
GPR65,gpr65,0,1,5,17,0.0,20.0
GPR75,gpr75,12,13,1,7,92.31,100.0
GPR78,gpr78a,0,3,5,14,0.0,60.0
GPR78,gpr78b,12,17,6,1,66.67,94.44
GPR84,gpr84,14,18,4,2,77.78,100.0
GPR85,gpr85,21,21,0,2,100.0,100.0
GPRC5B,gprc5ba,12,17,8,2,60.0,85.0
GPRC5B,gprc5bb,13,18,7,2,65.0,90.0
GPRC5C,gprc5c,17,19,2,2,89.47,100.0
GPRC6A,gprc6a,7,8,1,14,87.5,100.0
GRM1,grm1a,22,22,0,1,100.0,100.0
GRM1,grm1b,20,22,2,1,90.91,100.0
GRM2,grm2a,2,3,3,20,40.0,60.0
GRM2,grm2b,4,4,1,20,80.0,80.0
GRM3,grm3,23,23,0,0,100.0,100.0
GRM4,grm4,8,8,0,15,100.0,100.0
GRM5,grm5a,20,20,0,1,100.0,100.0
GRM5,grm5b,20,20,0,1,100.0,100.0
GRM6,grm6a,9,12,4,8,69.23,92.31
GRM6,grm6b,17,20,4,0,80.95,95.24
GRM8,grm8a,23,24,1,1,95.83,100.0
GRM8,grm8b,23,24,1,1,95.83,100.0
HCAR1,hcar1-1,12,15,8,3,60.0,75.0
HCAR1,hcar1-2,0,1,1,22,0.0,100.0
HCRTR2,hcrtr2,16,18,2,1,88.89,100.0
HRH1,hrh1,0,0,0,0,0.0,0.0
HRH2,hrh2a,16,16,2,1,88.89,88.89
HRH2,hrh2b,13,15,6,0,68.42,78.95
HRH3,hrh3,15,15,0,8,100.0,100.0
HTR1A,htr1aa,19,19,0,1,100.0,100.0
HTR1A,htr1ab,11,11,0,9,100.0,100.0
HTR1B,htr1b,9,10,2,9,81.82,90.91
HTR1D,htr1d,18,19,2,1,90.0,95.0
HTR1F,htr1fa,12,15,3,2,80.0,100.0
HTR1F,htr1fb,13,17,4,0,76.47,100.0
HTR2A,htr2ab,15,19,4,1,78.95,100.0
HTR2B,htr2b,18,19,2,2,90.0,95.0
HTR4,htr4,18,20,2,2,90.0,100.0
HTR5A,htr5aa,19,19,0,2,100.0,100.0
HTR5A,htr5ab,7,7,0,14,100.0,100.0
HTR6,htr6,11,13,2,7,84.62,100.0
HTR7,htr7a,17,17,0,2,100.0,100.0
KISS1R,kiss1ra,11,15,5,3,68.75,93.75
KISS1R,kiss1rb,9,13,6,4,60.0,86.67
LGR4,lgr4,14,18,5,8,73.68,94.74
LGR6,lgr6,0,0,1,20,0.0,0.0
LHCGR,lhcgr,16,18,3,1,84.21,94.74
LPAR1,lpar1,20,21,1,0,95.24,100.0
LPAR2,lpar2a,15,18,5,1,75.0,90.0
LPAR2,lpar2b,18,20,3,0,85.71,95.24
LPAR3,lpar3,18,19,2,1,90.0,95.0
LPAR4,lpar4,18,20,2,1,90.0,100.0
LPAR5,lpar5a,4,9,12,2,25.0,56.25
LPAR5,lpar5b,0,1,5,13,0.0,20.0
LPAR6,lpar6a,15,19,4,1,78.95,100.0
LPAR6,lpar6b,13,17,5,2,72.22,94.44
LTB4R,ltb4r,13,17,7,0,65.0,85.0
LTB4R2,ltb4r2a,0,0,3,19,0.0,0.0
LTB4R2,ltb4r2b,0,3,5,17,0.0,60.0
MC1R,mc1r,12,12,1,5,92.31,92.31
MC2R,mc2r,0,2,4,15,0.0,50.0
MC3R,mc3r,0,0,3,15,0.0,0.0
MC4R,mc4r,5,5,0,12,100.0,100.0
MC5R,mc5ra,10,11,1,8,90.91,100.0
MC5R,mc5rb,2,2,0,17,100.0,100.0
MCHR1,mchr1a,1,1,1,21,50.0,50.0
MCHR1,mchr1b,1,1,1,21,50.0,50.0
MCHR2,mchr2a,0,0,2,19,0.0,0.0
MCHR2,mchr2b,0,0,1,20,0.0,0.0
MLNR,mlnr,9,11,3,9,75.0,91.67
MTNR1A,mtnr1aa,0,1,1,20,0.0,100.0
MTNR1A,mtnr1ab,18,19,1,2,94.74,100.0
MTNR1A,mtnr1al,13,14,1,7,92.86,100.0
MTNR1B,mtnr1ba,1,2,2,14,33.33,66.67
MTNR1B,mtnr1bb,1,2,4,12,20.0,40.0
NMUR1,nmur1a,12,16,6,3,66.67,88.89
NPBWR2,npbwr2a,16,18,2,2,88.89,100.0
NPBWR2,npbwr2b,16,16,0,4,100.0,100.0
NPFFR1,npffr1,14,14,0,5,100.0,100.0
NPFFR1,npffr1l1,5,5,0,14,100.0,100.0
NPFFR1,npffr1l2,16,18,2,1,88.89,100.0
NPFFR1,npffr1l3,15,18,3,1,83.33,100.0
NPFFR2,npffr2a,18,18,0,1,100.0,100.0
NPFFR2,npffr2b,17,18,1,1,94.44,100.0
NPY1R,npy1r,13,17,4,2,76.47,100.0
NPY2R,npy2r,15,16,3,0,83.33,88.89
NPY2R,npy2rl,16,17,2,0,88.89,94.44
NPY4R,npy4r,14,15,3,4,82.35,88.24
NTSR1,ntsr1,2,4,2,15,50.0,100.0
OPN1LW,opn1lw1,21,21,0,2,100.0,100.0
OPN1SW,opn1sw1,15,18,5,0,75.0,90.0
OPN3,opn3,0,2,4,14,0.0,50.0
OPN4,opn4a,1,5,4,15,20.0,100.0
OPN4,opn4b,1,5,5,14,16.67,83.33
OPN5,opn5,18,18,0,0,100.0,100.0
OPRD1,oprd1a,14,16,2,3,87.5,100.0
OPRD1,oprd1b,14,16,2,3,87.5,100.0
OPRK1,oprk1,16,17,1,1,94.12,100.0
OPRL1,oprl1,11,15,5,3,68.75,93.75
OPRM1,oprm1,13,13,0,5,100.0,100.0
OXGR1,oxgr1a.1,16,20,5,3,76.19,95.24
OXGR1,oxgr1a.2,2,2,0,22,100.0,100.0
OXGR1,oxgr1a.3,0,0,0,24,0.0,0.0
OXGR1,oxgr1b,1,2,2,21,33.33,66.67
OXTR,oxtra,16,18,4,0,80.0,90.0
OXTR,oxtrb,15,18,3,2,83.33,100.0
P2RY1,p2ry1,0,1,2,19,0.0,50.0
P2RY10,p2ry10,18,21,3,0,85.71,100.0
P2RY11,p2ry11,0,3,3,20,0.0,100.0
P2RY12,p2ry12,1,1,1,17,50.0,50.0
P2RY13,p2ry13,0,0,1,20,0.0,0.0
P2RY2,p2ry2.1,1,2,2,19,33.33,66.67
P2RY2,p2ry2.2,4,4,0,18,100.0,100.0
P2RY2,p2ry2.3,17,21,4,1,80.95,100.0
P2RY8,p2ry8,17,20,5,1,77.27,90.91
PITPNM3,pitpnm3,0,0,0,0,0.0,0.0
PROKR1,prokr1a,18,20,2,1,90.0,100.0
PROKR1,prokr1b,13,16,3,5,81.25,100.0
PTAFR,ptafr,2,2,2,19,50.0,50.0
PTGER1,ptger1a,1,2,2,19,33.33,66.67
PTGER1,ptger1b,16,18,2,4,88.89,100.0
PTGER1,ptger1c,16,18,4,2,80.0,90.0
PTGER2,ptger2a,9,15,10,4,47.37,78.95
PTGER2,ptger2b,9,15,11,3,45.0,75.0
PTGER3,ptger3,0,0,1,25,0.0,0.0
PTGER4,ptger4a,22,22,1,0,95.65,95.65
PTGER4,ptger4b,21,21,2,0,91.3,91.3
PTGER4,ptger4c,7,9,3,13,70.0,90.0
PTGFR,ptgfr,15,21,7,1,68.18,95.45
PTGIR,ptgir,1,3,5,18,16.67,50.0
PTH1R,pth1r,13,14,1,2,92.86,100.0
PTH2R,pth2ra,13,13,1,7,92.86,92.86
PTH2R,pth2rb,14,15,2,5,87.5,93.75
QRFPR,qrfpra,5,6,1,12,83.33,100.0
QRFPR,qrfprb,0,0,1,17,0.0,0.0
RGR,rgra,15,16,4,2,78.95,84.21
RGR,rgrb,9,13,8,4,52.94,76.47
RHO,rho,2,5,5,14,28.57,71.43
RRH,rrh,13,13,0,0,100.0,100.0
RXFP1,rxfp1,1,1,0,21,100.0,100.0
RXFP2,rxfp2a,1,2,2,21,33.33,66.67
RXFP2,rxfp2b,17,21,4,3,80.95,100.0
RXFP3,rxfp3,18,20,2,1,90.0,100.0
S1PR1,s1pr1,17,18,1,0,94.44,100.0
S1PR2,s1pr2,0,0,2,18,0.0,0.0
S1PR3,s1pr3a,13,15,4,0,76.47,88.24
S1PR4,s1pr4,4,4,0,16,100.0,100.0
S1PR5,s1pr5a,0,3,3,16,0.0,100.0
S1PR5,s1pr5b,11,14,6,2,64.71,82.35
SMO,smo,19,21,2,2,90.48,100.0
SSTR1,sstr1a,13,16,4,4,76.47,94.12
SSTR2,sstr2a,15,17,2,4,88.24,100.0
SSTR2,sstr2b,15,16,1,5,93.75,100.0
SSTR3,sstr3,0,3,4,13,0.0,75.0
SSTR5,sstr5,16,19,4,2,80.0,95.0
TAAR1,taar1b,13,18,7,1,65.0,90.0
TACR1,tacr1a,0,4,7,12,0.0,57.14
TACR1,tacr1b,0,4,6,13,0.0,66.67
TACR2,tacr2,16,17,1,2,94.12,100.0
TACR3,tacr3a,13,16,4,2,76.47,94.12
TACR3,tacr3l,15,17,4,0,78.95,89.47
TBXA2R,tbxa2r,0,0,1,23,0.0,0.0
TRHR,trhra,17,18,1,0,94.44,100.0
TRHR,trhrb,16,18,2,0,88.89,100.0
TSHR,tshr,2,2,2,20,50.0,50.0
VIPR1,vipr1a,10,11,2,7,83.33,91.67
VIPR1,vipr1b,10,13,3,6,76.92,100.0
VIPR2,vipr2,10,14,5,4,66.67,93.33
XCR1,xcr1a.1,0,0,1,22,0.0,0.0
XCR1,xcr1b.1,0,0,1,22,0.0,0.0
XCR1,xcr1b.2,0,1,1,22,0.0,100.0
