human gene,zebrafish gene,best class alignment
PROKR1,prokr1b,Class_A
QRFPR,qrfprb,Class_A
S1PR4,s1pr4,Class_A
FZD3,fzd3b,Class_C
GPR37,gpr37b,Class_A
GPR37L1,gpr37l1b,Class_A
HCRTR2,hcrtr2,Class_A
LPAR4,lpar4,Class_A
MCHR2,mchr2a,Class_F
MC5R,mc5rb,Class_F
GPR78,gpr78b,Class_B1
GPR146,gpr146,Class_C
GPR176,gpr176,Class_F
GPR34,gpr34a,Class_A
ADGRA2,adgra2,Class_A
CXCR4,cxcr4a,Class_A
OPRD1,oprd1a,Class_C
ADGRG6,adgrg6,Class_A
ADGRL4,adgrl4,Class_A
NPFFR1,npffr1l2,Class_A
NPFFR1,npffr1l3,Class_A
OPRD1,oprd1b,Class_A
PROKR1,prokr1a,Class_A
SSTR1,sstr1a,Class_A
TRHR,trhrb,Class_A
ADGRA3,adgra3,Class_A
GPR37,gpr37a,Class_A
GHRHR,ghrhra,Class_B1
GPR3,gpr3,Class_B1
GPR35,gpr35.1,Class_B1
CXCR3,cxcr3.2,Class_B1
GPR101,gpr101,Class_B1
GALR2,galr2b,Class_A
GPR161,gpr161b,Class_C
GPRC6A,gprc6a,Class_A
OXGR1,oxgr1a.1,Class_A
RGR,rgra,Class_A
S1PR5,s1pr5a,Class_A
SSTR5,sstr5,Class_A
CYSLTR1,cysltr1,Class_A
OXTR,oxtra,Class_F
OXTR,oxtrb,Class_F
SSTR2,sstr2a,Class_C
VIPR1,vipr1b,Class_B1
NPY4R,npy4r,Class_A
SSTR2,sstr2b,Class_C
EDNRA,ednraa,Class_A
GPR174,gpr174,Class_A
NPBWR2,npbwr2b,Class_A
NPFFR2,npffr2b,Class_A
NTSR1,ntsr1,Class_F
P2RY10,p2ry10,Class_A
GPRC5B,gprc5ba,Class_A
CXCR2,cxcr2,Class_B1
CXCR1,cxcr1,Class_B1
PTGER1,ptger1c,Class_C
PTGIR,ptgir,Class_A
AVPR1A,avpr1aa,Class_A
AVPR1A,avpr1ab,Class_A
GPR45,gpr45,Class_C
HRH2,hrh2a,Class_C
MTNR1A,mtnr1aa,Class_A
NPBWR2,npbwr2a,Class_C
NPY2R,npy2rl,Class_C
P2RY2,p2ry2.2,Class_A
TBXA2R,tbxa2r,Class_A
ADORA2A,adora2ab,Class_C
AGTR2,agtr2,Class_B1
EDNRA,ednrab,Class_C
FSHR,fshr,Class_A
GPR34,gpr34b,Class_A
P2RY2,p2ry2.1,Class_A
PTAFR,ptafr,Class_A
PTGER4,ptger4b,Class_A
S1PR3,s1pr3a,Class_A
TSHR,tshr,Class_F
ADGRL1,adgrl1a,Class_A
FZD9,fzd9a,Class_A
GHSR,ghsra,Class_A
GHSR,ghsrb,Class_C
LPAR6,lpar6a,Class_A
MC4R,mc4r,Class_B1
OPRM1,oprm1,Class_C
P2RY12,p2ry12,Class_A
RGR,rgrb,Class_F
TAAR1,taar1b,Class_F
CCR7,ccr7,Class_B1
CNR2,cnr2,Class_F
GPR19,gpr19,Class_B1
ACKR3,ackr3a,Class_B1
GPR20,gpr20,Class_C
GPR6,gpr6,Class_B1
ADRB3,adrb3b,Class_A
CCKBR,cckbra,Class_C
GPR153,gpr153,Class_A
MTNR1B,mtnr1ba,Class_A
OPRL1,oprl1,Class_B1
P2RY1,p2ry1,Class_A
P2RY2,p2ry2.3,Class_A
P2RY8,p2ry8,Class_A
ACKR3,ackr3b,Class_B1
ADRA1A,adra1aa,Class_A
ADRB1,adrb1,Class_A
ADRB3,adrb3a,Class_C
CHRM4,chrm4b,Class_A
MC3R,mc3r,Class_A
MC5R,mc5ra,Class_A
EDNRB,ednrba,Class_A
GALR1,galr1a,Class_A
GPR17,gpr17,Class_A
S1PR1,s1pr1,Class_A
GPR18,gpr18,Class_B1
GPR171,gpr171,Class_C
PTGER4,ptger4c,Class_B1
LHCGR,lhcgr,Class_F
GPR39,gpr39,Class_C
GPR63,gpr63,Class_A
HTR2B,htr2b,Class_C
PTGER1,ptger1a,Class_B1
ADORA2B,adora2b,Class_A
HTR1F,htr1fa,Class_A
HTR2A,htr2ab,Class_A
MTNR1A,mtnr1ab,Class_C
TACR2,tacr2,Class_F
ADRA1D,adra1d,Class_A
CHRM1,chrm1a,Class_A
CHRM2,chrm2a,Class_A
CHRM2,chrm2b,Class_A
GPR4,gpr4,Class_A
OPN5,opn5,Class_C
RRH,rrh,Class_F
CXCR4,cxcr4b,Class_B1
GPR158,gpr158b,Class_B1
GPR61,gpr61,Class_B1
GRM6,grm6a,Class_B1
NMUR1,nmur1a,Class_B1
TACR3,tacr3a,Class_B1
TACR3,tacr3l,Class_B1
VIPR1,vipr1a,Class_B1
ADGRL2,adgrl2a,Class_B1
PTGER1,ptger1b,Class_B1
CNR1,cnr1,Class_A
GPR139,gpr139,Class_A
HTR1D,htr1d,Class_A
OPN4,opn4a,Class_A
ADORA1,adora1b,Class_A
ADORA2A,adora2aa,Class_C
ADRB2,adrb2b,Class_A
CHRM3,chrm3a,Class_C
DRD3,drd3,Class_A
FZD9,fzd9b,Class_A
GPR173,gpr173,Class_C
HRH3,hrh3,Class_C
HTR1A,htr1aa,Class_C
HTR5A,htr5aa,Class_B1
HTR5A,htr5ab,Class_B1
LGR4,lgr4,Class_A
GPR135,gpr135,Class_B1
LPAR2,lpar2a,Class_B1
ADRA1A,adra1ab,Class_B1
CALCRL,calcrlb,Class_B1
GPR183,gpr183b,Class_F
GPR26,gpr26,Class_B1
HRH2,hrh2b,Class_B1
LPAR2,lpar2b,Class_B1
FZD5,fzd5,Class_F
FZD8,fzd8b,Class_A
GPRC5C,gprc5c,Class_A
RXFP1,rxfp1,Class_A
ADRA2C,adra2c,Class_C
CHRM5,chrm5b,Class_B1
FZD6,fzd6,Class_F
GPR22,gpr22a,Class_A
ADGRL3,adgrl3.1,Class_B1
ADRA2A,adra2a,Class_C
DRD1,drd1b,Class_A
GPR52,gpr52,Class_B1
GRM5,grm5b,Class_C
HTR4,htr4,Class_A
APLNR,aplnra,Class_B1
NPY2R,npy2r,Class_B1
CALCRL,calcrla,Class_B1
GALR2,galr2a,Class_B1
OPN1SW,opn1sw1,Class_B1
CCKAR,cckar,Class_B1
GRM1,grm1b,Class_A
HTR6,htr6,Class_B1
ADGRB2,adgrb2,Class_F
CRHR1,crhr1,Class_B1
GPR12,gpr12,Class_B1
PTGER3,ptger3,Class_A
RHO,rho,Class_A
CHRM3,chrm3b,Class_B1
CHRM5,chrm5a,Class_B1
DRD4,drd4a,Class_B1
DRD4,drd4b,Class_A
GPR158,gpr158a,Class_B1
GPR85,gpr85,Class_C
GRM5,grm5a,Class_B1
HTR7,htr7a,Class_A
OPN4,opn4b,Class_A
RXFP2,rxfp2a,Class_B1
RXFP2,rxfp2b,Class_B1
LPAR6,lpar6b,Class_B1
PTGFR,ptgfr,Class_B1
GRM6,grm6b,Class_B1
MTNR1B,mtnr1bb,Class_B1
TACR1,tacr1a,Class_B1
TACR1,tacr1b,Class_B1
ADRA1B,adra1bb,Class_B1
HTR1B,htr1b,Class_B1
LPAR3,lpar3,Class_B1
S1PR2,s1pr2,Class_B1
GRM1,grm1a,Class_C
GRM8,grm8a,Class_B1
SSTR3,sstr3,Class_B1
ADRA2B,adra2b,Class_B1
GPR75,gpr75,Class_B1
HTR1F,htr1fb,Class_B1
PTGER4,ptger4a,Class_B1
ADGRB3,adgrb3,Class_B1
ADRA1B,adra1ba,Class_B1
DRD2,drd2a,Class_B1
EDNRB,ednrbb,Class_B1
FZD1,fzd1,Class_C
GABBR1,gabbr1a,Class_B1
GRM4,grm4,Class_A
OPN1LW,opn1lw1,Class_A
FZD3,fzd3a,Class_B1
ADRB2,adrb2a,Class_B1
CASR,casr,Class_F
GABBR1,gabbr1b,Class_B1
GRM2,grm2b,Class_B1
NPY1R,npy1r,Class_B1
PTH2R,pth2rb,Class_B1
ADCYAP1R1,adcyap1r1a,Class_B1
ADGRB1,adgrb1b,Class_B1
DRD1,drd1a,Class_B1
DRD2,drd2b,Class_B1
GRM3,grm3,Class_B1
HTR1A,htr1ab,Class_B1
NPFFR2,npffr2a,Class_B1
S1PR5,s1pr5b,Class_F
GPR22,gpr22b,Class_B1
FZD8,fzd8a,Class_B1
GRM2,grm2a,Class_B1
LPAR1,lpar1,Class_B1
OPRK1,oprk1,Class_B1
RXFP3,rxfp3,Class_B1
TRHR,trhra,Class_B1
ADGRB1,adgrb1a,Class_B1
CHRM4,chrm4a,Class_B1
GRM8,grm8b,Class_B1
FZD10,fzd10,Class_B1
FZD4,fzd4,Class_B1
FZD7,fzd7a,Class_B1
FZD7,fzd7b,Class_B1
FZD2,fzd2,Class_B1
SMO,smo,Class_B1
GABBR2,gabbr2,Class_C
