human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
ADRA1D,adra1d,15,0,7,100.0,Class_C
ADRA2A,adra2a,20,0,0,100.0,Class_C
ADRA2A,adra2a,8,0,10,100.0,Class_F
ADRA2B,adra2b,23,1,1,95.83,Class_B1
ADRA2C,adra2c,20,1,0,95.24,Class_C
ADRB1,adrb1,17,1,2,94.44,Class_A
ADRB2,adrb2a,24,1,1,96.0,Class_B1
ADRB2,adrb2b,19,0,1,100.0,Class_A
ADRB3,adrb3a,16,1,5,94.12,Class_C
ADRB3,adrb3b,14,1,7,93.33,Class_C
AGTR1,agtr1a,11,4,9,73.33,Class_B1
AGTR1,agtr1b,4,1,18,80.0,Class_C
AGTR1,agtr1b,4,1,20,80.0,Class_F
AGTR2,agtr2,13,1,13,92.86,Class_B1
APLNR,aplnra,21,5,0,80.77,Class_B1
APLNR,aplnrb,12,4,1,75.0,Class_A
AVPR1A,avpr1aa,16,2,3,88.89,Class_A
AVPR1A,avpr1ab,16,2,3,88.89,Class_A
AVPR2,avpr2aa,4,1,15,80.0,Class_F
AVPR2,avpr2ab,9,4,7,69.23,Class_B1
BDKRB1,bdkrb1,10,8,7,55.56,Class_B1
C5AR1,c5ar1,10,12,2,45.45,Class_B1
CALCR,calcr,3,0,2,100.0,Class_F
CALCRL,calcrla,21,3,0,87.5,Class_B1
CALCRL,calcrlb,19,3,2,86.36,Class_B1
CASR,casr,24,1,3,96.0,Class_F
CCKAR,cckar,21,2,2,91.3,Class_B1
CCKBR,cckbra,17,2,2,89.47,Class_C
CCR10,ccr10,4,4,7,50.0,Class_A
CCR2,ccr2,17,6,2,73.91,Class_B1
CCR6,ccr6a,4,2,16,66.67,Class_B1
CCR6,ccr6b,9,7,6,56.25,Class_B1
CCR7,ccr7,17,5,0,77.27,Class_B1
CCR8,ccr8.1,11,3,7,78.57,Class_C
CCR9,ccr9a,6,2,9,75.0,Class_F
CCR9,ccr9b,9,4,6,69.23,Class_A
CELSR1,celsr1a,0,1,2,0.0,Class_A
CELSR1,celsr1a,0,2,1,0.0,Class_B1
CELSR1,celsr1a,0,0,0,0.0,Class_C
CELSR1,celsr1a,0,0,2,0.0,Class_F
CELSR1,celsr1b,0,1,2,0.0,Class_A
CELSR1,celsr1b,0,1,2,0.0,Class_B1
CELSR1,celsr1b,0,0,0,0.0,Class_C
CELSR1,celsr1b,0,0,2,0.0,Class_F
CELSR3,celsr3,0,3,2,0.0,Class_A
CELSR3,celsr3,0,4,4,0.0,Class_B1
CELSR3,celsr3,0,0,3,0.0,Class_C
CELSR3,celsr3,0,2,13,0.0,Class_F
CHRM1,chrm1a,18,0,0,100.0,Class_A
CHRM1,chrm1a,16,0,3,100.0,Class_C
CHRM2,chrm2a,18,0,0,100.0,Class_A
CHRM2,chrm2b,18,0,0,100.0,Class_A
CHRM3,chrm3a,19,0,1,100.0,Class_C
CHRM3,chrm3a,2,0,18,100.0,Class_F
CHRM3,chrm3b,21,0,2,100.0,Class_B1
CHRM3,chrm3b,7,0,13,100.0,Class_F
CHRM4,chrm4a,18,0,0,100.0,Class_A
CHRM4,chrm4a,25,0,1,100.0,Class_B1
CHRM4,chrm4a,7,0,10,100.0,Class_C
CHRM4,chrm4b,8,0,9,100.0,Class_C
CHRM5,chrm5a,21,0,2,100.0,Class_B1
CHRM5,chrm5a,15,0,6,100.0,Class_C
CHRM5,chrm5b,3,0,18,100.0,Class_C
CMKLR1,cmklr1,13,5,2,72.22,Class_C
CMKLR2,cmklr2,9,6,9,60.0,Class_B1
CNR1,cnr1,19,1,1,95.0,Class_A
CNR2,cnr2,17,4,3,80.95,Class_F
CRHR1,crhr1,6,0,13,100.0,Class_C
CRHR1,crhr1,6,0,5,100.0,Class_F
CRHR2,crhr2,0,0,15,0.0,Class_A
CRHR2,crhr2,0,0,28,0.0,Class_B1
CRHR2,crhr2,0,0,17,0.0,Class_C
CRHR2,crhr2,0,0,8,0.0,Class_F
CXCR1,cxcr1,16,4,4,80.0,Class_B1
CXCR2,cxcr2,16,6,2,72.73,Class_B1
CXCR3,cxcr3.1,8,2,7,80.0,Class_A
CXCR3,cxcr3.2,14,6,3,70.0,Class_B1
CXCR4,cxcr4a,17,0,6,100.0,Class_B1
CXCR4,cxcr4b,19,3,1,86.36,Class_B1
CXCR5,cxcr5,13,9,2,59.09,Class_B1
CYSLTR1,cysltr1,15,2,2,88.24,Class_A
DRD1,drd1a,20,0,0,100.0,Class_A
DRD1,drd1a,24,0,1,100.0,Class_B1
DRD1,drd1a,19,0,0,100.0,Class_C
DRD1,drd1b,20,0,0,100.0,Class_A
DRD2,drd2a,19,0,1,100.0,Class_A
DRD2,drd2a,23,0,2,100.0,Class_B1
DRD2,drd2a,17,0,1,100.0,Class_C
DRD2,drd2b,18,0,2,100.0,Class_A
DRD2,drd2b,24,0,1,100.0,Class_B1
DRD2,drd2b,17,0,1,100.0,Class_C
DRD3,drd3,19,0,0,100.0,Class_A
DRD4,drd4a,21,0,0,100.0,Class_B1
DRD4,drd4b,21,0,0,100.0,Class_A
DRD4,drd4b,1,0,22,100.0,Class_F
EDNRA,ednraa,15,0,1,100.0,Class_A
EDNRA,ednrab,16,1,1,94.12,Class_C
EDNRB,ednrba,17,0,1,100.0,Class_A
EDNRB,ednrbb,23,0,1,100.0,Class_B1
F2R,f2r,11,3,3,78.57,Class_A
F2RL1,f2rl1.1,12,5,0,70.59,Class_A
F2RL1,f2rl1.2,13,4,0,76.47,Class_A
F2RL2,f2rl2,9,4,5,69.23,Class_A
FPR1,fpr1,3,3,19,50.0,Class_B1
FSHR,fshr,1,0,19,100.0,Class_C
FZD1,fzd1,23,0,0,100.0,Class_C
FZD10,fzd10,26,1,0,96.3,Class_B1
FZD2,fzd2,27,0,0,100.0,Class_B1
FZD3,fzd3a,24,2,0,92.31,Class_B1
FZD3,fzd3b,20,2,2,90.91,Class_F
FZD4,fzd4,26,0,1,100.0,Class_B1
FZD5,fzd5,20,2,3,90.91,Class_F
FZD6,fzd6,20,1,5,95.24,Class_F
FZD7,fzd7a,26,0,0,100.0,Class_B1
FZD7,fzd7b,26,0,0,100.0,Class_B1
FZD8,fzd8a,25,1,0,96.15,Class_B1
FZD8,fzd8b,20,2,1,90.91,Class_A
FZD9,fzd9a,16,0,3,100.0,Class_A
FZD9,fzd9b,19,0,0,100.0,Class_A
GABBR1,gabbr1a,23,0,3,100.0,Class_B1
GABBR1,gabbr1a,1,0,25,100.0,Class_F
GABBR1,gabbr1b,12,0,3,100.0,Class_A
GABBR1,gabbr1b,1,0,25,100.0,Class_F
GABBR2,gabbr2,24,0,2,100.0,Class_B1
GABBR2,gabbr2,28,0,0,100.0,Class_C
GABBR2,gabbr2,22,0,0,100.0,Class_F
GALR1,galr1a,17,0,0,100.0,Class_A
GALR1,galr1b,13,4,6,76.47,Class_F
GALR2,galr2a,21,3,1,87.5,Class_B1
GALR2,galr2b,15,4,2,78.95,Class_A
GCGR,gcgra,12,4,10,75.0,Class_B1
GCGR,gcgrb,4,1,2,80.0,Class_F
GHRHR,ghrhra,14,7,5,66.67,Class_B1
GHRHR,ghrhrb,6,5,15,54.55,Class_B1
GHSR,ghsra,16,0,0,100.0,Class_A
GHSR,ghsra,15,0,1,100.0,Class_C
GHSR,ghsrb,15,0,1,100.0,Class_A
GHSR,ghsrb,16,0,0,100.0,Class_C
GIPR,gipr,9,0,10,100.0,Class_C
GPBAR1,gpbar1,7,4,8,63.64,Class_A
GPER1,gper1,9,0,7,100.0,Class_A
GPR101,gpr101,15,5,5,75.0,Class_B1
GPR12,gpr12,20,1,2,95.24,Class_B1
GPR132,gpr132a,2,0,26,100.0,Class_B1
GPR132,gpr132b,11,1,6,91.67,Class_A
GPR135,gpr135,20,4,1,83.33,Class_B1
GPR139,gpr139,18,1,3,94.74,Class_A
GPR142,gpr142,7,1,3,87.5,Class_F
GPR146,gpr146,12,4,9,75.0,Class_B1
GPR151,gpr151,11,4,5,73.33,Class_A
GPR153,gpr153,20,2,1,90.91,Class_C
GPR156,gpr156,11,3,2,78.57,Class_A
GPR158,gpr158a,4,0,22,100.0,Class_B1
GPR158,gpr158b,19,3,4,86.36,Class_B1
GPR160,gpr160,3,3,9,50.0,Class_A
GPR161,gpr161b,15,3,2,83.33,Class_C
GPR17,gpr17,17,0,1,100.0,Class_A
GPR171,gpr171,18,5,1,78.26,Class_C
GPR173,gpr173,16,0,3,100.0,Class_A
GPR173,gpr173,18,0,3,100.0,Class_C
GPR174,gpr174,15,0,4,100.0,Class_A
GPR176,gpr176,12,3,12,80.0,Class_F
GPR18,gpr18,18,7,2,72.0,Class_B1
GPR183,gpr183a,12,2,3,85.71,Class_A
GPR183,gpr183b,20,3,3,86.96,Class_F
GPR19,gpr19,17,5,0,77.27,Class_B1
GPR20,gpr20,17,2,2,89.47,Class_C
GPR22,gpr22a,19,1,2,95.0,Class_A
GPR22,gpr22b,25,2,2,92.59,Class_B1
GPR25,gpr25,8,2,8,80.0,Class_A
GPR26,gpr26,20,3,3,86.96,Class_B1
GPR27,gpr27,9,3,7,75.0,Class_F
GPR3,gpr3,15,7,0,68.18,Class_B1
GPR34,gpr34a,14,3,2,82.35,Class_A
GPR34,gpr34b,16,1,2,94.12,Class_A
GPR35,gpr35.1,15,7,4,68.18,Class_B1
GPR37,gpr37a,14,0,1,100.0,Class_A
GPR37,gpr37b,13,0,2,100.0,Class_A
GPR37L1,gpr37l1a,9,3,6,75.0,Class_A
GPR37L1,gpr37l1b,11,1,6,91.67,Class_A
GPR39,gpr39,18,2,1,90.0,Class_C
GPR4,gpr4,18,0,1,100.0,Class_A
GPR45,gpr45,16,2,4,88.89,Class_C
GPR52,gpr52,20,0,1,100.0,Class_B1
GPR52,gpr52,4,0,17,100.0,Class_C
GPR55,gpr55a,2,0,19,100.0,Class_C
GPR6,gpr6,17,3,3,85.0,Class_B1
GPR61,gpr61,15,1,5,93.75,Class_C
GPR63,gpr63,4,0,18,100.0,Class_C
GPR65,gpr65,8,6,3,57.14,Class_A
GPR75,gpr75,23,1,1,95.83,Class_B1
GPR78,gpr78a,13,5,0,72.22,Class_A
GPR78,gpr78b,14,6,6,70.0,Class_B1
GPR84,gpr84,13,2,2,86.67,Class_A
GPR85,gpr85,18,0,1,100.0,Class_A
GPR85,gpr85,21,0,2,100.0,Class_C
GPRC5B,gprc5ba,16,8,2,66.67,Class_A
GPRC5B,gprc5bb,12,6,5,66.67,Class_F
GPRC5C,gprc5c,20,2,3,90.91,Class_A
GPRC6A,gprc6a,7,1,14,87.5,Class_C
GRM1,grm1a,10,0,12,100.0,Class_B1
GRM1,grm1a,22,0,1,100.0,Class_C
GRM1,grm1b,21,2,1,91.3,Class_A
GRM2,grm2a,25,1,0,96.15,Class_B1
GRM2,grm2b,24,1,1,96.0,Class_B1
GRM3,grm3,24,0,3,100.0,Class_B1
GRM3,grm3,23,0,0,100.0,Class_C
GRM4,grm4,23,0,1,100.0,Class_A
GRM4,grm4,22,0,3,100.0,Class_B1
GRM4,grm4,8,0,15,100.0,Class_C
GRM5,grm5a,21,0,1,100.0,Class_B1
GRM5,grm5a,20,0,1,100.0,Class_C
GRM5,grm5b,20,0,1,100.0,Class_C
GRM6,grm6a,13,2,11,86.67,Class_F
GRM6,grm6b,22,2,0,91.67,Class_B1
GRM8,grm8a,22,0,3,100.0,Class_B1
GRM8,grm8b,25,0,0,100.0,Class_B1
HCAR1,hcar1-1,11,3,3,78.57,Class_A
HCAR1,hcar1-2,10,2,5,83.33,Class_A
HCRTR2,hcrtr2,13,1,3,92.86,Class_A
HRH1,hrh1,0,3,9,0.0,Class_A
HRH1,hrh1,0,4,20,0.0,Class_B1
HRH1,hrh1,0,0,0,0.0,Class_C
HRH1,hrh1,0,1,18,0.0,Class_F
HRH2,hrh2a,16,2,1,88.89,Class_C
HRH2,hrh2b,20,3,2,86.96,Class_B1
HRH3,hrh3,15,0,8,100.0,Class_C
HTR1A,htr1aa,18,0,1,100.0,Class_A
HTR1A,htr1aa,19,0,1,100.0,Class_C
HTR1A,htr1ab,24,0,2,100.0,Class_B1
HTR1A,htr1ab,11,0,9,100.0,Class_C
HTR1B,htr1b,22,1,1,95.65,Class_B1
HTR1D,htr1d,19,1,0,95.0,Class_A
HTR1F,htr1fa,18,1,1,94.74,Class_A
HTR1F,htr1fb,23,1,1,95.83,Class_B1
HTR2A,htr2ab,18,1,1,94.74,Class_A
HTR2B,htr2b,18,2,2,90.0,Class_C
HTR4,htr4,20,0,0,100.0,Class_A
HTR5A,htr5aa,19,0,2,100.0,Class_B1
HTR5A,htr5aa,19,0,2,100.0,Class_C
HTR5A,htr5ab,19,0,2,100.0,Class_B1
HTR5A,htr5ab,7,0,14,100.0,Class_C
HTR6,htr6,21,2,2,91.3,Class_B1
HTR7,htr7a,21,0,0,100.0,Class_A
HTR7,htr7a,17,0,2,100.0,Class_C
KISS1R,kiss1ra,12,4,8,75.0,Class_F
KISS1R,kiss1rb,11,2,11,84.62,Class_F
LGR4,lgr4,19,0,3,100.0,Class_A
LGR6,lgr6,11,4,9,73.33,Class_F
LHCGR,lhcgr,1,0,21,100.0,Class_B1
LPAR1,lpar1,25,1,0,96.15,Class_B1
LPAR2,lpar2a,20,4,1,83.33,Class_B1
LPAR2,lpar2b,20,3,2,86.96,Class_B1
LPAR2,lpar2b,20,3,3,86.96,Class_F
LPAR3,lpar3,22,1,3,95.65,Class_B1
LPAR4,lpar4,13,1,2,92.86,Class_A
LPAR5,lpar5a,6,7,4,46.15,Class_A
LPAR5,lpar5b,8,10,10,44.44,Class_B1
LPAR6,lpar6a,16,0,0,100.0,Class_A
LPAR6,lpar6a,13,0,6,100.0,Class_F
LPAR6,lpar6b,22,3,2,88.0,Class_B1
LTB4R,ltb4r,12,5,3,70.59,Class_A
LTB4R2,ltb4r2a,13,3,2,81.25,Class_A
LTB4R2,ltb4r2b,12,4,2,75.0,Class_A
MC1R,mc1r,12,1,5,92.31,Class_C
MC2R,mc2r,7,3,7,70.0,Class_A
MC3R,mc3r,17,0,2,100.0,Class_A
MC4R,mc4r,15,0,6,100.0,Class_B1
MC4R,mc4r,5,0,12,100.0,Class_C
MC5R,mc5ra,17,1,0,94.44,Class_A
MC5R,mc5rb,2,0,17,100.0,Class_C
MC5R,mc5rb,13,0,11,100.0,Class_F
MCHR1,mchr1a,13,3,4,81.25,Class_A
MCHR1,mchr1b,12,5,3,70.59,Class_A
MCHR2,mchr2a,13,1,1,92.86,Class_F
MCHR2,mchr2b,0,1,17,0.0,Class_A
MCHR2,mchr2b,0,1,24,0.0,Class_B1
MCHR2,mchr2b,0,1,20,0.0,Class_C
MCHR2,mchr2b,0,1,14,0.0,Class_F
MLNR,mlnr,9,3,9,75.0,Class_C
MTNR1A,mtnr1aa,16,2,0,88.89,Class_A
MTNR1A,mtnr1ab,18,1,2,94.74,Class_C
MTNR1A,mtnr1al,10,0,8,100.0,Class_A
MTNR1B,mtnr1ba,17,2,1,89.47,Class_A
MTNR1B,mtnr1bb,22,2,0,91.67,Class_B1
NMUR1,nmur1a,19,3,1,86.36,Class_B1
NPBWR2,npbwr2a,16,2,2,88.89,Class_C
NPBWR2,npbwr2b,15,0,2,100.0,Class_A
NPBWR2,npbwr2b,16,0,4,100.0,Class_C
NPFFR1,npffr1,14,0,5,100.0,Class_C
NPFFR1,npffr1l1,5,0,14,100.0,Class_C
NPFFR1,npffr1l2,14,1,1,93.33,Class_A
NPFFR1,npffr1l3,14,1,1,93.33,Class_A
NPFFR2,npffr2a,15,0,0,100.0,Class_A
NPFFR2,npffr2a,24,0,1,100.0,Class_B1
NPFFR2,npffr2a,18,0,1,100.0,Class_C
NPFFR2,npffr2b,15,0,0,100.0,Class_A
NPY1R,npy1r,24,1,0,96.0,Class_B1
NPY2R,npy2r,21,4,0,84.0,Class_B1
NPY2R,npy2rl,16,2,0,88.89,Class_C
NPY4R,npy4r,15,1,5,93.75,Class_A
NTSR1,ntsr1,11,0,16,100.0,Class_F
OPN1LW,opn1lw1,23,0,0,100.0,Class_A
OPN1LW,opn1lw1,21,0,2,100.0,Class_C
OPN1SW,opn1sw1,21,3,2,87.5,Class_B1
OPN3,opn3,13,6,6,68.42,Class_B1
OPN4,opn4a,19,1,3,95.0,Class_A
OPN4,opn4b,21,0,2,100.0,Class_A
OPN5,opn5,18,0,0,100.0,Class_C
OPRD1,oprd1a,14,2,3,87.5,Class_C
OPRD1,oprd1b,14,1,5,93.33,Class_A
OPRK1,oprk1,25,1,1,96.15,Class_B1
OPRL1,oprl1,17,2,7,89.47,Class_B1
OPRM1,oprm1,13,0,1,100.0,Class_A
OPRM1,oprm1,13,0,5,100.0,Class_C
OXGR1,oxgr1a.1,15,3,3,83.33,Class_A
OXGR1,oxgr1a.2,2,0,22,100.0,Class_C
OXGR1,oxgr1a.3,15,4,1,78.95,Class_F
OXGR1,oxgr1b,5,0,24,100.0,Class_B1
OXTR,oxtra,14,2,1,87.5,Class_F
OXTR,oxtrb,14,2,1,87.5,Class_F
P2RY1,p2ry1,17,2,1,89.47,Class_A
P2RY10,p2ry10,15,0,2,100.0,Class_A
P2RY11,p2ry11,10,6,1,62.5,Class_A
P2RY12,p2ry12,16,0,0,100.0,Class_A
P2RY13,p2ry13,11,2,6,84.62,Class_A
P2RY2,p2ry2.1,1,0,20,100.0,Class_F
P2RY2,p2ry2.2,4,0,18,100.0,Class_C
P2RY2,p2ry2.3,1,0,20,100.0,Class_F
P2RY8,p2ry8,17,2,1,89.47,Class_A
PITPNM3,pitpnm3,0,0,12,0.0,Class_A
PITPNM3,pitpnm3,0,1,15,0.0,Class_B1
PITPNM3,pitpnm3,0,0,0,0.0,Class_C
PITPNM3,pitpnm3,0,5,17,0.0,Class_F
PROKR1,prokr1a,14,1,2,93.33,Class_A
PROKR1,prokr1b,13,2,2,86.67,Class_A
PTAFR,ptafr,1,0,23,100.0,Class_F
PTGER1,ptger1a,17,2,3,89.47,Class_B1
PTGER1,ptger1b,17,2,3,89.47,Class_B1
PTGER1,ptger1c,16,4,2,80.0,Class_C
PTGER2,ptger2a,9,5,4,64.29,Class_A
PTGER2,ptger2b,8,6,4,57.14,Class_A
PTGER3,ptger3,21,1,0,95.45,Class_A
PTGER4,ptger4a,23,1,2,95.83,Class_B1
PTGER4,ptger4b,16,1,1,94.12,Class_A
PTGER4,ptger4c,18,6,2,75.0,Class_B1
PTGFR,ptgfr,22,3,2,88.0,Class_B1
PTGIR,ptgir,16,3,2,84.21,Class_A
PTH1R,pth1r,5,0,8,100.0,Class_F
PTH2R,pth2ra,2,0,15,100.0,Class_F
PTH2R,pth2rb,24,1,0,96.0,Class_B1
QRFPR,qrfpra,10,2,12,83.33,Class_B1
QRFPR,qrfpra,5,1,12,83.33,Class_C
QRFPR,qrfprb,13,2,0,86.67,Class_A
RGR,rgra,15,2,2,88.24,Class_A
RGR,rgrb,17,9,3,65.38,Class_F
RHO,rho,21,1,2,95.45,Class_A
RRH,rrh,17,0,1,100.0,Class_A
RRH,rrh,13,0,0,100.0,Class_C
RRH,rrh,18,0,4,100.0,Class_F
RXFP1,rxfp1,1,0,21,100.0,Class_C
RXFP2,rxfp2a,20,0,4,100.0,Class_B1
RXFP2,rxfp2b,20,0,4,100.0,Class_B1
RXFP3,rxfp3,25,1,1,96.15,Class_B1
S1PR1,s1pr1,17,0,0,100.0,Class_A
S1PR2,s1pr2,22,1,0,95.65,Class_B1
S1PR3,s1pr3a,16,1,0,94.12,Class_A
S1PR4,s1pr4,4,0,16,100.0,Class_C
S1PR5,s1pr5a,24,3,2,88.89,Class_F
S1PR5,s1pr5b,24,1,4,96.0,Class_F
SMO,smo,20,0,2,100.0,Class_A
SMO,smo,27,0,1,100.0,Class_B1
SSTR1,sstr1a,14,1,3,93.33,Class_A
SSTR2,sstr2a,5,0,12,100.0,Class_F
SSTR2,sstr2b,15,1,5,93.75,Class_C
SSTR3,sstr3,23,2,0,92.0,Class_B1
SSTR5,sstr5,15,2,2,88.24,Class_A
TAAR1,taar1b,16,4,8,80.0,Class_F
TACR1,tacr1a,22,2,0,91.67,Class_B1
TACR1,tacr1b,22,2,0,91.67,Class_B1
TACR2,tacr2,18,1,2,94.74,Class_F
TACR3,tacr3a,19,3,1,86.36,Class_B1
TACR3,tacr3l,19,3,1,86.36,Class_B1
TBXA2R,tbxa2r,17,2,8,89.47,Class_B1
TRHR,trhra,25,1,1,96.15,Class_B1
TRHR,trhrb,14,1,4,93.33,Class_A
TSHR,tshr,16,1,1,94.12,Class_F
VIPR1,vipr1a,17,3,5,85.0,Class_B1
VIPR1,vipr1b,14,1,10,93.33,Class_B1
VIPR2,vipr2,4,0,3,100.0,Class_F
XCR1,xcr1a.1,11,8,1,57.89,Class_A
XCR1,xcr1b.1,9,9,2,50.0,Class_A
XCR1,xcr1b.2,9,5,6,64.29,Class_A
