human gene,zebrafish gene,actual class
AVPR2,avpr2aa,Class_A
AVPR2,avpr2aa,Class_A
AVPR2,avpr2aa,Class_A
AVPR2,avpr2ab,Class_A
AVPR2,avpr2ab,Class_A
BDKRB1,bdkrb1,Class_A
C5AR1,c5ar1,Class_A
CALCR,calcr,Class_B1
CALCR,calcr,Class_B1
CALCRL,calcrla,Class_B1
CALCRL,calcrlb,Class_B1
CASR,casr,Class_C
CASR,casr,Class_C
CCKAR,cckar,Class_A
CCKBR,cckbra,Class_A
CCKBR,cckbra,Class_A
CCR10,ccr10,Class_A
CCR2,ccr2,Class_A
CCR6,ccr6a,Class_A
CCR6,ccr6b,Class_A
CCR7,ccr7,Class_A
CCR8,ccr8.1,Class_A
CCR9,ccr9a,Class_A
CCR9,ccr9b,Class_A
CELSR1,celsr1a,Class_F
CELSR1,celsr1b,Class_F
CELSR3,celsr3,Class_F
CHRM1,chrm1a,Class_A
CHRM1,chrm1a,Class_A
CHRM2,chrm2a,Class_A
CHRM2,chrm2a,Class_A
CHRM2,chrm2b,Class_A
CHRM2,chrm2b,Class_A
CHRM2,chrm2b,Class_A
CHRM3,chrm3a,Class_A
CHRM3,chrm3a,Class_A
CHRM3,chrm3a,Class_A
CHRM3,chrm3b,Class_A
CHRM3,chrm3b,Class_A
CHRM3,chrm3b,Class_A
CHRM3,chrm3b,Class_A
CHRM4,chrm4a,Class_A
CHRM4,chrm4a,Class_A
CHRM4,chrm4a,Class_A
CHRM4,chrm4b,Class_A
CHRM4,chrm4b,Class_A
CHRM5,chrm5a,Class_A
CHRM5,chrm5a,Class_A
CHRM5,chrm5b,Class_A
CHRM5,chrm5b,Class_A
CMKLR1,cmklr1,Class_A
CMKLR2,cmklr2,Class_A
CNR1,cnr1,Class_A
CNR2,cnr2,Class_A
CRHR1,crhr1,Class_B1
CRHR1,crhr1,Class_B1
CRHR2,crhr2,Class_B1
CRHR2,crhr2,Class_B1
CRHR2,crhr2,Class_B1
CRHR2,crhr2,Class_B1
CXCR1,cxcr1,Class_A
CXCR2,cxcr2,Class_A
CXCR2,cxcr2,Class_A
CXCR3,cxcr3.1,Class_A
CXCR3,cxcr3.2,Class_A
CXCR4,cxcr4a,Class_A
CXCR4,cxcr4b,Class_A
CXCR5,cxcr5,Class_A
CYSLTR1,cysltr1,Class_A
DRD1,drd1a,Class_A
DRD1,drd1a,Class_A
DRD1,drd1a,Class_A
DRD1,drd1b,Class_A
DRD1,drd1b,Class_A
DRD1,drd1b,Class_A
DRD1,drd1b,Class_A
DRD2,drd2a,Class_A
DRD2,drd2a,Class_A
DRD2,drd2a,Class_A
DRD2,drd2b,Class_A
DRD2,drd2b,Class_A
DRD2,drd2b,Class_A
DRD3,drd3,Class_A
DRD3,drd3,Class_A
DRD3,drd3,Class_A
DRD4,drd4a,Class_A
DRD4,drd4a,Class_A
DRD4,drd4b,Class_A
DRD4,drd4b,Class_A
DRD4,drd4b,Class_A
EDNRA,ednraa,Class_A
EDNRA,ednraa,Class_A
EDNRA,ednrab,Class_A
EDNRB,ednrba,Class_A
EDNRB,ednrba,Class_A
EDNRB,ednrbb,Class_A
EDNRB,ednrbb,Class_A
F2R,f2r,Class_A
F2RL1,f2rl1.1,Class_A
F2RL1,f2rl1.2,Class_A
F2RL2,f2rl2,Class_A
FPR1,fpr1,Class_A
FSHR,fshr,Class_A
FZD1,fzd1,Class_F
FZD1,fzd1,Class_F
FZD1,fzd1,Class_F
FZD1,fzd1,Class_F
FZD10,fzd10,Class_F
FZD10,fzd10,Class_F
FZD10,fzd10,Class_F
FZD2,fzd2,Class_F
FZD2,fzd2,Class_F
FZD3,fzd3a,Class_F
FZD3,fzd3a,Class_F
FZD3,fzd3b,Class_F
FZD3,fzd3b,Class_F
FZD4,fzd4,Class_F
FZD4,fzd4,Class_F
FZD5,fzd5,Class_F
FZD6,fzd6,Class_F
FZD6,fzd6,Class_F
FZD7,fzd7a,Class_F
FZD7,fzd7a,Class_F
FZD7,fzd7b,Class_F
FZD7,fzd7b,Class_F
FZD7,fzd7b,Class_F
FZD8,fzd8a,Class_F
FZD8,fzd8a,Class_F
FZD8,fzd8b,Class_F
FZD9,fzd9a,Class_F
FZD9,fzd9a,Class_F
FZD9,fzd9b,Class_F
FZD9,fzd9b,Class_F
GABBR1,gabbr1a,Class_C
GABBR1,gabbr1a,Class_C
GABBR1,gabbr1a,Class_C
GABBR1,gabbr1b,Class_C
GABBR1,gabbr1b,Class_C
GABBR1,gabbr1b,Class_C
GABBR1,gabbr1b,Class_C
GABBR2,gabbr2,Class_C
GABBR2,gabbr2,Class_C
GABBR2,gabbr2,Class_C
GALR1,galr1a,Class_A
GALR1,galr1a,Class_A
GALR1,galr1a,Class_A
GALR1,galr1b,Class_A
GALR2,galr2a,Class_A
GALR2,galr2a,Class_A
GALR2,galr2b,Class_A
GCGR,gcgra,Class_B1
GCGR,gcgrb,Class_B1
GHRHR,ghrhra,Class_B1
GHRHR,ghrhrb,Class_B1
GHSR,ghsra,Class_A
GHSR,ghsra,Class_A
GHSR,ghsra,Class_A
GHSR,ghsra,Class_A
GHSR,ghsrb,Class_A
GHSR,ghsrb,Class_A
GIPR,gipr,Class_B1
GIPR,gipr,Class_B1
GIPR,gipr,Class_B1
GPBAR1,gpbar1,Class_A
GPER1,gper1,Class_A
GPR101,gpr101,Class_A
GPR101,gpr101,Class_A
GPR12,gpr12,Class_A
GPR12,gpr12,Class_A
GPR12,gpr12,Class_A
GPR132,gpr132a,Class_A
GPR132,gpr132a,Class_A
GPR132,gpr132b,Class_A
GPR132,gpr132b,Class_A
GPR135,gpr135,Class_A
GPR139,gpr139,Class_A
GPR139,gpr139,Class_A
GPR139,gpr139,Class_A
GPR142,gpr142,Class_A
GPR146,gpr146,Class_A
GPR151,gpr151,Class_A
GPR153,gpr153,Class_A
GPR153,gpr153,Class_A
GPR156,gpr156,Class_A
GPR158,gpr158a,Class_C
GPR158,gpr158b,Class_C
GPR160,gpr160,Class_A
GPR161,gpr161b,Class_A
GPR17,gpr17,Class_A
GPR17,gpr17,Class_A
GPR17,gpr17,Class_A
GPR171,gpr171,Class_A
GPR173,gpr173,Class_A
GPR173,gpr173,Class_A
GPR173,gpr173,Class_A
GPR174,gpr174,Class_A
GPR176,gpr176,Class_A
GPR18,gpr18,Class_A
GPR183,gpr183a,Class_A
GPR183,gpr183b,Class_A
GPR19,gpr19,Class_A
GPR20,gpr20,Class_A
GPR22,gpr22a,Class_A
GPR22,gpr22b,Class_A
GPR25,gpr25,Class_A
GPR26,gpr26,Class_A
GPR27,gpr27,Class_A
GPR27,gpr27,Class_A
GPR27,gpr27,Class_A
GPR3,gpr3,Class_A
GPR34,gpr34a,Class_A
GPR34,gpr34b,Class_A
GPR34,gpr34b,Class_A
GPR35,gpr35.1,Class_A
GPR37,gpr37a,Class_A
GPR37,gpr37b,Class_A
GPR37,gpr37b,Class_A
GPR37L1,gpr37l1a,Class_A
GPR37L1,gpr37l1b,Class_A
GPR39,gpr39,Class_A
GPR39,gpr39,Class_A
GPR39,gpr39,Class_A
GPR4,gpr4,Class_A
GPR4,gpr4,Class_A
GPR45,gpr45,Class_A
GPR52,gpr52,Class_A
GPR52,gpr52,Class_A
GPR52,gpr52,Class_A
GPR55,gpr55a,Class_A
GPR6,gpr6,Class_A
GPR6,gpr6,Class_A
GPR6,gpr6,Class_A
GPR61,gpr61,Class_A
GPR61,gpr61,Class_A
GPR63,gpr63,Class_A
GPR65,gpr65,Class_A
GPR75,gpr75,Class_A
GPR75,gpr75,Class_A
GPR78,gpr78a,Class_A
GPR78,gpr78b,Class_A
GPR84,gpr84,Class_A
GPR84,gpr84,Class_A
GPR84,gpr84,Class_A
GPR85,gpr85,Class_A
GPR85,gpr85,Class_A
GPRC5B,gprc5ba,Class_A
GPRC5B,gprc5bb,Class_A
GPRC5C,gprc5c,Class_A
GPRC6A,gprc6a,Class_C
GRM1,grm1a,Class_C
GRM1,grm1a,Class_C
GRM1,grm1a,Class_C
GRM1,grm1b,Class_C
GRM1,grm1b,Class_C
GRM1,grm1b,Class_C
GRM2,grm2a,Class_C
GRM2,grm2b,Class_C
GRM3,grm3,Class_C
GRM3,grm3,Class_C
GRM3,grm3,Class_C
GRM3,grm3,Class_C
GRM4,grm4,Class_C
GRM4,grm4,Class_C
GRM4,grm4,Class_C
GRM5,grm5a,Class_C
GRM5,grm5a,Class_C
GRM5,grm5a,Class_C
GRM5,grm5b,Class_C
GRM6,grm6a,Class_C
GRM6,grm6a,Class_C
GRM6,grm6b,Class_C
GRM6,grm6b,Class_C
GRM8,grm8a,Class_C
GRM8,grm8a,Class_C
GRM8,grm8a,Class_C
GRM8,grm8a,Class_C
GRM8,grm8b,Class_C
GRM8,grm8b,Class_C
GRM8,grm8b,Class_C
GRM8,grm8b,Class_C
HCAR1,hcar1-1,Class_A
HCAR1,hcar1-2,Class_A
HCRTR2,hcrtr2,Class_A
HCRTR2,hcrtr2,Class_A
HCRTR2,hcrtr2,Class_A
HRH1,hrh1,Class_A
HRH2,hrh2a,Class_A
HRH2,hrh2b,Class_A
HRH3,hrh3,Class_A
HRH3,hrh3,Class_A
HRH3,hrh3,Class_A
HTR1A,htr1aa,Class_A
HTR1A,htr1aa,Class_A
HTR1A,htr1ab,Class_A
HTR1A,htr1ab,Class_A
HTR1A,htr1ab,Class_A
HTR1B,htr1b,Class_A
HTR1B,htr1b,Class_A
HTR1D,htr1d,Class_A
HTR1D,htr1d,Class_A
HTR1F,htr1fa,Class_A
HTR1F,htr1fa,Class_A
HTR1F,htr1fb,Class_A
HTR1F,htr1fb,Class_A
HTR1F,htr1fb,Class_A
HTR2A,htr2ab,Class_A
HTR2A,htr2ab,Class_A
HTR2B,htr2b,Class_A
HTR4,htr4,Class_A
HTR4,htr4,Class_A
HTR5A,htr5aa,Class_A
HTR5A,htr5aa,Class_A
HTR5A,htr5aa,Class_A
HTR5A,htr5aa,Class_A
HTR5A,htr5ab,Class_A
HTR5A,htr5ab,Class_A
HTR5A,htr5ab,Class_A
HTR6,htr6,Class_A
HTR6,htr6,Class_A
HTR7,htr7a,Class_A
HTR7,htr7a,Class_A
HTR7,htr7a,Class_A
KISS1R,kiss1ra,Class_A
KISS1R,kiss1rb,Class_A
LGR4,lgr4,Class_B2
LGR4,lgr4,Class_B2
LGR6,lgr6,Class_B2
LHCGR,lhcgr,Class_A
LPAR1,lpar1,Class_A
LPAR1,lpar1,Class_A
LPAR2,lpar2a,Class_A
LPAR2,lpar2b,Class_A
LPAR3,lpar3,Class_A
LPAR3,lpar3,Class_A
LPAR4,lpar4,Class_A
LPAR4,lpar4,Class_A
LPAR4,lpar4,Class_A
LPAR5,lpar5a,Class_A
LPAR5,lpar5b,Class_A
LPAR6,lpar6a,Class_A
LPAR6,lpar6a,Class_A
LPAR6,lpar6a,Class_A
LPAR6,lpar6a,Class_A
LPAR6,lpar6b,Class_A
LTB4R,ltb4r,Class_A
LTB4R2,ltb4r2a,Class_A
LTB4R2,ltb4r2b,Class_A
MC1R,mc1r,Class_A
MC2R,mc2r,Class_A
MC3R,mc3r,Class_A
MC3R,mc3r,Class_A
MC4R,mc4r,Class_A
MC4R,mc4r,Class_A
MC4R,mc4r,Class_A
MC5R,mc5ra,Class_A
MC5R,mc5ra,Class_A
MC5R,mc5rb,Class_A
MC5R,mc5rb,Class_A
MC5R,mc5rb,Class_A
MCHR1,mchr1a,Class_A
MCHR1,mchr1b,Class_A
MCHR2,mchr2a,Class_A
MCHR2,mchr2a,Class_A
MCHR2,mchr2b,Class_A
MCHR2,mchr2b,Class_A
MCHR2,mchr2b,Class_A
MCHR2,mchr2b,Class_A
MLNR,mlnr,Class_A
MTNR1A,mtnr1aa,Class_A
MTNR1A,mtnr1aa,Class_A
MTNR1A,mtnr1ab,Class_A
MTNR1A,mtnr1ab,Class_A
MTNR1A,mtnr1ab,Class_A
MTNR1A,mtnr1al,Class_A
MTNR1A,mtnr1al,Class_A
MTNR1A,mtnr1al,Class_A
MTNR1B,mtnr1ba,Class_A
MTNR1B,mtnr1bb,Class_A
NMUR1,nmur1a,Class_A
NPBWR2,npbwr2a,Class_A
NPBWR2,npbwr2b,Class_A
NPBWR2,npbwr2b,Class_A
NPBWR2,npbwr2b,Class_A
NPFFR1,npffr1,Class_A
NPFFR1,npffr1,Class_A
NPFFR1,npffr1l1,Class_A
NPFFR1,npffr1l1,Class_A
NPFFR1,npffr1l2,Class_A
NPFFR1,npffr1l2,Class_A
NPFFR1,npffr1l2,Class_A
NPFFR1,npffr1l3,Class_A
NPFFR1,npffr1l3,Class_A
NPFFR2,npffr2a,Class_A
NPFFR2,npffr2a,Class_A
NPFFR2,npffr2a,Class_A
NPFFR2,npffr2b,Class_A
NPFFR2,npffr2b,Class_A
NPFFR2,npffr2b,Class_A
NPY1R,npy1r,Class_A
NPY2R,npy2r,Class_A
NPY2R,npy2rl,Class_A
NPY4R,npy4r,Class_A
NTSR1,ntsr1,Class_A
NTSR1,ntsr1,Class_A
NTSR1,ntsr1,Class_A
NTSR1,ntsr1,Class_A
OPN1LW,opn1lw1,Class_A
OPN1LW,opn1lw1,Class_A
OPN1LW,opn1lw1,Class_A
OPN1LW,opn1lw1,Class_A
OPN1SW,opn1sw1,Class_A
OPN1SW,opn1sw1,Class_A
OPN3,opn3,Class_A
OPN3,opn3,Class_A
OPN4,opn4a,Class_A
OPN4,opn4a,Class_A
OPN4,opn4a,Class_A
OPN4,opn4b,Class_A
OPN4,opn4b,Class_A
OPN5,opn5,Class_A
OPN5,opn5,Class_A
OPN5,opn5,Class_A
OPRD1,oprd1a,Class_A
OPRD1,oprd1a,Class_A
OPRD1,oprd1b,Class_A
OPRD1,oprd1b,Class_A
OPRD1,oprd1b,Class_A
OPRK1,oprk1,Class_A
OPRK1,oprk1,Class_A
OPRK1,oprk1,Class_A
OPRL1,oprl1,Class_A
OPRM1,oprm1,Class_A
OPRM1,oprm1,Class_A
OXGR1,oxgr1a.1,Class_A
OXGR1,oxgr1a.2,Class_A
OXGR1,oxgr1a.2,Class_A
OXGR1,oxgr1a.3,Class_A
OXGR1,oxgr1b,Class_A
OXTR,oxtra,Class_A
OXTR,oxtrb,Class_A
OXTR,oxtrb,Class_A
OXTR,oxtrb,Class_A
OXTR,oxtrb,Class_A
P2RY1,p2ry1,Class_A
P2RY10,p2ry10,Class_A
P2RY10,p2ry10,Class_A
P2RY11,p2ry11,Class_A
P2RY12,p2ry12,Class_A
P2RY13,p2ry13,Class_A
P2RY2,p2ry2.1,Class_A
P2RY2,p2ry2.1,Class_A
P2RY2,p2ry2.2,Class_A
P2RY2,p2ry2.2,Class_A
P2RY2,p2ry2.2,Class_A
P2RY2,p2ry2.3,Class_A
P2RY2,p2ry2.3,Class_A
P2RY2,p2ry2.3,Class_A
P2RY8,p2ry8,Class_A
PITPNM3,pitpnm3,Class_A
PROKR1,prokr1a,Class_A
PROKR1,prokr1a,Class_A
PROKR1,prokr1b,Class_A
PROKR1,prokr1b,Class_A
PTAFR,ptafr,Class_A
PTAFR,ptafr,Class_A
PTAFR,ptafr,Class_A
PTGER1,ptger1a,Class_A
PTGER1,ptger1b,Class_A
PTGER1,ptger1c,Class_A
PTGER2,ptger2a,Class_A
PTGER2,ptger2b,Class_A
PTGER3,ptger3,Class_A
PTGER4,ptger4a,Class_A
PTGER4,ptger4a,Class_A
PTGER4,ptger4b,Class_A
PTGER4,ptger4c,Class_A
PTGFR,ptgfr,Class_A
PTGIR,ptgir,Class_A
PTH1R,pth1r,Class_B1
PTH1R,pth1r,Class_B1
PTH1R,pth1r,Class_B1
PTH2R,pth2ra,Class_B1
PTH2R,pth2ra,Class_B1
PTH2R,pth2rb,Class_B1
PTH2R,pth2rb,Class_B1
QRFPR,qrfpra,Class_A
QRFPR,qrfprb,Class_A
QRFPR,qrfprb,Class_A
RGR,rgra,Class_A
RGR,rgrb,Class_A
RHO,rho,Class_A
RHO,rho,Class_A
RHO,rho,Class_A
RRH,rrh,Class_A
RRH,rrh,Class_A
RRH,rrh,Class_A
RXFP1,rxfp1,Class_A
RXFP1,rxfp1,Class_A
RXFP2,rxfp2a,Class_A
RXFP2,rxfp2a,Class_A
RXFP2,rxfp2b,Class_A
RXFP2,rxfp2b,Class_A
RXFP3,rxfp3,Class_A
RXFP3,rxfp3,Class_A
S1PR1,s1pr1,Class_A
S1PR1,s1pr1,Class_A
S1PR2,s1pr2,Class_A
S1PR3,s1pr3a,Class_A
S1PR4,s1pr4,Class_A
S1PR4,s1pr4,Class_A
S1PR5,s1pr5a,Class_A
S1PR5,s1pr5a,Class_A
S1PR5,s1pr5b,Class_A
SMO,smo,Class_F
SMO,smo,Class_F
SMO,smo,Class_F
SSTR1,sstr1a,Class_A
SSTR2,sstr2a,Class_A
SSTR2,sstr2a,Class_A
SSTR2,sstr2a,Class_A
SSTR2,sstr2b,Class_A
SSTR2,sstr2b,Class_A
SSTR3,sstr3,Class_A
SSTR5,sstr5,Class_A
TAAR1,taar1b,Class_A
TACR1,tacr1a,Class_A
TACR1,tacr1b,Class_A
TACR1,tacr1b,Class_A
TACR2,tacr2,Class_A
TACR2,tacr2,Class_A
TACR3,tacr3a,Class_A
TACR3,tacr3l,Class_A
TBXA2R,tbxa2r,Class_A
TBXA2R,tbxa2r,Class_A
TRHR,trhra,Class_A
TRHR,trhra,Class_A
TRHR,trhra,Class_A
TRHR,trhrb,Class_A
TRHR,trhrb,Class_A
TRHR,trhrb,Class_A
TSHR,tshr,Class_A
TSHR,tshr,Class_A
VIPR1,vipr1a,Class_B1
VIPR1,vipr1b,Class_B1
VIPR1,vipr1b,Class_B1
VIPR1,vipr1b,Class_B1
VIPR2,vipr2,Class_B1
VIPR2,vipr2,Class_B1
XCR1,xcr1a.1,Class_A
XCR1,xcr1b.1,Class_A
XCR1,xcr1b.2,Class_A
