human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
LTB4R,ltb4r,12,5,3,70.59,Class_A
LTB4R2,ltb4r2a,13,3,2,81.25,Class_A
MC1R,mc1r,12,1,5,92.31,Class_C
MC2R,mc2r,7,3,7,70,Class_A
MC3R,mc3r,17,0,2,100,Class_A
MC4R,mc4r,15,0,6,100,Class_B1
MC5R,mc5rb,13,0,11,100,Class_F
MCHR1,mchr1a,13,3,4,81.25,Class_A
MCHR2,mchr2a,13,1,1,92.86,Class_F
MLNR,mlnr,9,3,9,75,Class_C
MTNR1A,mtnr1al,10,0,8,100,Class_A
MTNR1B,mtnr1bb,22,2,0,91.67,Class_B1
NMUR1,nmur1a,19,3,1,86.36,Class_B1
NPBWR2,npbwr2b,16,0,4,100,Class_C
NPFFR1,npffr1,14,0,5,100,Class_C
NPFFR2,npffr2a,24,0,1,100,Class_B1
NPY1R,npy1r,24,1,0,96,Class_B1
NPY2R,npy2rl,16,2,0,88.89,Class_C
NPY4R,npy4r,15,1,5,93.75,Class_A
NTSR1,ntsr1,11,0,16,100,Class_F
OPN1LW,opn1lw1,23,0,0,100,Class_A
OPN1SW,opn1sw1,21,3,2,87.5,Class_B1
OPN3,opn3,13,6,6,68.42,Class_B1
OPN4,opn4b,21,0,2,100,Class_A
OPN5,opn5,18,0,0,100,Class_C
OPRD1,oprd1b,14,1,5,93.33,Class_A
OPRK1,oprk1,25,1,1,96.15,Class_B1
OPRL1,oprl1,17,2,7,89.47,Class_B1
OPRM1,oprm1,13,0,1,100,Class_A
OXGR1,oxgr1a.1,15,3,3,83.33,Class_A
OXTR,oxtrb,14,2,1,87.5,Class_F
P2RY1,p2ry1,17,2,1,89.47,Class_A
P2RY10,p2ry10,15,0,2,100,Class_A
P2RY11,p2ry11,10,6,1,62.5,Class_A
P2RY12,p2ry12,16,0,0,100,Class_A
P2RY13,p2ry13,11,2,6,84.62,Class_A
P2RY8,p2ry8,17,2,1,89.47,Class_A
PROKR1,prokr1a,14,1,2,93.33,Class_A
PTGER1,ptger1b,17,2,3,89.47,Class_B1
PTGER2,ptger2a,9,5,4,64.29,Class_A
PTGER3,ptger3,21,1,0,95.45,Class_A
PTGER4,ptger4a,23,1,2,95.83,Class_B1
PTGFR,ptgfr,22,3,2,88,Class_B1
PTGIR,ptgir,16,3,2,84.21,Class_A
PTH2R,pth2rb,24,1,0,96,Class_B1
QRFPR,qrfprb,13,2,0,86.67,Class_A
RGR,rgra,15,2,2,88.24,Class_A
RHO,rho,21,1,2,95.45,Class_A
RRH,rrh,18,0,4,100,Class_F
RXFP2,rxfp2b,20,0,4,100,Class_B1
RXFP3,rxfp3,25,1,1,96.15,Class_B1
S1PR1,s1pr1,17,0,0,100,Class_A
S1PR2,s1pr2,22,1,0,95.65,Class_B1
S1PR3,s1pr3a,16,1,0,94.12,Class_A
S1PR5,s1pr5b,24,1,4,96,Class_F
SMO,smo,27,0,1,100,Class_B1
SSTR1,sstr1a,14,1,3,93.33,Class_A
SSTR2,sstr2b,15,1,5,93.75,Class_C
SSTR3,sstr3,23,2,0,92,Class_B1
SSTR5,sstr5,15,2,2,88.24,Class_A
TAAR1,taar1b,16,4,8,80,Class_F
TACR1,tacr1b,22,2,0,91.67,Class_B1
TACR2,tacr2,18,1,2,94.74,Class_F
TACR3,tacr3l,19,3,1,86.36,Class_B1
TBXA2R,tbxa2r,17,2,8,89.47,Class_B1
TRHR,trhra,25,1,1,96.15,Class_B1
TSHR,tshr,16,1,1,94.12,Class_F
VIPR1,vipr1b,14,1,10,93.33,Class_B1
XCR1,xcr1b.2,9,5,6,64.29,Class_A
