human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,failed alignments / total residues,% identity,% similarity,best class alignment,actual class,Class Match,PDB
ADGRF3,adgrf3b,8,13,6,3,0.136363636,57.14,92.86,Class_A,Class_B2,classes mismatch,-
ADGRG1,adgrg1,10,12,4,3,0.157894737,71.43,85.71,Class_A,Class_B2,classes mismatch,7SF8
ADGRG2,adgrg2a,13,15,2,1,0.055555556,86.67,100,Class_A,Class_B2,classes mismatch,7XKE
ADGRG2,adgrg2a,4,4,0,5,0.555555556,100,100,Class_F,Class_B2,classes mismatch,7XKE
ADGRG6,adgrg6,14,15,1,0,0,93.33,100,Class_A,Class_B2,classes mismatch,6V55
ADGRG7,adgrg7.2,5,6,1,11,0.611111111,83.33,100,Class_A,Class_B2,classes mismatch,-
ADGRL1,adgrl1a,16,16,0,2,0.111111111,100,100,Class_A,Class_B2,classes mismatch,6SKA
ADGRL1,adgrl1a,19,21,2,2,0.08,90.48,100,Class_B1,Class_B2,classes mismatch,6SKA
ADGRL1,adgrl1a,15,15,0,3,0.166666667,100,100,Class_C,Class_B2,classes mismatch,6SKA
ADGRL1,adgrl1a,13,13,0,2,0.133333333,100,100,Class_F,Class_B2,classes mismatch,6SKA
ADGRL2,adgrl2a,19,21,2,1,0.041666667,90.48,100,Class_B1,Class_B2,classes mismatch,9E51
ADGRL2,adgrl2a,3,4,1,13,0.722222222,75,100,Class_C,Class_B2,classes mismatch,9E51
ADGRL2,adgrl2a,10,11,1,5,0.294117647,90.91,100,Class_F,Class_B2,classes mismatch,9E51
ADGRL2,adgrl2b.1,0,1,7,15,0.652173913,0,14.29,Class_B1,Class_B2,classes mismatch,9E51
ADGRL3,adgrl3.1,19,19,0,1,0.05,100,100,Class_A,Class_B2,classes mismatch,9E51
ADGRL3,adgrl3.1,20,20,0,2,0.090909091,100,100,Class_B1,Class_B2,classes mismatch,8JMT
ADGRL3,adgrl3.1,16,16,0,3,0.157894737,100,100,Class_C,Class_B2,classes mismatch,8JMT
ADGRL3,adgrl3.1,9,10,1,1,0.083333333,90,100,Class_F,Class_B2,classes mismatch,8JMT
ADGRL4,adgrl4,0,1,1,18,0.9,0,100,Class_C,Class_B2,classes mismatch,-
ADORA1,adora1b,19,19,0,0,0,100,100,Class_A,Class_A,classes match,5N2S
ADORA1,adora1b,21,24,3,0,0,87.5,100,Class_B1,Class_A,classes mismatch,5N2S
ADORA1,adora1b,18,19,1,1,0.047619048,94.74,100,Class_C,Class_A,classes mismatch,5N2S
ADORA2A,adora2aa,23,25,2,0,0,92,100,Class_B1,Class_A,classes mismatch,3QAK
ADORA2A,adora2aa,19,19,0,0,0,100,100,Class_C,Class_A,classes mismatch,3QAK
ADORA2A,adora2aa,15,18,3,3,0.125,83.33,100,Class_F,Class_A,classes mismatch,3QAK
ADORA2A,adora2ab,19,22,3,3,0.107142857,86.36,100,Class_B1,Class_A,classes mismatch,3QAK
ADORA2A,adora2ab,16,17,1,2,0.1,94.12,100,Class_C,Class_A,classes mismatch,3QAK
ADORA2B,adora2b,22,25,3,0,0,88,100,Class_B1,Class_A,classes mismatch,7XY6
ADORA2B,adora2b,17,19,2,2,0.086956522,89.47,100,Class_C,Class_A,classes mismatch,7XY6
ADRA1A,adra1aa,15,16,1,2,0.105263158,93.75,100,Class_A,Class_A,classes match,9IQV
ADRA1A,adra1ab,14,17,3,1,0.047619048,82.35,100,Class_A,Class_A,classes match,9IQV
ADRA1B,adra1ba,17,18,1,3,0.136363636,94.44,100,Class_A,Class_A,classes match,7B6W
ADRA1B,adra1ba,23,23,0,1,0.041666667,100,100,Class_B1,Class_A,classes mismatch,7B6W
ADRA1B,adra1ba,18,21,3,1,0.04,85.71,100,Class_C,Class_A,classes mismatch,7B6W
ADRA1B,adra1ba,9,11,2,7,0.35,81.82,100,Class_F,Class_A,classes mismatch,7B6W
ADRA1B,adra1bb,17,19,2,2,0.086956522,89.47,100,Class_A,Class_A,classes match,7B6W
ADRA1B,adra1bb,16,20,4,2,0.076923077,80,100,Class_C,Class_A,classes mismatch,7B6W
ADRA1D,adra1d,18,18,0,0,0,100,100,Class_A,Class_A,classes match,-
ADRA1D,adra1d,18,23,5,2,0.066666667,78.26,100,Class_B1,Class_A,classes mismatch,-
ADRA1D,adra1d,15,15,0,7,0.318181818,100,100,Class_C,Class_A,classes mismatch,-
ADRA1D,adra1d,16,17,1,0,0,94.12,100,Class_F,Class_A,classes mismatch,-
ADRA2A,adra2a,18,19,1,0,0,94.74,100,Class_A,Class_A,classes match,9IQR
ADRA2A,adra2a,22,24,2,0,0,91.67,100,Class_B1,Class_A,classes mismatch,9IQR
ADRA2A,adra2a,20,20,0,0,0,100,100,Class_C,Class_A,classes mismatch,9IQR
ADRA2A,adra2a,8,8,0,10,0.555555556,100,100,Class_F,Class_A,classes mismatch,9IQR
ADRA2B,adra2b,18,19,1,0,0,94.74,100,Class_A,Class_A,classes match,6K41
ADRA2B,adra2b,23,24,1,1,0.038461538,95.83,100,Class_B1,Class_A,classes mismatch,6K41
ADRA2B,adra2b,20,21,1,0,0,95.24,100,Class_C,Class_A,classes mismatch,6K41
ADRA2C,adra2c,18,19,1,0,0,94.74,100,Class_A,Class_A,classes match,-
ADRA2C,adra2c,20,21,1,0,0,95.24,100,Class_C,Class_A,classes mismatch,-
ADRB1,adrb1,16,18,2,1,0.047619048,88.89,100,Class_C,Class_A,classes mismatch,5F8U
ADRB2,adrb2a,17,19,2,2,0.086956522,89.47,100,Class_C,Class_A,classes mismatch,3NY9
ADRB2,adrb2b,19,19,0,1,0.05,100,100,Class_A,Class_A,classes match,3NY9
ADRB2,adrb2b,24,25,1,1,0.037037037,96,100,Class_B1,Class_A,classes mismatch,3NY9
ADRB2,adrb2b,16,19,3,2,0.083333333,84.21,100,Class_C,Class_A,classes mismatch,3NY9
ADRB3,adrb3a,17,19,2,0,0,89.47,100,Class_A,Class_A,classes match,9IJD
ADRB3,adrb3a,16,17,1,5,0.217391304,94.12,100,Class_C,Class_A,classes mismatch,9IJD
ADRB3,adrb3b,17,19,2,0,0,89.47,100,Class_A,Class_A,classes match,9IJD
ADRB3,adrb3b,14,15,1,7,0.304347826,93.33,100,Class_C,Class_A,classes mismatch,9IJD
AGTR1,agtr1a,11,14,4,9,0.333333333,73.33,93.33,Class_B1,Class_A,classes mismatch,6OS1
AGTR1,agtr1b,10,13,4,10,0.37037037,71.43,92.86,Class_B1,Class_A,classes mismatch,6OS1
AGTR2,agtr2,8,13,5,5,0.217391304,61.54,100,Class_A,Class_A,classes match,5UNG
AGTR2,agtr2,13,14,1,13,0.464285714,92.86,100,Class_B1,Class_A,classes mismatch,5UNG
APLNR,aplnra,2,4,2,17,0.739130435,50,100,Class_C,Class_A,classes mismatch,7SUS
APLNR,aplnrb,12,15,4,1,0.05,75,93.75,Class_A,Class_A,classes match,7SUS
AVPR1A,avpr1aa,16,18,2,3,0.130434783,88.89,100,Class_A,Class_A,classes match,1YTV
AVPR1A,avpr1aa,11,14,3,12,0.413793103,78.57,100,Class_F,Class_A,classes mismatch,1YTV
AVPR1A,avpr1ab,16,18,2,3,0.130434783,88.89,100,Class_A,Class_A,classes match,1YTV
AVPR1A,avpr1ab,10,12,2,14,0.5,83.33,100,Class_F,Class_A,classes mismatch,1YTV
AVPR2,avpr2aa,6,9,3,9,0.428571429,66.67,100,Class_A,Class_A,classes match,9U80
AVPR2,avpr2aa,10,13,3,7,0.304347826,76.92,100,Class_B1,Class_A,classes mismatch,9U80
AVPR2,avpr2aa,4,5,1,15,0.714285714,80,100,Class_F,Class_A,classes mismatch,9U80
AVPR2,avpr2ab,9,13,4,7,0.291666667,69.23,100,Class_B1,Class_A,classes mismatch,9U80
AVPR2,avpr2ab,4,6,2,14,0.636363636,66.67,100,Class_F,Class_A,classes mismatch,9U80
BDKRB1,bdkrb1,11,17,10,2,0.068965517,52.38,80.95,Class_C,Class_A,classes mismatch,7EIB
C5AR1,c5ar1,10,20,12,2,0.058823529,45.45,90.91,Class_B1,Class_A,classes mismatch,8HPT
CALCR,calcr,8,10,2,7,0.368421053,80,100,Class_C,Class_B1,classes mismatch,6PFO
CALCR,calcr,3,3,0,2,0.4,100,100,Class_F,Class_B1,classes mismatch,6PFO
CALCRL,calcrla,21,23,3,0,0,87.5,95.83,Class_B1,Class_B1,classes match,7KNT
CALCRL,calcrlb,19,21,3,2,0.076923077,86.36,95.45,Class_B1,Class_B1,classes match,7KNT
CASR,casr,18,19,1,0,0,94.74,100,Class_A,Class_C,classes mismatch,7DD6
CASR,casr,22,23,1,1,0.04,95.65,100,Class_B1,Class_C,classes mismatch,7DD6
CCKAR,cckar,21,22,2,2,0.076923077,91.3,95.65,Class_B1,Class_A,classes mismatch,7F8U
CCKBR,cckbra,17,23,6,1,0.033333333,73.91,100,Class_B1,Class_A,classes mismatch,7F8W
CCKBR,cckbra,17,19,2,2,0.086956522,89.47,100,Class_C,Class_A,classes mismatch,7F8W
CCR10,ccr10,4,6,4,7,0.411764706,50,75,Class_A,Class_A,classes match,9KO6
CCR2,ccr2,2,3,1,17,0.80952381,66.67,100,Class_C,Class_A,classes mismatch,7XA3
CCR6,ccr6a,4,5,3,7,0.466666667,57.14,71.43,Class_F,Class_A,classes mismatch,9DE3
CCR6,ccr6b,9,13,7,6,0.230769231,56.25,81.25,Class_B1,Class_A,classes mismatch,9DE3
CCR7,ccr7,17,20,5,0,0,77.27,90.91,Class_B1,Class_A,classes mismatch,9L16
CCR8,ccr8.1,0,1,1,13,0.866666667,0,100,Class_F,Class_A,classes mismatch,8KFX
CCR9,ccr9a,0,1,1,27,0.931034483,0,100,Class_B1,Class_A,classes mismatch,5LWE
CCR9,ccr9b,9,12,4,6,0.272727273,69.23,92.31,Class_A,Class_A,classes match,5LWE
CELSR1,celsr1a,0,1,2,1,0.25,0,50,Class_B1,Class_F,classes mismatch,8VY2
CELSR1,celsr1b,0,1,1,2,0.5,0,100,Class_B1,Class_F,classes mismatch,8VY2
CELSR3,celsr3,0,3,4,4,0.363636364,0,75,Class_B1,Class_F,classes mismatch,-
CHRM1,chrm1a,18,18,0,0,0,100,100,Class_A,Class_A,classes match,9JEA
CHRM1,chrm1a,16,16,0,3,0.157894737,100,100,Class_C,Class_A,classes mismatch,9JEA
CHRM2,chrm2a,18,18,0,0,0,100,100,Class_A,Class_A,classes match,3UON
CHRM2,chrm2a,18,19,1,0,0,94.74,100,Class_C,Class_A,classes mismatch,3UON
CHRM2,chrm2b,18,18,0,0,0,100,100,Class_A,Class_A,classes match,3UON
CHRM2,chrm2b,21,23,2,0,0,91.3,100,Class_B1,Class_A,classes mismatch,3UON
CHRM2,chrm2b,16,17,1,2,0.1,94.12,100,Class_C,Class_A,classes mismatch,3UON
CHRM3,chrm3a,21,22,1,0,0,95.45,100,Class_A,Class_A,classes match,4DAJ
CHRM3,chrm3a,19,19,0,1,0.05,100,100,Class_C,Class_A,classes mismatch,4DAJ
CHRM3,chrm3a,2,2,0,18,0.9,100,100,Class_F,Class_A,classes mismatch,4DAJ
CHRM3,chrm3b,16,17,1,5,0.217391304,94.12,100,Class_A,Class_A,classes match,4DAJ
CHRM3,chrm3b,21,21,0,2,0.086956522,100,100,Class_B1,Class_A,classes mismatch,4DAJ
CHRM3,chrm3b,15,16,1,4,0.19047619,93.75,100,Class_C,Class_A,classes mismatch,4DAJ
CHRM3,chrm3b,7,7,0,13,0.65,100,100,Class_F,Class_A,classes mismatch,4DAJ
CHRM4,chrm4a,18,18,0,0,0,100,100,Class_A,Class_A,classes match,9IQS
CHRM4,chrm4a,25,25,0,1,0.038461538,100,100,Class_B1,Class_A,classes mismatch,9IQS
CHRM4,chrm4a,7,7,0,10,0.588235294,100,100,Class_C,Class_A,classes mismatch,9IQS
CHRM4,chrm4b,17,18,1,0,0,94.44,100,Class_A,Class_A,classes match,9IQS
CHRM4,chrm4b,8,8,0,9,0.529411765,100,100,Class_C,Class_A,classes mismatch,9IQS
CHRM5,chrm5a,21,21,0,2,0.086956522,100,100,Class_B1,Class_A,classes mismatch,6OL9
CHRM5,chrm5a,15,15,0,6,0.285714286,100,100,Class_C,Class_A,classes mismatch,6OL9
CHRM5,chrm5b,20,21,1,2,0.083333333,95.24,100,Class_B1,Class_A,classes mismatch,6OL9
CHRM5,chrm5b,3,3,0,18,0.857142857,100,100,Class_C,Class_A,classes mismatch,6OL9
CMKLR1,cmklr1,10,14,6,2,0.090909091,62.5,87.5,Class_A,Class_A,classes match,8ZJG
CMKLR2,cmklr2,9,15,6,9,0.3,60,100,Class_B1,Class_A,classes mismatch,8JJP
CNR1,cnr1,17,20,3,2,0.08,85,100,Class_B1,Class_A,classes mismatch,8DYO
CNR2,cnr2,12,19,9,0,0,57.14,90.48,Class_B1,Class_A,classes mismatch,6KPC
CRHR1,crhr1,6,6,0,13,0.684210526,100,100,Class_C,Class_B1,classes mismatch,4K5Y
CRHR1,crhr1,6,6,0,5,0.454545455,100,100,Class_F,Class_B1,classes mismatch,4K5Y
CRHR2,crhr2,0,0,0,15,1,0,0,Class_A,Class_B1,classes mismatch,7TS0
CRHR2,crhr2,0,0,0,28,1,0,0,Class_B1,Class_B1,classes match,7TS0
CRHR2,crhr2,0,0,0,17,1,0,0,Class_C,Class_B1,classes mismatch,7TS0
CRHR2,crhr2,0,0,0,8,1,0,0,Class_F,Class_B1,classes mismatch,7TS0
CXCR1,cxcr1,16,20,4,4,0.142857143,80,100,Class_B1,Class_A,classes mismatch,8IC0
CXCR2,cxcr2,16,22,6,2,0.066666667,72.73,100,Class_B1,Class_A,classes mismatch,8XVU
CXCR2,cxcr2,2,3,1,14,0.777777778,66.67,100,Class_C,Class_A,classes mismatch,8XVU
CXCR3,cxcr3.1,8,9,2,7,0.388888889,80,90,Class_A,Class_A,classes match,8XYI
CXCR3,cxcr3.2,14,19,6,3,0.107142857,70,95,Class_B1,Class_A,classes mismatch,8XYI
CXCR4,cxcr4a,17,17,0,6,0.260869565,100,100,Class_B1,Class_A,classes mismatch,8ODU
CXCR4,cxcr4b,0,2,2,18,0.818181818,0,100,Class_F,Class_A,classes mismatch,8ODU
CXCR5,cxcr5,13,17,9,2,0.071428571,59.09,77.27,Class_B1,Class_A,classes mismatch,-
CYSLTR1,cysltr1,15,16,2,2,0.1,88.24,94.12,Class_A,Class_A,classes match,6RZ4
DRD1,drd1a,20,20,0,0,0,100,100,Class_A,Class_A,classes match,8JXR
DRD1,drd1a,24,24,0,1,0.04,100,100,Class_B1,Class_A,classes mismatch,8JXR
DRD1,drd1a,19,19,0,0,0,100,100,Class_C,Class_A,classes mismatch,8JXR
DRD1,drd1b,20,20,0,0,0,100,100,Class_A,Class_A,classes match,8JXR
DRD1,drd1b,23,24,1,1,0.038461538,95.83,100,Class_B1,Class_A,classes mismatch,8JXR
DRD1,drd1b,18,19,1,0,0,94.74,100,Class_C,Class_A,classes mismatch,8JXR
DRD1,drd1b,17,19,2,0,0,89.47,100,Class_F,Class_A,classes mismatch,8JXR
DRD2,drd2a,19,19,0,1,0.05,100,100,Class_A,Class_A,classes match,9BS9
DRD2,drd2a,23,23,0,2,0.08,100,100,Class_B1,Class_A,classes mismatch,9BS9
DRD2,drd2a,17,17,0,1,0.055555556,100,100,Class_C,Class_A,classes mismatch,9BS9
DRD2,drd2b,18,18,0,2,0.1,100,100,Class_A,Class_A,classes match,9BS9
DRD2,drd2b,24,24,0,1,0.04,100,100,Class_B1,Class_A,classes mismatch,9BS9
DRD2,drd2b,17,17,0,1,0.055555556,100,100,Class_C,Class_A,classes mismatch,9BS9
DRD3,drd3,19,19,0,0,0,100,100,Class_A,Class_A,classes match,3PBL
DRD3,drd3,17,20,3,4,0.148148148,85,100,Class_B1,Class_A,classes mismatch,3PBL
DRD3,drd3,14,16,2,2,0.1,87.5,100,Class_C,Class_A,classes mismatch,3PBL
DRD4,drd4a,20,21,1,0,0,95.24,100,Class_A,Class_A,classes match,5WIV
DRD4,drd4a,21,21,0,0,0,100,100,Class_B1,Class_A,classes mismatch,5WIV
DRD4,drd4b,21,21,0,0,0,100,100,Class_A,Class_A,classes match,5WIV
DRD4,drd4b,19,20,1,1,0.045454545,95,100,Class_B1,Class_A,classes mismatch,5WIV
DRD4,drd4b,1,1,0,22,0.956521739,100,100,Class_F,Class_A,classes mismatch,5WIV
EDNRA,ednraa,15,15,0,1,0.0625,100,100,Class_A,Class_A,classes match,8XVJ
EDNRA,ednraa,17,18,1,0,0,94.44,100,Class_C,Class_A,classes mismatch,8XVJ
EDNRA,ednrab,24,26,2,2,0.066666667,92.31,100,Class_B1,Class_A,classes mismatch,8XVJ
EDNRB,ednrba,17,17,0,1,0.055555556,100,100,Class_A,Class_A,classes match,5X93
EDNRB,ednrba,22,23,1,1,0.04,95.65,100,Class_B1,Class_A,classes mismatch,5X93
EDNRB,ednrbb,15,16,1,2,0.105263158,93.75,100,Class_A,Class_A,classes match,5X93
EDNRB,ednrbb,23,23,0,1,0.041666667,100,100,Class_B1,Class_A,classes mismatch,5X93
F2R,f2r,11,14,3,3,0.15,78.57,100,Class_A,Class_A,classes match,9D4Z
F2RL1,f2rl1.1,12,16,5,0,0,70.59,94.12,Class_A,Class_A,classes match,5NDZ
F2RL1,f2rl1.2,0,1,1,20,0.909090909,0,100,Class_C,Class_A,classes mismatch,5NDZ
F2RL2,f2rl2,9,12,4,5,0.238095238,69.23,92.31,Class_A,Class_A,classes match,-
FPR1,fpr1,3,6,3,19,0.678571429,50,100,Class_B1,Class_A,classes mismatch,7T6T
FSHR,fshr,1,1,0,19,0.95,100,100,Class_C,Class_A,classes mismatch,8I2H
FZD1,fzd1,21,22,1,1,0.041666667,95.45,100,Class_A,Class_F,classes mismatch,8J9O
FZD1,fzd1,26,27,1,0,0,96.3,100,Class_B1,Class_F,classes mismatch,8J9O
FZD1,fzd1,23,23,0,0,0,100,100,Class_C,Class_F,classes mismatch,8J9O
FZD1,fzd1,22,25,3,0,0,88,100,Class_F,Class_F,classes match,8J9O
FZD10,fzd10,20,21,1,1,0.043478261,95.24,100,Class_A,Class_F,classes mismatch,7X8Q
FZD10,fzd10,26,27,1,0,0,96.3,100,Class_B1,Class_F,classes mismatch,7X8Q
FZD10,fzd10,24,25,1,2,0.071428571,96,100,Class_F,Class_F,classes match,7X8Q
FZD2,fzd2,27,27,0,0,0,100,100,Class_B1,Class_F,classes mismatch,7N9Q
FZD2,fzd2,22,24,2,0,0,91.67,100,Class_F,Class_F,classes match,7N9Q
FZD3,fzd3a,21,23,2,0,0,91.3,100,Class_A,Class_F,classes mismatch,8QW4
FZD3,fzd3a,21,23,2,1,0.038461538,91.3,100,Class_F,Class_F,classes match,8QW4
FZD3,fzd3b,20,23,3,0,0,86.96,100,Class_A,Class_F,classes mismatch,8QW4
FZD3,fzd3b,20,22,2,2,0.076923077,90.91,100,Class_F,Class_F,classes match,8QW4
FZD4,fzd4,26,26,0,1,0.037037037,100,100,Class_B1,Class_F,classes mismatch,8WMA
FZD4,fzd4,23,24,1,0,0,95.83,100,Class_C,Class_F,classes mismatch,8WMA
FZD5,fzd5,22,25,4,0,0,84.62,96.15,Class_B1,Class_F,classes mismatch,6WW2
FZD6,fzd6,1,3,2,21,0.807692308,33.33,100,Class_C,Class_F,classes mismatch,6JH7
FZD6,fzd6,20,21,1,5,0.185185185,95.24,100,Class_F,Class_F,classes match,6JH7
FZD7,fzd7a,26,26,0,0,0,100,100,Class_B1,Class_F,classes mismatch,9EPO
FZD7,fzd7a,19,22,3,1,0.038461538,86.36,100,Class_F,Class_F,classes match,9EPO
FZD7,fzd7b,26,26,0,0,0,100,100,Class_B1,Class_F,classes mismatch,9EPO
FZD7,fzd7b,0,1,1,21,0.913043478,0,100,Class_C,Class_F,classes mismatch,9EPO
FZD7,fzd7b,20,22,2,1,0.04,90.91,100,Class_F,Class_F,classes match,9EPO
FZD8,fzd8a,25,26,1,0,0,96.15,100,Class_B1,Class_F,classes mismatch,8X0T
FZD8,fzd8a,25,28,3,1,0.03125,89.29,100,Class_F,Class_F,classes match,8X0T
FZD8,fzd8b,22,26,5,2,0.060606061,81.48,96.3,Class_F,Class_F,classes match,8X0T
FZD9,fzd9a,16,16,0,3,0.157894737,100,100,Class_A,Class_F,classes mismatch,-
FZD9,fzd9a,23,25,2,2,0.068965517,92,100,Class_B1,Class_F,classes mismatch,-
FZD9,fzd9b,19,19,0,0,0,100,100,Class_A,Class_F,classes mismatch,-
FZD9,fzd9b,23,26,3,1,0.033333333,88.46,100,Class_B1,Class_F,classes mismatch,-
GABBR1,gabbr1a,23,23,0,3,0.115384615,100,100,Class_B1,Class_C,classes mismatch,6W2Y
GABBR1,gabbr1a,25,26,1,1,0.035714286,96.15,100,Class_C,Class_C,classes match,6W2Y
GABBR1,gabbr1a,1,1,0,25,0.961538462,100,100,Class_F,Class_C,classes mismatch,6W2Y
GABBR1,gabbr1b,12,12,0,3,0.2,100,100,Class_A,Class_C,classes mismatch,6W2Y
GABBR1,gabbr1b,23,24,1,2,0.074074074,95.83,100,Class_B1,Class_C,classes mismatch,6W2Y
GABBR1,gabbr1b,17,18,1,9,0.321428571,94.44,100,Class_C,Class_C,classes match,6W2Y
GABBR1,gabbr1b,1,1,0,25,0.961538462,100,100,Class_F,Class_C,classes mismatch,6W2Y
GABBR2,gabbr2,24,24,0,2,0.076923077,100,100,Class_B1,Class_C,classes mismatch,7CA5
GABBR2,gabbr2,28,28,0,0,0,100,100,Class_C,Class_C,classes match,7CA5
GABBR2,gabbr2,22,22,0,0,0,100,100,Class_F,Class_C,classes mismatch,7CA5
GALR1,galr1a,17,17,0,0,0,100,100,Class_A,Class_A,classes match,7WQ3
GALR1,galr1a,15,17,2,0,0,88.24,100,Class_C,Class_A,classes mismatch,7WQ3
GALR1,galr1a,17,21,4,2,0.074074074,80.95,100,Class_F,Class_A,classes mismatch,7WQ3
GALR1,galr1b,17,21,6,2,0.068965517,73.91,91.3,Class_B1,Class_A,classes mismatch,7WQ3
GALR2,galr2a,13,19,6,2,0.074074074,68.42,100,Class_C,Class_A,classes mismatch,7WQ4
GALR2,galr2a,10,12,2,4,0.222222222,83.33,100,Class_F,Class_A,classes mismatch,7WQ4
GALR2,galr2b,17,25,8,0,0,68,100,Class_B1,Class_A,classes mismatch,7WQ4
GCGR,gcgra,7,10,3,2,0.133333333,70,100,Class_A,Class_B1,classes mismatch,7V35
GCGR,gcgrb,19,21,5,2,0.071428571,79.17,87.5,Class_B1,Class_B1,classes match,7V35
GHRHR,ghrhra,14,20,7,5,0.15625,66.67,95.24,Class_B1,Class_B1,classes match,7V9M
GHRHR,ghrhrb,6,11,5,15,0.483870968,54.55,100,Class_B1,Class_B1,classes match,7V9M
GHSR,ghsra,16,16,0,0,0,100,100,Class_A,Class_A,classes match,8ZZO
GHSR,ghsra,23,25,2,0,0,92,100,Class_B1,Class_A,classes mismatch,8ZZO
GHSR,ghsra,15,15,0,1,0.0625,100,100,Class_C,Class_A,classes mismatch,8ZZO
GHSR,ghsra,9,10,1,5,0.3125,90,100,Class_F,Class_A,classes mismatch,8ZZO
GHSR,ghsrb,15,15,0,1,0.0625,100,100,Class_A,Class_A,classes match,8ZZO
GHSR,ghsrb,16,16,0,0,0,100,100,Class_C,Class_A,classes mismatch,8ZZO
GIPR,gipr,21,24,3,2,0.068965517,87.5,100,Class_B1,Class_B1,classes match,8ITL
GIPR,gipr,9,9,0,10,0.526315789,100,100,Class_C,Class_B1,classes mismatch,8ITL
GIPR,gipr,4,5,1,3,0.333333333,80,100,Class_F,Class_B1,classes mismatch,8ITL
GPBAR1,gpbar1,5,13,9,8,0.266666667,35.71,92.86,Class_B1,Class_A,classes mismatch,7XTQ
GPER1,gper1,9,9,0,7,0.4375,100,100,Class_A,Class_A,classes match,8XOG
GPR101,gpr101,15,20,5,5,0.166666667,75,100,Class_B1,Class_A,classes mismatch,8W8S
GPR101,gpr101,3,10,7,10,0.37037037,30,100,Class_F,Class_A,classes mismatch,8W8S
