human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity,best class alignment
ADGRL1,adgrl1a,13,13,0,2,100.0,100.0,Class_F
ADGRL2,adgrl2a,19,21,2,1,90.48,100.0,Class_B1
ADGRL2,adgrl2a,3,4,1,13,75.0,100.0,Class_C
ADGRL2,adgrl2a,10,11,1,5,90.91,100.0,Class_F
ADGRL2,adgrl2b.1,0,1,7,15,0.0,14.29,Class_B1
ADGRL3,adgrl3.1,19,19,0,1,100.0,100.0,Class_A
ADGRL3,adgrl3.1,20,20,0,2,100.0,100.0,Class_B1
ADGRL3,adgrl3.1,16,16,0,3,100.0,100.0,Class_C
ADGRL3,adgrl3.1,9,10,1,1,90.0,100.0,Class_F
ADGRL4,adgrl4,0,1,1,18,0.0,100.0,Class_C
ADORA1,adora1b,19,19,0,0,100.0,100.0,Class_A
ADORA1,adora1b,21,24,3,0,87.5,100.0,Class_B1
ADORA1,adora1b,18,19,1,1,94.74,100.0,Class_C
ADORA2A,adora2aa,23,25,2,0,92.0,100.0,Class_B1
ADORA2A,adora2aa,19,19,0,0,100.0,100.0,Class_C
ADORA2A,adora2aa,15,18,3,3,83.33,100.0,Class_F
ADORA2A,adora2ab,19,22,3,3,86.36,100.0,Class_B1
ADORA2A,adora2ab,16,17,1,2,94.12,100.0,Class_C
ADORA2B,adora2b,22,25,3,0,88.0,100.0,Class_B1
ADORA2B,adora2b,17,19,2,2,89.47,100.0,Class_C
ADRA1A,adra1aa,15,16,1,2,93.75,100.0,Class_A
ADRA1A,adra1ab,14,17,3,1,82.35,100.0,Class_A
ADRA1B,adra1ba,17,18,1,3,94.44,100.0,Class_A
ADRA1B,adra1ba,23,23,0,1,100.0,100.0,Class_B1
ADRA1B,adra1ba,18,21,3,1,85.71,100.0,Class_C
ADRA1B,adra1ba,9,11,2,7,81.82,100.0,Class_F
ADRA1B,adra1bb,17,19,2,2,89.47,100.0,Class_A
ADRA1B,adra1bb,16,20,4,2,80.0,100.0,Class_C
ADRA1D,adra1d,18,18,0,0,100.0,100.0,Class_A
ADRA1D,adra1d,18,23,5,2,78.26,100.0,Class_B1
ADRA1D,adra1d,15,15,0,7,100.0,100.0,Class_C
ADRA1D,adra1d,16,17,1,0,94.12,100.0,Class_F
ADRA2A,adra2a,18,19,1,0,94.74,100.0,Class_A
ADRA2A,adra2a,22,24,2,0,91.67,100.0,Class_B1
ADRA2A,adra2a,20,20,0,0,100.0,100.0,Class_C
ADRA2A,adra2a,8,8,0,10,100.0,100.0,Class_F
ADRA2B,adra2b,18,19,1,0,94.74,100.0,Class_A
ADRA2B,adra2b,23,24,1,1,95.83,100.0,Class_B1
ADRA2B,adra2b,20,21,1,0,95.24,100.0,Class_C
ADRA2C,adra2c,18,19,1,0,94.74,100.0,Class_A
ADRA2C,adra2c,20,21,1,0,95.24,100.0,Class_C
ADRB1,adrb1,16,18,2,1,88.89,100.0,Class_C
ADRB2,adrb2a,17,19,2,2,89.47,100.0,Class_C
ADRB2,adrb2b,19,19,0,1,100.0,100.0,Class_A
ADRB2,adrb2b,24,25,1,1,96.0,100.0,Class_B1
ADRB2,adrb2b,16,19,3,2,84.21,100.0,Class_C
ADRB3,adrb3a,17,19,2,0,89.47,100.0,Class_A
ADRB3,adrb3a,16,17,1,5,94.12,100.0,Class_C
ADRB3,adrb3b,17,19,2,0,89.47,100.0,Class_A
ADRB3,adrb3b,14,15,1,7,93.33,100.0,Class_C
AGTR1,agtr1a,11,14,4,9,73.33,93.33,Class_B1
AGTR1,agtr1b,10,13,4,10,71.43,92.86,Class_B1
AGTR2,agtr2,8,13,5,5,61.54,100.0,Class_A
AGTR2,agtr2,13,14,1,13,92.86,100.0,Class_B1
APLNR,aplnra,2,4,2,17,50.0,100.0,Class_C
APLNR,aplnrb,12,15,4,1,75.0,93.75,Class_A
AVPR1A,avpr1aa,16,18,2,3,88.89,100.0,Class_A
AVPR1A,avpr1aa,11,14,3,12,78.57,100.0,Class_F
AVPR1A,avpr1ab,16,18,2,3,88.89,100.0,Class_A
AVPR1A,avpr1ab,10,12,2,14,83.33,100.0,Class_F
AVPR2,avpr2aa,6,9,3,9,66.67,100.0,Class_A
AVPR2,avpr2aa,10,13,3,7,76.92,100.0,Class_B1
AVPR2,avpr2aa,4,5,1,15,80.0,100.0,Class_F
AVPR2,avpr2ab,9,13,4,7,69.23,100.0,Class_B1
AVPR2,avpr2ab,4,6,2,14,66.67,100.0,Class_F
BDKRB1,bdkrb1,11,17,10,2,52.38,80.95,Class_C
C5AR1,c5ar1,10,20,12,2,45.45,90.91,Class_B1
CALCR,calcr,8,10,2,7,80.0,100.0,Class_C
CALCR,calcr,3,3,0,2,100.0,100.0,Class_F
CALCRL,calcrla,21,23,3,0,87.5,95.83,Class_B1
CALCRL,calcrlb,19,21,3,2,86.36,95.45,Class_B1
CASR,casr,18,19,1,0,94.74,100.0,Class_A
CASR,casr,22,23,1,1,95.65,100.0,Class_B1
CCKAR,cckar,21,22,2,2,91.3,95.65,Class_B1
CCKBR,cckbra,17,23,6,1,73.91,100.0,Class_B1
CCKBR,cckbra,17,19,2,2,89.47,100.0,Class_C
CCR10,ccr10,4,6,4,7,50.0,75.0,Class_A
CCR2,ccr2,2,3,1,17,66.67,100.0,Class_C
CCR6,ccr6a,4,5,3,7,57.14,71.43,Class_F
CCR6,ccr6b,9,13,7,6,56.25,81.25,Class_B1
CCR7,ccr7,17,20,5,0,77.27,90.91,Class_B1
CCR8,ccr8.1,0,1,1,13,0.0,100.0,Class_F
CCR9,ccr9a,0,1,1,27,0.0,100.0,Class_B1
CCR9,ccr9b,9,12,4,6,69.23,92.31,Class_A
CELSR1,celsr1a,0,1,2,1,0.0,50.0,Class_B1
CELSR1,celsr1b,0,1,1,2,0.0,100.0,Class_B1
CELSR3,celsr3,0,3,4,4,0.0,75.0,Class_B1
CHRM1,chrm1a,18,18,0,0,100.0,100.0,Class_A
CHRM1,chrm1a,16,16,0,3,100.0,100.0,Class_C
CHRM2,chrm2a,18,18,0,0,100.0,100.0,Class_A
CHRM2,chrm2a,18,19,1,0,94.74,100.0,Class_C
CHRM2,chrm2b,18,18,0,0,100.0,100.0,Class_A
CHRM2,chrm2b,21,23,2,0,91.3,100.0,Class_B1
CHRM2,chrm2b,16,17,1,2,94.12,100.0,Class_C
CHRM3,chrm3a,21,22,1,0,95.45,100.0,Class_A
CHRM3,chrm3a,19,19,0,1,100.0,100.0,Class_C
CHRM3,chrm3a,2,2,0,18,100.0,100.0,Class_F
CHRM3,chrm3b,16,17,1,5,94.12,100.0,Class_A
CHRM3,chrm3b,21,21,0,2,100.0,100.0,Class_B1
CHRM3,chrm3b,15,16,1,4,93.75,100.0,Class_C
CHRM3,chrm3b,7,7,0,13,100.0,100.0,Class_F
CHRM4,chrm4a,18,18,0,0,100.0,100.0,Class_A
CHRM4,chrm4a,25,25,0,1,100.0,100.0,Class_B1
CHRM4,chrm4a,7,7,0,10,100.0,100.0,Class_C
CHRM4,chrm4b,17,18,1,0,94.44,100.0,Class_A
CHRM4,chrm4b,8,8,0,9,100.0,100.0,Class_C
CHRM5,chrm5a,21,21,0,2,100.0,100.0,Class_B1
CHRM5,chrm5a,15,15,0,6,100.0,100.0,Class_C
CHRM5,chrm5b,20,21,1,2,95.24,100.0,Class_B1
CHRM5,chrm5b,3,3,0,18,100.0,100.0,Class_C
CMKLR1,cmklr1,10,14,6,2,62.5,87.5,Class_A
CMKLR2,cmklr2,9,15,6,9,60.0,100.0,Class_B1
CNR1,cnr1,17,20,3,2,85.0,100.0,Class_B1
CNR2,cnr2,12,19,9,0,57.14,90.48,Class_B1
CRHR1,crhr1,6,6,0,13,100.0,100.0,Class_C
CRHR1,crhr1,6,6,0,5,100.0,100.0,Class_F
CRHR2,crhr2,0,0,0,15,0.0,0.0,Class_A
CRHR2,crhr2,0,0,0,28,0.0,0.0,Class_B1
CRHR2,crhr2,0,0,0,17,0.0,0.0,Class_C
CRHR2,crhr2,0,0,0,8,0.0,0.0,Class_F
CXCR1,cxcr1,16,20,4,4,80.0,100.0,Class_B1
CXCR2,cxcr2,16,22,6,2,72.73,100.0,Class_B1
CXCR2,cxcr2,2,3,1,14,66.67,100.0,Class_C
CXCR3,cxcr3.1,8,9,2,7,80.0,90.0,Class_A
CXCR3,cxcr3.2,14,19,6,3,70.0,95.0,Class_B1
CXCR4,cxcr4a,17,17,0,6,100.0,100.0,Class_B1
CXCR4,cxcr4b,0,2,2,18,0.0,100.0,Class_F
CXCR5,cxcr5,13,17,9,2,59.09,77.27,Class_B1
CYSLTR1,cysltr1,15,16,2,2,88.24,94.12,Class_A
DRD1,drd1a,20,20,0,0,100.0,100.0,Class_A
DRD1,drd1a,24,24,0,1,100.0,100.0,Class_B1
DRD1,drd1a,19,19,0,0,100.0,100.0,Class_C
DRD1,drd1b,20,20,0,0,100.0,100.0,Class_A
DRD1,drd1b,23,24,1,1,95.83,100.0,Class_B1
DRD1,drd1b,18,19,1,0,94.74,100.0,Class_C
DRD1,drd1b,17,19,2,0,89.47,100.0,Class_F
DRD2,drd2a,19,19,0,1,100.0,100.0,Class_A
DRD2,drd2a,23,23,0,2,100.0,100.0,Class_B1
DRD2,drd2a,17,17,0,1,100.0,100.0,Class_C
DRD2,drd2b,18,18,0,2,100.0,100.0,Class_A
DRD2,drd2b,24,24,0,1,100.0,100.0,Class_B1
DRD2,drd2b,17,17,0,1,100.0,100.0,Class_C
DRD3,drd3,19,19,0,0,100.0,100.0,Class_A
DRD3,drd3,17,20,3,4,85.0,100.0,Class_B1
DRD3,drd3,14,16,2,2,87.5,100.0,Class_C
DRD4,drd4a,20,21,1,0,95.24,100.0,Class_A
DRD4,drd4a,21,21,0,0,100.0,100.0,Class_B1
DRD4,drd4b,21,21,0,0,100.0,100.0,Class_A
DRD4,drd4b,19,20,1,1,95.0,100.0,Class_B1
DRD4,drd4b,1,1,0,22,100.0,100.0,Class_F
EDNRA,ednraa,15,15,0,1,100.0,100.0,Class_A
EDNRA,ednraa,17,18,1,0,94.44,100.0,Class_C
EDNRA,ednrab,24,26,2,2,92.31,100.0,Class_B1
EDNRB,ednrba,17,17,0,1,100.0,100.0,Class_A
EDNRB,ednrba,22,23,1,1,95.65,100.0,Class_B1
EDNRB,ednrbb,15,16,1,2,93.75,100.0,Class_A
EDNRB,ednrbb,23,23,0,1,100.0,100.0,Class_B1
F2R,f2r,11,14,3,3,78.57,100.0,Class_A
F2RL1,f2rl1.1,12,16,5,0,70.59,94.12,Class_A
F2RL1,f2rl1.2,0,1,1,20,0.0,100.0,Class_C
F2RL2,f2rl2,9,12,4,5,69.23,92.31,Class_A
FPR1,fpr1,3,6,3,19,50.0,100.0,Class_B1
FSHR,fshr,1,1,0,19,100.0,100.0,Class_C
FZD1,fzd1,21,22,1,1,95.45,100.0,Class_A
FZD1,fzd1,26,27,1,0,96.3,100.0,Class_B1
FZD1,fzd1,23,23,0,0,100.0,100.0,Class_C
FZD1,fzd1,22,25,3,0,88.0,100.0,Class_F
FZD10,fzd10,20,21,1,1,95.24,100.0,Class_A
FZD10,fzd10,26,27,1,0,96.3,100.0,Class_B1
FZD10,fzd10,24,25,1,2,96.0,100.0,Class_F
FZD2,fzd2,27,27,0,0,100.0,100.0,Class_B1
FZD2,fzd2,22,24,2,0,91.67,100.0,Class_F
FZD3,fzd3a,21,23,2,0,91.3,100.0,Class_A
FZD3,fzd3a,21,23,2,1,91.3,100.0,Class_F
FZD3,fzd3b,20,23,3,0,86.96,100.0,Class_A
FZD3,fzd3b,20,22,2,2,90.91,100.0,Class_F
FZD4,fzd4,26,26,0,1,100.0,100.0,Class_B1
FZD4,fzd4,23,24,1,0,95.83,100.0,Class_C
FZD5,fzd5,22,25,4,0,84.62,96.15,Class_B1
FZD6,fzd6,1,3,2,21,33.33,100.0,Class_C
FZD6,fzd6,20,21,1,5,95.24,100.0,Class_F
FZD7,fzd7a,26,26,0,0,100.0,100.0,Class_B1
FZD7,fzd7a,19,22,3,1,86.36,100.0,Class_F
FZD7,fzd7b,26,26,0,0,100.0,100.0,Class_B1
FZD7,fzd7b,0,1,1,21,0.0,100.0,Class_C
FZD7,fzd7b,20,22,2,1,90.91,100.0,Class_F
FZD8,fzd8a,25,26,1,0,96.15,100.0,Class_B1
FZD8,fzd8a,25,28,3,1,89.29,100.0,Class_F
FZD8,fzd8b,22,26,5,2,81.48,96.3,Class_F
FZD9,fzd9a,16,16,0,3,100.0,100.0,Class_A
FZD9,fzd9a,23,25,2,2,92.0,100.0,Class_B1
FZD9,fzd9b,19,19,0,0,100.0,100.0,Class_A
FZD9,fzd9b,23,26,3,1,88.46,100.0,Class_B1
GABBR1,gabbr1a,23,23,0,3,100.0,100.0,Class_B1
GABBR1,gabbr1a,25,26,1,1,96.15,100.0,Class_C
GABBR1,gabbr1a,1,1,0,25,100.0,100.0,Class_F
GABBR1,gabbr1b,12,12,0,3,100.0,100.0,Class_A
GABBR1,gabbr1b,23,24,1,2,95.83,100.0,Class_B1
GABBR1,gabbr1b,17,18,1,9,94.44,100.0,Class_C
GABBR1,gabbr1b,1,1,0,25,100.0,100.0,Class_F
GABBR2,gabbr2,24,24,0,2,100.0,100.0,Class_B1
GABBR2,gabbr2,28,28,0,0,100.0,100.0,Class_C
GABBR2,gabbr2,22,22,0,0,100.0,100.0,Class_F
GALR1,galr1a,17,17,0,0,100.0,100.0,Class_A
GALR1,galr1a,15,17,2,0,88.24,100.0,Class_C
GALR1,galr1a,17,21,4,2,80.95,100.0,Class_F
GALR1,galr1b,17,21,6,2,73.91,91.3,Class_B1
GALR2,galr2a,13,19,6,2,68.42,100.0,Class_C
GALR2,galr2a,10,12,2,4,83.33,100.0,Class_F
GALR2,galr2b,17,25,8,0,68.0,100.0,Class_B1
GCGR,gcgra,7,10,3,2,70.0,100.0,Class_A
GCGR,gcgrb,19,21,5,2,79.17,87.5,Class_B1
GHRHR,ghrhra,14,20,7,5,66.67,95.24,Class_B1
GHRHR,ghrhrb,6,11,5,15,54.55,100.0,Class_B1
GHSR,ghsra,16,16,0,0,100.0,100.0,Class_A
GHSR,ghsra,23,25,2,0,92.0,100.0,Class_B1
GHSR,ghsra,15,15,0,1,100.0,100.0,Class_C
GHSR,ghsra,9,10,1,5,90.0,100.0,Class_F
GHSR,ghsrb,15,15,0,1,100.0,100.0,Class_A
GHSR,ghsrb,16,16,0,0,100.0,100.0,Class_C
GIPR,gipr,21,24,3,2,87.5,100.0,Class_B1
GIPR,gipr,9,9,0,10,100.0,100.0,Class_C
GIPR,gipr,4,5,1,3,80.0,100.0,Class_F
GPBAR1,gpbar1,5,13,9,8,35.71,92.86,Class_B1
GPER1,gper1,9,9,0,7,100.0,100.0,Class_A
GPR101,gpr101,15,20,5,5,75.0,100.0,Class_B1
GPR101,gpr101,3,10,7,10,30.0,100.0,Class_F
GPR12,gpr12,16,20,4,1,80.0,100.0,Class_A
GPR12,gpr12,20,21,1,2,95.24,100.0,Class_B1
GPR12,gpr12,18,20,2,0,90.0,100.0,Class_C
GPR132,gpr132a,2,2,0,26,100.0,100.0,Class_B1
GPR132,gpr132a,12,16,4,7,75.0,100.0,Class_C
GPR132,gpr132b,11,12,1,6,91.67,100.0,Class_A
GPR132,gpr132b,15,17,2,11,88.24,100.0,Class_B1
GPR135,gpr135,7,13,7,3,50.0,92.86,Class_C
GPR139,gpr139,18,19,1,3,94.74,100.0,Class_A
GPR139,gpr139,20,22,2,3,90.91,100.0,Class_B1
GPR139,gpr139,12,14,2,5,85.71,100.0,Class_F
GPR142,gpr142,9,11,2,2,81.82,100.0,Class_A
GPR146,gpr146,14,17,5,1,73.68,89.47,Class_C
GPR151,gpr151,11,13,4,5,73.33,86.67,Class_A
GPR153,gpr153,17,19,2,2,89.47,100.0,Class_A
GPR153,gpr153,20,22,2,1,90.91,100.0,Class_C
GPR156,gpr156,11,13,3,2,78.57,92.86,Class_A
GPR158,gpr158a,4,4,0,22,100.0,100.0,Class_B1
GPR158,gpr158b,19,21,3,4,86.36,95.45,Class_B1
GPR160,gpr160,3,4,3,9,50.0,66.67,Class_A
GPR161,gpr161b,15,18,3,2,83.33,100.0,Class_C
GPR17,gpr17,17,17,0,1,100.0,100.0,Class_A
GPR17,gpr17,2,3,1,21,66.67,100.0,Class_C
GPR17,gpr17,15,17,2,15,88.24,100.0,Class_F
GPR171,gpr171,9,17,8,1,52.94,100.0,Class_F
GPR173,gpr173,16,16,0,3,100.0,100.0,Class_A
GPR173,gpr173,18,18,0,3,100.0,100.0,Class_C
GPR173,gpr173,14,16,2,4,87.5,100.0,Class_F
GPR174,gpr174,15,15,0,4,100.0,100.0,Class_A
GPR176,gpr176,8,14,6,4,57.14,100.0,Class_A
GPR18,gpr18,18,24,7,2,72.0,96.0,Class_B1
GPR183,gpr183a,12,13,2,3,85.71,92.86,Class_A
GPR183,gpr183b,20,21,3,3,86.96,91.3,Class_F
GPR19,gpr19,17,22,5,0,77.27,100.0,Class_B1
GPR20,gpr20,17,18,2,2,89.47,94.74,Class_C
GPR22,gpr22a,19,20,1,2,95.0,100.0,Class_A
GPR22,gpr22b,19,21,2,1,90.48,100.0,Class_A
GPR25,gpr25,8,16,9,4,47.06,94.12,Class_C
GPR26,gpr26,17,20,4,3,80.95,95.24,Class_F
GPR27,gpr27,8,11,3,7,72.73,100.0,Class_A
GPR27,gpr27,10,16,6,1,62.5,100.0,Class_C
GPR27,gpr27,9,12,3,7,75.0,100.0,Class_F
GPR3,gpr3,15,19,7,0,68.18,86.36,Class_B1
GPR34,gpr34a,14,17,3,2,82.35,100.0,Class_A
GPR34,gpr34b,16,17,1,2,94.12,100.0,Class_A
GPR34,gpr34b,5,7,2,20,71.43,100.0,Class_B1
GPR35,gpr35.1,15,22,7,4,68.18,100.0,Class_B1
GPR37,gpr37a,14,14,0,1,100.0,100.0,Class_A
GPR37,gpr37b,13,13,0,2,100.0,100.0,Class_A
GPR37,gpr37b,16,19,3,1,84.21,100.0,Class_C
GPR37L1,gpr37l1a,2,3,1,19,66.67,100.0,Class_C
GPR37L1,gpr37l1b,18,24,7,0,72.0,96.0,Class_B1
GPR39,gpr39,16,20,4,0,80.0,100.0,Class_A
GPR39,gpr39,18,20,2,1,90.0,100.0,Class_C
GPR39,gpr39,1,2,1,29,50.0,100.0,Class_F
GPR4,gpr4,18,18,0,1,100.0,100.0,Class_A
GPR4,gpr4,24,27,3,1,88.89,100.0,Class_B1
GPR45,gpr45,21,24,3,2,87.5,100.0,Class_B1
GPR52,gpr52,20,22,2,0,90.91,100.0,Class_A
GPR52,gpr52,20,20,0,1,100.0,100.0,Class_B1
GPR52,gpr52,4,4,0,17,100.0,100.0,Class_C
GPR55,gpr55a,2,2,0,19,100.0,100.0,Class_C
GPR6,gpr6,12,15,3,6,80.0,100.0,Class_A
GPR6,gpr6,17,20,3,3,85.0,100.0,Class_B1
GPR6,gpr6,15,19,4,1,78.95,100.0,Class_C
GPR61,gpr61,19,22,3,0,86.36,100.0,Class_B1
GPR61,gpr61,15,16,1,5,93.75,100.0,Class_C
GPR63,gpr63,4,4,0,18,100.0,100.0,Class_C
GPR65,gpr65,8,13,6,3,57.14,92.86,Class_A
GPR75,gpr75,23,24,1,1,95.83,100.0,Class_B1
GPR75,gpr75,12,13,1,7,92.31,100.0,Class_C
GPR78,gpr78a,12,21,10,4,54.55,95.45,Class_B1
GPR78,gpr78b,16,23,8,3,66.67,95.83,Class_F
GPR84,gpr84,13,15,2,2,86.67,100.0,Class_A
GPR84,gpr84,20,24,4,2,83.33,100.0,Class_B1
GPR84,gpr84,14,18,4,2,77.78,100.0,Class_C
GPR85,gpr85,18,18,0,1,100.0,100.0,Class_A
GPR85,gpr85,21,21,0,2,100.0,100.0,Class_C
GPRC5B,gprc5ba,16,21,8,2,66.67,87.5,Class_A
GPRC5B,gprc5bb,13,18,7,2,65.0,90.0,Class_C
GPRC5C,gprc5c,17,19,2,2,89.47,100.0,Class_C
GPRC6A,gprc6a,7,8,1,14,87.5,100.0,Class_C
GRM1,grm1a,23,24,1,0,95.83,100.0,Class_A
GRM1,grm1a,10,10,0,12,100.0,100.0,Class_B1
GRM1,grm1a,22,22,0,1,100.0,100.0,Class_C
GRM1,grm1b,21,23,2,1,91.3,100.0,Class_A
GRM1,grm1b,0,1,1,21,0.0,100.0,Class_B1
GRM1,grm1b,20,22,2,1,90.91,100.0,Class_C
GRM2,grm2a,16,19,3,1,84.21,100.0,Class_A
GRM2,grm2b,20,24,4,1,83.33,100.0,Class_F
GRM3,grm3,18,20,2,0,90.0,100.0,Class_A
GRM3,grm3,24,24,0,3,100.0,100.0,Class_B1
GRM3,grm3,23,23,0,0,100.0,100.0,Class_C
GRM3,grm3,24,25,1,2,96.0,100.0,Class_F
GRM4,grm4,23,23,0,1,100.0,100.0,Class_A
GRM4,grm4,22,22,0,3,100.0,100.0,Class_B1
GRM4,grm4,8,8,0,15,100.0,100.0,Class_C
GRM5,grm5a,21,23,2,2,91.3,100.0,Class_A
GRM5,grm5a,21,21,0,1,100.0,100.0,Class_B1
GRM5,grm5a,20,20,0,1,100.0,100.0,Class_C
GRM5,grm5b,20,20,0,1,100.0,100.0,Class_C
GRM6,grm6a,19,22,3,2,86.36,100.0,Class_B1
GRM6,grm6a,13,15,2,11,86.67,100.0,Class_F
GRM6,grm6b,22,24,2,0,91.67,100.0,Class_B1
GRM6,grm6b,22,26,4,0,84.62,100.0,Class_F
GRM8,grm8a,19,20,1,2,95.0,100.0,Class_A
GRM8,grm8a,22,22,0,3,100.0,100.0,Class_B1
GRM8,grm8a,23,24,1,1,95.83,100.0,Class_C
GRM8,grm8a,12,14,2,13,85.71,100.0,Class_F
GRM8,grm8b,20,21,1,1,95.24,100.0,Class_A
GRM8,grm8b,25,25,0,0,100.0,100.0,Class_B1
GRM8,grm8b,23,24,1,1,95.83,100.0,Class_C
GRM8,grm8b,12,15,3,12,80.0,100.0,Class_F
HCAR1,hcar1-1,17,25,9,1,65.38,96.15,Class_B1
HCAR1,hcar1-2,0,1,1,22,0.0,100.0,Class_C
HCRTR2,hcrtr2,13,14,1,3,92.86,100.0,Class_A
HCRTR2,hcrtr2,16,18,2,1,88.89,100.0,Class_C
HCRTR2,hcrtr2,4,5,1,16,80.0,100.0,Class_F
HRH1,hrh1,0,2,3,9,0.0,66.67,Class_A
HRH2,hrh2a,19,22,3,3,86.36,100.0,Class_B1
HRH2,hrh2b,20,21,3,2,86.96,91.3,Class_B1
HRH3,hrh3,20,21,1,1,95.24,100.0,Class_A
HRH3,hrh3,20,23,3,1,86.96,100.0,Class_B1
HRH3,hrh3,15,15,0,8,100.0,100.0,Class_C
HTR1A,htr1aa,18,18,0,1,100.0,100.0,Class_A
HTR1A,htr1aa,19,19,0,1,100.0,100.0,Class_C
HTR1A,htr1ab,17,18,1,1,94.44,100.0,Class_A
HTR1A,htr1ab,24,24,0,2,100.0,100.0,Class_B1
HTR1A,htr1ab,11,11,0,9,100.0,100.0,Class_C
HTR1B,htr1b,18,19,1,1,94.74,100.0,Class_A
HTR1B,htr1b,22,23,1,1,95.65,100.0,Class_B1
HTR1D,htr1d,19,20,1,0,95.0,100.0,Class_A
HTR1D,htr1d,20,22,2,2,90.91,100.0,Class_B1
HTR1F,htr1fa,21,24,3,1,87.5,100.0,Class_B1
HTR1F,htr1fa,12,15,3,2,80.0,100.0,Class_C
HTR1F,htr1fb,17,18,1,2,94.44,100.0,Class_A
HTR1F,htr1fb,23,24,1,1,95.83,100.0,Class_B1
HTR1F,htr1fb,13,17,4,0,76.47,100.0,Class_C
HTR2A,htr2ab,18,19,1,1,94.74,100.0,Class_A
HTR2A,htr2ab,15,19,4,1,78.95,100.0,Class_C
HTR2B,htr2b,17,20,4,3,80.95,95.24,Class_B1
HTR4,htr4,20,20,0,0,100.0,100.0,Class_A
HTR4,htr4,18,20,2,2,90.0,100.0,Class_C
HTR5A,htr5aa,20,21,1,0,95.24,100.0,Class_A
HTR5A,htr5aa,19,19,0,2,100.0,100.0,Class_B1
HTR5A,htr5aa,19,19,0,2,100.0,100.0,Class_C
HTR5A,htr5aa,10,11,1,8,90.91,100.0,Class_F
HTR5A,htr5ab,20,21,1,0,95.24,100.0,Class_A
HTR5A,htr5ab,19,19,0,2,100.0,100.0,Class_B1
HTR5A,htr5ab,7,7,0,14,100.0,100.0,Class_C
HTR6,htr6,21,23,2,2,91.3,100.0,Class_B1
HTR6,htr6,11,13,2,7,84.62,100.0,Class_C
HTR7,htr7a,21,21,0,0,100.0,100.0,Class_A
HTR7,htr7a,23,24,1,0,95.83,100.0,Class_B1
