human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment
NPFFR1,npffr1l3,14,1,1,93.33,Class_A
OPRD1,oprd1b,14,1,5,93.33,Class_A
PROKR1,prokr1a,14,1,2,93.33,Class_A
SSTR1,sstr1a,14,1,3,93.33,Class_A
TRHR,trhrb,14,1,4,93.33,Class_A
ADGRA3,adgra3,14,0,0,100,Class_A
GPR37,gpr37a,14,0,1,100,Class_A
GHRHR,ghrhra,15,9,2,62.5,Class_B1
GPR3,gpr3,15,7,0,68.18,Class_B1
GPR35,gpr35.1,15,7,4,68.18,Class_B1
CXCR3,cxcr3.2,15,6,2,71.43,Class_B1
GPR101,gpr101,15,6,4,71.43,Class_B1
GALR2,galr2b,15,4,2,78.95,Class_A
GPR161,gpr161b,15,3,2,83.33,Class_C
GPRC6A,gprc6a,15,3,4,83.33,Class_A
OXGR1,oxgr1a.1,15,3,3,83.33,Class_A
RGR,rgra,15,3,1,83.33,Class_A
S1PR5,s1pr5a,15,3,2,83.33,Class_A
SSTR5,sstr5,15,3,1,83.33,Class_A
CYSLTR1,cysltr1,15,2,2,88.24,Class_A
OXTR,oxtra,15,2,0,88.24,Class_F
OXTR,oxtrb,15,2,0,88.24,Class_F
SSTR2,sstr2a,15,2,4,88.24,Class_C
VIPR1,vipr1b,15,2,8,88.24,Class_B1
NPY4R,npy4r,15,1,5,93.75,Class_A
SSTR2,sstr2b,15,1,5,93.75,Class_C
EDNRA,ednraa,15,0,1,100,Class_A
GPR174,gpr174,15,0,4,100,Class_A
NPBWR2,npbwr2b,15,0,2,100,Class_A
NPFFR2,npffr2b,15,0,0,100,Class_A
NTSR1,ntsr1,15,0,12,100,Class_F
P2RY10,p2ry10,15,0,2,100,Class_A
GPRC5B,gprc5ba,16,8,2,66.67,Class_A
CXCR2,cxcr2,16,6,2,72.73,Class_B1
CXCR1,cxcr1,16,5,3,76.19,Class_B1
PTGER1,ptger1c,16,5,1,76.19,Class_C
PTGIR,ptgir,16,4,1,80,Class_A
AVPR1A,avpr1aa,16,2,3,88.89,Class_A
AVPR1A,avpr1ab,16,2,3,88.89,Class_A
GPR45,gpr45,16,2,4,88.89,Class_C
HRH2,hrh2a,16,2,1,88.89,Class_C
MTNR1A,mtnr1aa,16,2,0,88.89,Class_A
NPBWR2,npbwr2a,16,2,2,88.89,Class_C
NPY2R,npy2rl,16,2,0,88.89,Class_C
P2RY2,p2ry2.2,16,2,1,88.89,Class_A
TBXA2R,tbxa2r,16,2,2,88.89,Class_A
ADORA2A,adora2ab,16,1,2,94.12,Class_C
AGTR2,agtr2,16,1,10,94.12,Class_B1
EDNRA,ednrab,16,1,1,94.12,Class_C
FSHR,fshr,16,1,0,94.12,Class_A
GPR34,gpr34b,16,1,2,94.12,Class_A
P2RY2,p2ry2.1,16,1,2,94.12,Class_A
PTAFR,ptafr,16,1,3,94.12,Class_A
PTGER4,ptger4b,16,1,1,94.12,Class_A
S1PR3,s1pr3a,16,1,0,94.12,Class_A
TSHR,tshr,16,1,1,94.12,Class_F
ADGRL1,adgrl1a,16,0,2,100,Class_A
FZD9,fzd9a,16,0,3,100,Class_A
GHSR,ghsra,16,0,0,100,Class_A
GHSR,ghsrb,16,0,0,100,Class_C
LPAR6,lpar6a,16,0,0,100,Class_A
MC4R,mc4r,16,0,5,100,Class_B1
OPRM1,oprm1,16,0,2,100,Class_C
P2RY12,p2ry12,16,0,0,100,Class_A
RGR,rgrb,17,9,3,65.38,Class_F
TAAR1,taar1b,17,6,5,73.91,Class_F
CCR7,ccr7,17,5,0,77.27,Class_B1
CNR2,cnr2,17,5,2,77.27,Class_F
GPR19,gpr19,17,5,0,77.27,Class_B1
ACKR3,ackr3a,17,3,3,85,Class_B1
GPR20,gpr20,17,3,1,85,Class_C
GPR6,gpr6,17,3,3,85,Class_B1
ADRB3,adrb3b,17,2,0,89.47,Class_A
CCKBR,cckbra,17,2,2,89.47,Class_C
GPR153,gpr153,17,2,2,89.47,Class_A
MTNR1B,mtnr1ba,17,2,1,89.47,Class_A
OPRL1,oprl1,17,2,7,89.47,Class_B1
P2RY1,p2ry1,17,2,1,89.47,Class_A
P2RY2,p2ry2.3,17,2,0,89.47,Class_A
P2RY8,p2ry8,17,2,1,89.47,Class_A
ACKR3,ackr3b,17,1,5,94.44,Class_B1
ADRA1A,adra1aa,17,1,0,94.44,Class_A
ADRB1,adrb1,17,1,2,94.44,Class_A
ADRB3,adrb3a,17,1,4,94.44,Class_C
CHRM4,chrm4b,17,1,0,94.44,Class_A
MC3R,mc3r,17,1,1,94.44,Class_A
MC5R,mc5ra,17,1,0,94.44,Class_A
EDNRB,ednrba,17,0,1,100,Class_A
GALR1,galr1a,17,0,0,100,Class_A
GPR17,gpr17,17,0,1,100,Class_A
S1PR1,s1pr1,17,0,0,100,Class_A
GPR18,gpr18,18,7,2,72,Class_B1
GPR171,gpr171,18,6,0,75,Class_C
PTGER4,ptger4c,18,6,2,75,Class_B1
LHCGR,lhcgr,18,3,1,85.71,Class_F
GPR39,gpr39,18,2,1,90,Class_C
GPR63,gpr63,18,2,1,90,Class_A
HTR2B,htr2b,18,2,2,90,Class_C
PTGER1,ptger1a,18,2,2,90,Class_B1
ADORA2B,adora2b,18,1,3,94.74,Class_A
HTR1F,htr1fa,18,1,1,94.74,Class_A
HTR2A,htr2ab,18,1,1,94.74,Class_A
MTNR1A,mtnr1ab,18,1,2,94.74,Class_C
TACR2,tacr2,18,1,2,94.74,Class_F
ADRA1D,adra1d,18,0,0,100,Class_A
CHRM1,chrm1a,18,0,0,100,Class_A
CHRM2,chrm2a,18,0,0,100,Class_A
CHRM2,chrm2b,18,0,0,100,Class_A
GPR4,gpr4,18,0,1,100,Class_A
OPN5,opn5,18,0,0,100,Class_C
RRH,rrh,18,0,4,100,Class_F
CXCR4,cxcr4b,19,3,1,86.36,Class_B1
GPR158,gpr158b,19,3,4,86.36,Class_B1
GPR61,gpr61,19,3,0,86.36,Class_B1
GRM6,grm6a,19,3,2,86.36,Class_B1
NMUR1,nmur1a,19,3,1,86.36,Class_B1
TACR3,tacr3a,19,3,1,86.36,Class_B1
TACR3,tacr3l,19,3,1,86.36,Class_B1
VIPR1,vipr1a,19,3,3,86.36,Class_B1
ADGRL2,adgrl2a,19,2,1,90.48,Class_B1
PTGER1,ptger1b,19,2,1,90.48,Class_B1
CNR1,cnr1,19,1,1,95,Class_A
GPR139,gpr139,19,1,2,95,Class_A
HTR1D,htr1d,19,1,0,95,Class_A
OPN4,opn4a,19,1,3,95,Class_A
ADORA1,adora1b,19,0,0,100,Class_A
ADORA2A,adora2aa,19,0,0,100,Class_C
ADRB2,adrb2b,19,0,1,100,Class_A
CHRM3,chrm3a,19,0,1,100,Class_C
DRD3,drd3,19,0,0,100,Class_A
FZD9,fzd9b,19,0,0,100,Class_A
GPR173,gpr173,19,0,2,100,Class_C
HRH3,hrh3,19,0,4,100,Class_C
HTR1A,htr1aa,19,0,1,100,Class_C
HTR5A,htr5aa,19,0,2,100,Class_B1
HTR5A,htr5ab,19,0,2,100,Class_B1
LGR4,lgr4,19,0,3,100,Class_A
GPR135,gpr135,20,4,1,83.33,Class_B1
LPAR2,lpar2a,20,4,1,83.33,Class_B1
ADRA1A,adra1ab,20,3,2,86.96,Class_B1
CALCRL,calcrlb,20,3,1,86.96,Class_B1
GPR183,gpr183b,20,3,3,86.96,Class_F
GPR26,gpr26,20,3,3,86.96,Class_B1
HRH2,hrh2b,20,3,2,86.96,Class_B1
LPAR2,lpar2b,20,3,2,86.96,Class_B1
FZD5,fzd5,20,2,3,90.91,Class_F
FZD8,fzd8b,20,2,1,90.91,Class_A
GPRC5C,gprc5c,20,2,3,90.91,Class_A
RXFP1,rxfp1,20,2,1,90.91,Class_A
ADRA2C,adra2c,20,1,0,95.24,Class_C
CHRM5,chrm5b,20,1,2,95.24,Class_B1
FZD6,fzd6,20,1,5,95.24,Class_F
GPR22,gpr22a,20,1,1,95.24,Class_A
ADGRL3,adgrl3.1,20,0,2,100,Class_B1
ADRA2A,adra2a,20,0,0,100,Class_C
DRD1,drd1b,20,0,0,100,Class_A
GPR52,gpr52,20,0,1,100,Class_B1
GRM5,grm5b,20,0,1,100,Class_C
HTR4,htr4,20,0,0,100,Class_A
APLNR,aplnra,21,5,0,80.77,Class_B1
NPY2R,npy2r,21,4,0,84,Class_B1
CALCRL,calcrla,21,3,0,87.5,Class_B1
GALR2,galr2a,21,3,1,87.5,Class_B1
OPN1SW,opn1sw1,21,3,2,87.5,Class_B1
CCKAR,cckar,21,2,2,91.3,Class_B1
GRM1,grm1b,21,2,1,91.3,Class_A
HTR6,htr6,21,2,2,91.3,Class_B1
ADGRB2,adgrb2,21,1,0,95.45,Class_F
CRHR1,crhr1,21,1,6,95.45,Class_B1
GPR12,gpr12,21,1,1,95.45,Class_B1
PTGER3,ptger3,21,1,0,95.45,Class_A
RHO,rho,21,1,2,95.45,Class_A
CHRM3,chrm3b,21,0,2,100,Class_B1
CHRM5,chrm5a,21,0,2,100,Class_B1
DRD4,drd4a,21,0,0,100,Class_B1
DRD4,drd4b,21,0,0,100,Class_A
GPR158,gpr158a,21,0,5,100,Class_B1
GPR85,gpr85,21,0,2,100,Class_C
GRM5,grm5a,21,0,1,100,Class_B1
HTR7,htr7a,21,0,0,100,Class_A
OPN4,opn4b,21,0,2,100,Class_A
RXFP2,rxfp2a,21,0,3,100,Class_B1
RXFP2,rxfp2b,21,0,3,100,Class_B1
LPAR6,lpar6b,22,3,2,88,Class_B1
PTGFR,ptgfr,22,3,2,88,Class_B1
GRM6,grm6b,22,2,0,91.67,Class_B1
MTNR1B,mtnr1bb,22,2,0,91.67,Class_B1
TACR1,tacr1a,22,2,0,91.67,Class_B1
TACR1,tacr1b,22,2,0,91.67,Class_B1
ADRA1B,adra1bb,22,1,1,95.65,Class_B1
HTR1B,htr1b,22,1,1,95.65,Class_B1
LPAR3,lpar3,22,1,3,95.65,Class_B1
S1PR2,s1pr2,22,1,0,95.65,Class_B1
GRM1,grm1a,22,0,1,100,Class_C
GRM8,grm8a,22,0,3,100,Class_B1
SSTR3,sstr3,23,2,0,92,Class_B1
ADRA2B,adra2b,23,1,1,95.83,Class_B1
GPR75,gpr75,23,1,1,95.83,Class_B1
HTR1F,htr1fb,23,1,1,95.83,Class_B1
PTGER4,ptger4a,23,1,2,95.83,Class_B1
ADGRB3,adgrb3,23,0,0,100,Class_B1
ADRA1B,adra1ba,23,0,1,100,Class_B1
DRD2,drd2a,23,0,2,100,Class_B1
EDNRB,ednrbb,23,0,1,100,Class_B1
FZD1,fzd1,23,0,0,100,Class_C
GABBR1,gabbr1a,23,0,3,100,Class_B1
GRM4,grm4,23,0,1,100,Class_A
OPN1LW,opn1lw1,23,0,0,100,Class_A
FZD3,fzd3a,24,2,0,92.31,Class_B1
ADRB2,adrb2a,24,1,1,96,Class_B1
CASR,casr,24,1,3,96,Class_F
GABBR1,gabbr1b,24,1,1,96,Class_B1
GRM2,grm2b,24,1,1,96,Class_B1
NPY1R,npy1r,24,1,0,96,Class_B1
PTH2R,pth2rb,24,1,0,96,Class_B1
ADCYAP1R1,adcyap1r1a,24,0,0,100,Class_B1
ADGRB1,adgrb1b,24,0,2,100,Class_B1
DRD1,drd1a,24,0,1,100,Class_B1
DRD2,drd2b,24,0,1,100,Class_B1
GRM3,grm3,24,0,3,100,Class_B1
HTR1A,htr1ab,24,0,2,100,Class_B1
NPFFR2,npffr2a,24,0,1,100,Class_B1
S1PR5,s1pr5b,25,3,1,89.29,Class_F
GPR22,gpr22b,25,2,2,92.59,Class_B1
FZD8,fzd8a,25,1,0,96.15,Class_B1
GRM2,grm2a,25,1,0,96.15,Class_B1
LPAR1,lpar1,25,1,0,96.15,Class_B1
OPRK1,oprk1,25,1,1,96.15,Class_B1
RXFP3,rxfp3,25,1,1,96.15,Class_B1
TRHR,trhra,25,1,1,96.15,Class_B1
ADGRB1,adgrb1a,25,0,1,100,Class_B1
CHRM4,chrm4a,25,0,1,100,Class_B1
GRM8,grm8b,25,0,0,100,Class_B1
FZD10,fzd10,26,1,0,96.3,Class_B1
FZD4,fzd4,26,0,1,100,Class_B1
FZD7,fzd7a,26,0,0,100,Class_B1
FZD7,fzd7b,26,0,0,100,Class_B1
FZD2,fzd2,27,0,0,100,Class_B1
SMO,smo,27,0,1,100,Class_B1
GABBR2,gabbr2,28,0,0,100,Class_C
