human gene,zebrafish gene,actual class,matched,similarity,mismatched,failed alignments,% failed alignments,% identity,% similarity
ACKR3,ackr3a,Class_A,10,12,2,2,12.5,83.33,100
OPN4,opn4a,Class_A,19,20,1,3,12.5,95,100
RXFP2,rxfp2a,Class_A,18,19,2,3,12.5,90,95
RXFP2,rxfp2b,Class_A,18,19,2,3,12.5,90,95
PTGER1,ptger1a,Class_A,13,17,5,3,12,72.22,94.44
GALR1,galr1b,Class_A,11,11,4,2,11.76470588,73.33,73.33
GPR183,gpr183b,Class_A,13,13,2,2,11.76470588,86.67,86.67
LPAR4,lpar4,Class_A,13,14,1,2,11.76470588,92.86,100
NPBWR2,npbwr2b,Class_A,15,15,0,2,11.76470588,100,100
P2RY10,p2ry10,Class_A,15,15,0,2,11.76470588,100,100
FZD5,fzd5,Class_F,20,21,2,3,11.53846154,90.91,95.45
FZD9,fzd9a,Class_F,18,20,3,3,11.53846154,85.71,95.24
GPRC5C,gprc5c,Class_A,20,21,2,3,11.53846154,90.91,95.45
CXCR4,cxcr4b,Class_A,12,13,3,2,11.11111111,80,86.67
GPR156,gpr156,Class_A,11,13,3,2,11.11111111,78.57,92.86
LPAR1,lpar1,Class_A,15,15,1,2,11.11111111,93.75,93.75
LPAR6,lpar6b,Class_A,11,13,3,2,11.11111111,78.57,92.86
NMUR1,nmur1a,Class_A,11,13,3,2,11.11111111,78.57,92.86
OPN3,opn3,Class_A,12,17,7,3,11.11111111,63.16,89.47
PROKR1,prokr1a,Class_A,14,15,1,2,11.11111111,93.33,100
TACR2,tacr2,Class_A,15,15,1,2,11.11111111,93.75,93.75
ADRA1A,adra1aa,Class_A,15,16,1,2,10.52631579,93.75,100
CXCR5,cxcr5,Class_A,6,9,8,2,10.52631579,42.86,64.29
EDNRB,ednrbb,Class_A,15,16,1,2,10.52631579,93.75,100
GPR84,gpr84,Class_A,13,15,2,2,10.52631579,86.67,100
LTB4R2,ltb4r2a,Class_A,13,14,3,2,10.52631579,81.25,87.5
MC3R,mc3r,Class_A,17,17,0,2,10.52631579,100,100
PROKR1,prokr1b,Class_A,13,15,2,2,10.52631579,86.67,100
ADRB1,adrb1,Class_A,17,17,1,2,10,94.44,94.44
BDKRB1,bdkrb1,Class_A,7,11,7,2,10,50,78.57
CYSLTR1,cysltr1,Class_A,15,16,2,2,10,88.24,94.12
DRD2,drd2b,Class_A,18,18,0,2,10,100,100
GPR146,gpr146,Class_A,11,13,5,2,10,68.75,81.25
GPR34,gpr34b,Class_A,16,17,1,2,10,94.12,100
HTR2B,htr2b,Class_A,16,16,2,2,10,88.89,88.89
LTB4R2,ltb4r2b,Class_A,12,14,4,2,10,75,87.5
TACR1,tacr1a,Class_A,13,15,3,2,10,81.25,93.75
HTR1F,htr1fb,Class_A,17,18,1,2,9.523809524,94.44,100
MLNR,mlnr,Class_A,7,11,8,2,9.523809524,46.67,73.33
MTNR1B,mtnr1bb,Class_A,16,17,2,2,9.523809524,88.89,94.44
RGR,rgra,Class_A,15,17,2,2,9.523809524,88.24,100
S1PR5,s1pr5b,Class_A,15,16,3,2,9.523809524,83.33,88.89
SSTR5,sstr5,Class_A,15,17,2,2,9.523809524,88.24,100
CMKLR1,cmklr1,Class_A,10,14,6,2,9.090909091,62.5,87.5
GALR2,galr2b,Class_A,15,16,4,2,9.090909091,78.95,84.21
GPR34,gpr34a,Class_A,14,17,3,2,9.090909091,82.35,100
GPR45,gpr45,Class_A,13,16,4,2,9.090909091,76.47,94.12
TACR3,tacr3a,Class_A,14,16,4,2,9.090909091,77.78,88.89
TBXA2R,tbxa2r,Class_A,16,18,2,2,9.090909091,88.89,100
ADRA1B,adra1bb,Class_A,17,19,2,2,8.695652174,89.47,100
GPR153,gpr153,Class_A,17,19,2,2,8.695652174,89.47,100
GPR22,gpr22a,Class_A,19,20,1,2,8.695652174,95,100
GPR26,gpr26,Class_A,14,17,4,2,8.695652174,77.78,94.44
OPN4,opn4b,Class_A,21,21,0,2,8.695652174,100,100
PTGER4,ptger4c,Class_A,9,14,7,2,8.695652174,56.25,87.5
S1PR5,s1pr5a,Class_A,15,18,3,2,8.695652174,83.33,100
XCR1,xcr1b.1,Class_A,9,12,9,2,8.695652174,50,66.67
PTGIR,ptgir,Class_A,16,19,3,2,8.333333333,84.21,100
FZD9,fzd9b,Class_F,20,21,2,2,8,90.91,95.45
PTGER1,ptger1b,Class_A,13,17,6,2,8,68.42,89.47
PTGFR,ptgfr,Class_A,10,15,8,2,8,55.56,83.33
RGR,rgrb,Class_A,9,15,8,2,8,52.94,88.24
RHO,rho,Class_A,21,22,1,2,8,95.45,100
CALCRL,calcrlb,Class_B1,19,21,3,2,7.692307692,86.36,95.45
FZD3,fzd3b,Class_F,20,22,2,2,7.692307692,90.91,100
PTH1R,pth1r,Class_B1,22,23,1,2,7.692307692,95.65,100
GPR3,gpr3,Class_A,7,14,11,2,7.407407407,38.89,77.78
PTGER1,ptger1c,Class_A,11,17,8,2,7.407407407,57.89,89.47
VIPR2,vipr2,Class_B1,23,24,1,2,7.407407407,95.83,100
FZD10,fzd10,Class_F,24,25,1,2,7.142857143,96,100
GCGR,gcgrb,Class_B1,19,21,5,2,7.142857143,79.17,87.5
OPRM1,oprm1,Class_A,13,13,0,1,7.142857143,100,100
SMO,smo,Class_F,23,24,2,2,7.142857143,92,96
GIPR,gipr,Class_B1,21,24,3,2,6.896551724,87.5,100
GPR37,gpr37a,Class_A,14,14,0,1,6.666666667,100,100
GPRC5B,gprc5ba,Class_A,16,21,8,2,6.451612903,66.67,87.5
EDNRA,ednraa,Class_A,15,15,0,1,6.25,100,100
EDNRA,ednrab,Class_A,13,13,2,1,6.25,86.67,86.67
FZD4,fzd4,Class_F,22,25,5,2,6.25,81.48,92.59
GHSR,ghsrb,Class_A,15,15,0,1,6.25,100,100
FZD8,fzd8b,Class_F,22,26,5,2,6.060606061,81.48,96.3
NPFFR1,npffr1l2,Class_A,14,15,1,1,5.882352941,93.33,100
NPFFR1,npffr1l3,Class_A,14,15,1,1,5.882352941,93.33,100
S1PR4,s1pr4,Class_A,12,14,2,1,5.882352941,85.71,100
SSTR3,sstr3,Class_A,13,14,2,1,5.882352941,86.67,93.33
CXCR2,cxcr2,Class_A,8,9,8,1,5.555555556,50,56.25
CXCR4,cxcr4a,Class_A,14,15,2,1,5.555555556,87.5,93.75
EDNRB,ednrba,Class_A,17,17,0,1,5.555555556,100,100
GPR17,gpr17,Class_A,17,17,0,1,5.555555556,100,100
RRH,rrh,Class_A,17,17,0,1,5.555555556,100,100
GPR4,gpr4,Class_A,18,18,0,1,5.263157895,100,100
GPR85,gpr85,Class_A,18,18,0,1,5.263157895,100,100
HTR1A,htr1aa,Class_A,18,18,0,1,5.263157895,100,100
MTNR1A,mtnr1ab,Class_A,16,17,1,1,5.263157895,94.12,100
NPY1R,npy1r,Class_A,13,15,3,1,5.263157895,81.25,93.75
PTGER4,ptger4a,Class_A,16,17,1,1,5.263157895,94.12,100
PTGER4,ptger4b,Class_A,16,17,1,1,5.263157895,94.12,100
TACR1,tacr1b,Class_A,14,15,3,1,5.263157895,82.35,88.24
ADRB2,adrb2a,Class_A,18,18,1,1,5,94.74,94.74
ADRB2,adrb2b,Class_A,19,19,0,1,5,100,100
APLNR,aplnrb,Class_A,12,15,4,1,5,75,93.75
CMKLR2,cmklr2,Class_A,6,12,7,1,5,46.15,92.31
CNR2,cnr2,Class_A,11,14,5,1,5,68.75,87.5
DRD2,drd2a,Class_A,19,19,0,1,5,100,100
HTR1A,htr1ab,Class_A,17,18,1,1,5,94.44,100
HTR1F,htr1fa,Class_A,18,18,1,1,5,94.74,94.74
MC5R,mc5rb,Class_A,15,17,2,1,5,88.24,100
MCHR2,mchr2a,Class_A,13,15,4,1,5,76.47,88.24
P2RY11,p2ry11,Class_A,10,13,6,1,5,62.5,81.25
ADORA2A,adora2aa,Class_A,19,19,1,1,4.761904762,95,95
ADRA1A,adra1ab,Class_A,14,17,3,1,4.761904762,82.35,100
APLNR,aplnra,Class_A,11,15,5,1,4.761904762,68.75,93.75
CNR1,cnr1,Class_A,19,19,1,1,4.761904762,95,95
GPR19,gpr19,Class_A,11,14,6,1,4.761904762,64.71,82.35
HTR1B,htr1b,Class_A,18,19,1,1,4.761904762,94.74,100
HTR2A,htr2ab,Class_A,18,19,1,1,4.761904762,94.74,100
MTNR1B,mtnr1ba,Class_A,17,18,2,1,4.761904762,89.47,94.74
P2RY1,p2ry1,Class_A,17,18,2,1,4.761904762,89.47,94.74
P2RY2,p2ry2.2,Class_A,16,18,2,1,4.761904762,88.89,100
P2RY8,p2ry8,Class_A,17,18,2,1,4.761904762,89.47,94.74
GPR161,gpr161b,Class_A,16,17,4,1,4.545454545,80,85
GPR63,gpr63,Class_A,18,19,2,1,4.545454545,90,95
HRH2,hrh2a,Class_A,13,16,5,1,4.545454545,72.22,88.89
HRH2,hrh2b,Class_A,9,12,9,1,4.545454545,50,66.67
LPAR2,lpar2a,Class_A,10,14,7,1,4.545454545,58.82,82.35
LPAR3,lpar3,Class_A,11,16,5,1,4.545454545,68.75,100
OPN5,opn5,Class_A,15,18,3,1,4.545454545,83.33,100
XCR1,xcr1a.1,Class_A,11,13,8,1,4.545454545,57.89,68.42
GALR2,galr2a,Class_A,17,19,3,1,4.347826087,85,95
GPR101,gpr101,Class_A,8,13,9,1,4.347826087,47.06,76.47
GPR171,gpr171,Class_A,14,17,5,1,4.347826087,73.68,89.47
HRH3,hrh3,Class_A,20,21,1,1,4.347826087,95.24,100
GPR22,gpr22b,Class_A,19,21,2,1,4.166666667,90.48,100
TAAR1,taar1b,Class_A,14,18,5,1,4.166666667,73.68,94.74
FZD7,fzd7b,Class_F,20,22,2,1,4,90.91,100
GPR12,gpr12,Class_A,16,20,4,1,4,80,100
PTH2R,pth2ra,Class_B1,22,22,2,1,4,91.67,91.67
RXFP1,rxfp1,Class_A,20,22,2,1,4,90.91,100
FZD3,fzd3a,Class_F,21,23,2,1,3.846153846,91.3,100
FZD7,fzd7a,Class_F,19,22,3,1,3.846153846,86.36,100
FZD8,fzd8a,Class_F,25,28,3,1,3.125,89.29,100
ACKR4,ackr4b,Class_A,10,11,3,0,0,76.92,84.62
ADCYAP1R1,adcyap1r1a,Class_B1,24,24,0,0,0,100,100
ADORA1,adora1b,Class_A,19,19,0,0,0,100,100
ADORA2A,adora2ab,Class_A,19,20,2,0,0,90.48,95.24
ADRA1D,adra1d,Class_A,18,18,0,0,0,100,100
ADRA2A,adra2a,Class_A,18,19,1,0,0,94.74,100
ADRA2B,adra2b,Class_A,18,19,1,0,0,94.74,100
ADRA2C,adra2c,Class_A,18,19,1,0,0,94.74,100
ADRB3,adrb3a,Class_A,17,19,2,0,0,89.47,100
ADRB3,adrb3b,Class_A,17,19,2,0,0,89.47,100
CALCRL,calcrla,Class_B1,21,23,3,0,0,87.5,95.83
CCKAR,cckar,Class_A,14,16,4,0,0,77.78,88.89
CHRM1,chrm1a,Class_A,18,18,0,0,0,100,100
CHRM2,chrm2a,Class_A,18,18,0,0,0,100,100
CHRM2,chrm2b,Class_A,18,18,0,0,0,100,100
CHRM3,chrm3a,Class_A,21,22,1,0,0,95.45,100
CHRM4,chrm4a,Class_A,18,18,0,0,0,100,100
CHRM4,chrm4b,Class_A,17,18,1,0,0,94.44,100
CHRM5,chrm5a,Class_A,17,17,1,0,0,94.44,94.44
CHRM5,chrm5b,Class_A,17,17,1,0,0,94.44,94.44
DRD1,drd1a,Class_A,20,20,0,0,0,100,100
DRD1,drd1b,Class_A,20,20,0,0,0,100,100
DRD3,drd3,Class_A,19,19,0,0,0,100,100
DRD4,drd4a,Class_A,20,21,1,0,0,95.24,100
DRD4,drd4b,Class_A,21,21,0,0,0,100,100
F2RL1,f2rl1.1,Class_A,12,16,5,0,0,70.59,94.12
F2RL1,f2rl1.2,Class_A,13,16,4,0,0,76.47,94.12
FSHR,fshr,Class_A,16,16,1,0,0,94.12,94.12
FZD1,fzd1,Class_F,22,25,3,0,0,88,100
FZD2,fzd2,Class_F,22,24,2,0,0,91.67,100
GALR1,galr1a,Class_A,17,17,0,0,0,100,100
GHSR,ghsra,Class_A,16,16,0,0,0,100,100
GPR20,gpr20,Class_A,12,15,6,0,0,66.67,83.33
GPR39,gpr39,Class_A,16,20,4,0,0,80,100
GPR52,gpr52,Class_A,20,22,2,0,0,90.91,100
GPR78,gpr78a,Class_A,13,16,5,0,0,72.22,88.89
GPR78,gpr78b,Class_A,12,17,6,0,0,66.67,94.44
HTR1D,htr1d,Class_A,19,20,1,0,0,95,100
HTR4,htr4,Class_A,20,20,0,0,0,100,100
HTR5A,htr5aa,Class_A,20,21,1,0,0,95.24,100
HTR5A,htr5ab,Class_A,20,21,1,0,0,95.24,100
HTR6,htr6,Class_A,16,19,4,0,0,80,95
HTR7,htr7a,Class_A,21,21,0,0,0,100,100
LPAR2,lpar2b,Class_A,13,16,5,0,0,72.22,88.89
LPAR6,lpar6a,Class_A,16,16,0,0,0,100,100
MC5R,mc5ra,Class_A,17,18,1,0,0,94.44,100
MTNR1A,mtnr1aa,Class_A,16,17,2,0,0,88.89,94.44
NPFFR1,npffr1l1,Class_A,12,16,4,0,0,75,100
NPFFR2,npffr2a,Class_A,15,15,0,0,0,100,100
NPFFR2,npffr2b,Class_A,15,15,0,0,0,100,100
NTSR1,ntsr1,Class_A,17,20,3,0,0,85,100
OPN1LW,opn1lw1,Class_A,23,23,0,0,0,100,100
OPN1SW,opn1sw1,Class_A,18,23,6,0,0,75,95.83
OXTR,oxtra,Class_A,14,16,3,0,0,82.35,94.12
OXTR,oxtrb,Class_A,14,17,3,0,0,82.35,100
P2RY12,p2ry12,Class_A,16,16,0,0,0,100,100
P2RY2,p2ry2.3,Class_A,17,19,2,0,0,89.47,100
PTGER3,ptger3,Class_A,21,22,1,0,0,95.45,100
PTH2R,pth2rb,Class_B1,24,24,1,0,0,96,96
QRFPR,qrfprb,Class_A,13,15,2,0,0,86.67,100
RXFP3,rxfp3,Class_A,15,16,1,0,0,93.75,100
S1PR1,s1pr1,Class_A,17,17,0,0,0,100,100
S1PR3,s1pr3a,Class_A,16,16,1,0,0,94.12,94.12
TRHR,trhra,Class_A,18,19,1,0,0,94.74,100
TSHR,tshr,Class_A,15,16,1,0,0,93.75,100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
