human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
LPAR4,lpar4,22,27,5,0,81.48,100.0
LPAR5,lpar5a,9,18,12,7,42.86,85.71
LPAR5,lpar5b,8,14,10,10,44.44,77.78
LPAR6,lpar6a,13,14,1,13,92.86,100.0
LPAR6,lpar6b,22,24,3,2,88.0,96.0
LTB4R,ltb4r,11,23,13,0,45.83,95.83
LTB4R2,ltb4r2a,9,16,8,8,52.94,94.12
LTB4R2,ltb4r2b,8,18,12,5,40.0,90.0
MC1R,mc1r,10,10,2,11,83.33,83.33
MC2R,mc2r,1,1,1,18,50.0,50.0
MC3R,mc3r,19,22,3,1,86.36,100.0
MC4R,mc4r,15,15,0,6,100.0,100.0
MC5R,mc5ra,15,19,5,1,75.0,95.0
MC5R,mc5rb,15,19,5,1,75.0,95.0
MCHR1,mchr1a,18,25,8,1,69.23,96.15
MCHR1,mchr1b,17,24,9,1,65.38,92.31
MCHR2,mchr2a,17,22,5,3,77.27,100.0
MCHR2,mchr2b,0,0,1,24,0.0,0.0
MLNR,mlnr,16,20,7,0,69.57,86.96
MTNR1A,mtnr1aa,22,24,3,0,88.0,96.0
MTNR1A,mtnr1ab,22,24,3,0,88.0,96.0
MTNR1A,mtnr1al,15,17,3,7,83.33,94.44
MTNR1B,mtnr1ba,20,24,4,0,83.33,100.0
MTNR1B,mtnr1bb,22,24,2,0,91.67,100.0
NMUR1,nmur1a,19,22,3,1,86.36,100.0
NPBWR2,npbwr2a,12,18,7,3,63.16,94.74
NPBWR2,npbwr2b,20,21,2,0,90.91,95.45
NPFFR1,npffr1,20,24,5,0,80.0,96.0
NPFFR1,npffr1l1,19,22,6,0,76.0,88.0
NPFFR1,npffr1l2,20,22,5,0,80.0,88.0
NPFFR1,npffr1l3,20,22,4,1,83.33,91.67
NPFFR2,npffr2a,24,24,0,1,100.0,100.0
NPFFR2,npffr2b,23,24,1,1,95.83,100.0
NPY1R,npy1r,24,24,1,0,96.0,96.0
NPY2R,npy2r,21,25,4,0,84.0,100.0
NPY2R,npy2rl,21,24,4,0,84.0,96.0
NPY4R,npy4r,17,22,6,1,73.91,95.65
NTSR1,ntsr1,21,22,1,1,95.45,100.0
OPN1LW,opn1lw1,11,14,3,5,78.57,100.0
OPN1SW,opn1sw1,21,23,3,2,87.5,95.83
OPN3,opn3,13,17,6,6,68.42,89.47
OPN4,opn4a,19,25,7,0,73.08,96.15
OPN4,opn4b,19,24,6,1,76.0,96.0
OPN5,opn5,25,25,1,0,96.15,96.15
OPRD1,oprd1a,16,20,4,6,80.0,100.0
OPRD1,oprd1b,22,25,3,1,88.0,100.0
OPRK1,oprk1,25,26,1,1,96.15,100.0
OPRL1,oprl1,17,18,2,7,89.47,94.74
OPRM1,oprm1,18,18,1,1,94.74,94.74
OXGR1,oxgr1a.1,21,24,5,3,80.77,92.31
OXGR1,oxgr1a.2,18,22,6,5,75.0,91.67
OXGR1,oxgr1a.3,19,23,6,4,76.0,92.0
OXGR1,oxgr1b,5,5,0,24,100.0,100.0
OXTR,oxtra,20,24,4,1,83.33,100.0
OXTR,oxtrb,19,24,5,1,79.17,100.0
P2RY1,p2ry1,25,27,3,0,89.29,96.43
P2RY10,p2ry10,15,22,10,4,60.0,88.0
P2RY11,p2ry11,12,16,10,5,54.55,72.73
P2RY12,p2ry12,13,16,4,7,76.47,94.12
P2RY13,p2ry13,0,0,0,23,0.0,0.0
P2RY2,p2ry2.1,16,19,4,6,80.0,95.0
P2RY2,p2ry2.2,15,19,7,4,68.18,86.36
P2RY2,p2ry2.3,16,21,7,3,69.57,91.3
P2RY8,p2ry8,11,13,3,15,78.57,92.86
PITPNM3,pitpnm3,0,0,1,15,0.0,0.0
PROKR1,prokr1a,19,23,5,0,79.17,95.83
PROKR1,prokr1b,19,22,4,1,82.61,95.65
PTAFR,ptafr,5,8,3,19,62.5,100.0
PTGER1,ptger1a,17,18,2,3,89.47,94.74
PTGER1,ptger1b,17,18,2,3,89.47,94.74
PTGER1,ptger1c,16,20,5,1,76.19,95.24
PTGER2,ptger2a,8,15,12,6,40.0,75.0
PTGER2,ptger2b,10,16,8,8,55.56,88.89
PTGER3,ptger3,19,21,5,2,79.17,87.5
PTGER4,ptger4a,23,24,1,2,95.83,100.0
PTGER4,ptger4b,21,21,2,3,91.3,91.3
PTGER4,ptger4c,18,22,6,2,75.0,91.67
PTGFR,ptgfr,22,25,3,2,88.0,100.0
PTGIR,ptgir,12,18,9,3,57.14,85.71
PTH1R,pth1r,22,23,1,2,95.65,100.0
PTH2R,pth2ra,22,22,2,1,91.67,91.67
PTH2R,pth2rb,24,24,1,0,96.0,96.0
QRFPR,qrfpra,10,11,2,12,83.33,91.67
QRFPR,qrfprb,19,23,4,1,82.61,100.0
RGR,rgra,0,0,0,27,0.0,0.0
RGR,rgrb,2,4,3,22,40.0,80.0
RHO,rho,19,21,2,2,90.48,100.0
RRH,rrh,19,20,2,2,90.48,95.24
RXFP1,rxfp1,20,21,2,0,90.91,95.45
RXFP2,rxfp2a,20,20,0,4,100.0,100.0
RXFP2,rxfp2b,20,20,0,4,100.0,100.0
RXFP3,rxfp3,25,25,1,1,96.15,96.15
S1PR1,s1pr1,20,20,1,2,95.24,95.24
S1PR2,s1pr2,22,23,1,0,95.65,100.0
S1PR3,s1pr3a,18,23,5,2,78.26,100.0
S1PR4,s1pr4,10,14,5,5,66.67,93.33
S1PR5,s1pr5a,15,19,6,1,71.43,90.48
S1PR5,s1pr5b,16,19,5,1,76.19,90.48
SMO,smo,27,27,0,1,100.0,100.0
SSTR1,sstr1a,25,26,2,0,92.59,96.3
SSTR2,sstr2a,22,25,4,0,84.62,96.15
SSTR2,sstr2b,22,25,4,0,84.62,96.15
SSTR3,sstr3,23,25,2,0,92.0,100.0
SSTR5,sstr5,18,23,6,2,75.0,95.83
TAAR1,taar1b,16,24,9,0,64.0,96.0
TACR1,tacr1a,22,24,2,0,91.67,100.0
TACR1,tacr1b,22,24,2,0,91.67,100.0
TACR2,tacr2,17,21,6,1,73.91,91.3
TACR3,tacr3a,19,22,3,1,86.36,100.0
TACR3,tacr3l,19,22,3,1,86.36,100.0
TBXA2R,tbxa2r,17,18,2,8,89.47,94.74
TRHR,trhra,25,26,1,1,96.15,100.0
TRHR,trhrb,22,25,3,2,88.0,100.0
TSHR,tshr,11,12,1,12,91.67,100.0
VIPR1,vipr1a,17,20,3,5,85.0,100.0
VIPR1,vipr1b,14,15,1,10,93.33,100.0
VIPR2,vipr2,23,24,1,2,95.83,100.0
XCR1,xcr1a.1,0,0,2,24,0.0,0.0
XCR1,xcr1b.1,0,0,0,26,0.0,0.0
XCR1,xcr1b.2,13,19,9,4,59.09,86.36
