human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method,,,n = 318
EDNRA,ednrab,11,0,4,100,Class_F,super,,,
RXFP3,rxfp3,11,0,3,100,Class_A,super,,,
CMKLR1,cmklr1,12,7,3,63.16,Class_A (4S0V),super,,,
CCR9,ccr9b,12,6,3,66.67,Class_A (4S0V),super,,,
BDKRB1,bdkrb1,12,5,3,70.59,Class_A (4S0V),super,,,
GPR27,gpr27,12,5,4,70.59,Class_A (4S0V),super,,,
LGR6,lgr6,12,5,7,70.59,Class_A (4S0V),super,,,
LTB4R2,ltb4r2b,12,5,2,70.59,Class_A,align,,,
APLNR,aplnrb,12,4,1,75,Class_A,align,,,
CCR8,ccr8.1,12,4,6,75,Class_C,super,,,
PTGER1,ptger1a,12,3,2,80,Class_A,align,,,
ADGRD1,adgrd1,12,2,14,85.71,Class_B1,align,,,
GPR132,gpr132b,12,2,4,85.71,Class_A,align,,,
ACKR3,ackr3a,12,1,4,92.31,Class_A (4S0V),super,,,
ADGRG6,adgrg6,12,1,2,92.31,Class_A (4S0V),super,,,
GPR39,gpr39,12,1,5,92.31,Class_C,super,,,
OPRD1,oprd1b,12,1,5,92.31,Class_A,align,,,
PTAFR,ptafr,12,1,5,92.31,Class_A,super,,,
VIPR1,vipr1a,12,1,4,92.31,Class_A (4S0V),super,,,
ADGRG2,adgrg2a,12,0,3,100,Class_A (4S0V),super,,,
OPRK1,oprk1,12,0,10,100,Class_C,super,,,
PTH2R,pth2rb,12,0,11,100,Class_C,super,,,
GPR78,gpr78b,13,5,2,72.22,Class_A,align,,,
HRH2,hrh2b,13,5,2,72.22,Class_A (4S0V),super,,,
LTB4R2,ltb4r2a,13,4,2,76.47,Class_A,align,,,
OXGR1,oxgr1a.2,13,4,3,76.47,Class_A,align,,,
OXGR1,oxgr1a.3,13,4,4,76.47,Class_C,align,,,
TACR3,tacr3a,13,4,2,76.47,Class_A,align,,,
CCR9,ccr9a,13,3,5,81.25,Class_A (4S0V),super,,,
HRH2,hrh2a,13,3,4,81.25,Class_A (4S0V),super,,,
MCHR1,mchr1a,13,3,4,81.25,Class_A,align,,,
OPRD1,oprd1a,13,3,4,81.25,Class_A (4S0V),super,,,
OXGR1,oxgr1a.1,13,3,4,81.25,Class_A,align,,,
GPR25,gpr25,13,2,5,86.67,Class_A (4S0V),super,,,
CYSLTR1,cysltr1,13,1,5,92.86,Class_C,align,,,
GPR183,gpr183b,13,1,6,92.86,Class_A,super,,,
P2RY13,p2ry13,13,1,4,92.86,Class_A,align,,,
OPRM1,oprm1,13,0,1,100,Class_A,align,,,
GPR3,gpr3,14,7,2,66.67,Class_B1,super,,,
APLNR,aplnra,14,5,3,73.68,Class_A (4S0V),super,,,
GPR78,gpr78a,14,5,1,73.68,Class_A,align,,,
ACKR4,ackr4b,14,4,1,77.78,Class_A (4S0V),super,,,
CCKAR,cckar,14,4,0,77.78,Class_A,align,,,
MCHR1,mchr1b,14,4,3,77.78,Class_A (4S0V),super,,,
XCR1,xcr1b.1,14,4,8,77.78,Class_B1,super,,,
AGTR2,agtr2,14,3,4,82.35,Class_A (4S0V),super,,,
GPR171,gpr171,14,3,4,82.35,Class_A,align,,,
GPR18,gpr18,14,3,13,82.35,Class_F,super,,,
ADGRA2,adgra2,14,2,2,87.5,Class_F,align,,,
CCKBR,cckbra,14,2,4,87.5,Class_C,super,,,
QRFPR,qrfprb,14,2,0,87.5,Class_A,super,,,
ADGRA3,adgra3,14,1,2,93.33,Class_A,super,,,
ADRA1A,adra1ab,14,1,1,93.33,Class_A (4S0V),super,,,
GPR37L1,gpr37l1b,14,1,3,93.33,Class_A,super,,,
LPAR3,lpar3,14,1,6,93.33,Class_A (4S0V),super,,,
TRHR,trhrb,14,1,3,93.33,Class_A,super,align and super equal,,
NPBWR2,npbwr2a,14,0,5,100,Class_A,align,,,
NPBWR2,npbwr2b,14,0,5,100,Class_A,align,,,
P2RY10,p2ry10,14,0,4,100,Class_A,align,,,
PTH1R,pth1r,14,0,1,100,Class_A (4S0V),super,,,
GPR35,gpr35.1,15,7,5,68.18,Class_B1,super,,,
XCR1,xcr1b.2,15,7,4,68.18,Class_B1,super,,,
GHRHR,ghrhrb,15,6,3,71.43,Class_B1,align,,,
KISS1R,kiss1rb,15,4,4,78.95,Class_A (4S0V),super,,,
MCHR2,mchr2a,15,4,1,78.95,Class_A (4S0V),super,,,
KISS1R,kiss1ra,15,3,5,83.33,Class_F,super,,,
SSTR5,sstr5,15,3,0,83.33,Class_A,super,,,
CXCR1,cxcr1,15,2,9,88.24,Class_B1,super,,,
GPR183,gpr183a,15,2,3,88.24,Class_A,super,,,
HCAR1,hcar1-1,15,2,4,88.24,Class_A (4S0V),super,,,
LPAR6,lpar6b,15,2,3,88.24,Class_A (4S0V),super,,,
MTNR1B,mtnr1ba,15,2,1,88.24,Class_A,align,,,
NPFFR1,npffr1l1,15,2,2,88.24,Class_A (4S0V),super,,,
NPY1R,npy1r,15,2,0,88.24,Class_F,super,,,
PITPNM3,pitpnm3,15,2,1,88.24,Class_A,super,,,
PROKR1,prokr1b,15,2,2,88.24,Class_A (4S0V),super,,,
ADRA1B,adra1bb,15,1,4,93.75,Class_A (4S0V),super,,,
GPR153,gpr153,15,1,1,93.75,Class_A,super,,,
NPFFR1,npffr1l3,15,1,3,93.75,Class_A (4S0V),super,,,
S1PR3,s1pr3a,15,1,2,93.75,Class_A,super,,,
ADGRB2,adgrb2,15,0,3,100,Class_A,super,,,
FZD7,fzd7a,15,0,8,100,Class_B1,super,,,
FZD7,fzd7b,15,0,8,100,Class_B1,super,,,
GHSR,ghsrb,15,0,1,100,Class_A (4S0V),super,,,
GPR174,gpr174,15,0,4,100,Class_A (4S0V),super,,,
HTR6,htr6,15,0,11,100,Class_B1,align,,,
NPFFR2,npffr2a,15,0,0,100,Class_A,super,,,
NPFFR2,npffr2b,15,0,0,100,Class_A,align,,,
GHRHR,ghrhra,16,8,1,66.67,Class_B1,super,,,
GPR19,gpr19,16,6,0,72.73,Class_B1,super,,,
GPRC5B,gprc5ba,16,6,2,72.73,Class_A,super,,,
LTB4R,ltb4r,16,6,0,72.73,Class_A (4S0V),super,,,
RGR,rgrb,16,6,1,72.73,Class_A (4S0V),super,,,
LHCGR,lhcgr,16,3,1,84.21,Class_B1,super,,,
GPR34,gpr34a,16,2,3,88.89,Class_A (4S0V),super,,,
GPR61,gpr61,16,2,5,88.89,Class_A (4S0V),super,,,
NTSR1,ntsr1,16,2,4,88.89,Class_A,super,,,
S1PR5,s1pr5b,16,2,2,88.89,Class_A,super,,,
ADGRL4,adgrl4,16,1,1,94.12,Class_A,super,,,
AVPR1A,avpr1aa,16,1,3,94.12,Class_A (4S0V),super,,,
CHRM5,chrm5b,16,1,2,94.12,Class_A,super,,,
EDNRB,ednrbb,16,1,2,94.12,Class_A,align,,,
FSHR,fshr,16,1,1,94.12,Class_A,align,,,
GPR34,gpr34b,16,1,4,94.12,Class_A (4S0V),super,,,
GPR37,gpr37a,16,1,2,94.12,Class_A (4S0V),super,,,
MC5R,mc5rb,16,1,1,94.12,Class_A (4S0V),super,,,
NPY4R,npy4r,16,1,4,94.12,Class_A,super,,,
P2RY2,p2ry2.1,16,1,2,94.12,Class_A,align,,,
PROKR1,prokr1a,16,1,1,94.12,Class_A,super,,,
PTGER4,ptger4b,16,1,2,94.12,Class_A,align,,,
SSTR1,sstr1a,16,1,4,94.12,Class_A (4S0V),super,,,
TSHR,tshr,16,1,3,94.12,Class_A (4S0V),super,,,
ADGRL2,adgrl2a,16,0,1,100,Class_A,super,,,
EDNRA,ednraa,16,0,1,100,Class_A,align,,,
GABBR1,gabbr1b,16,0,4,100,Class_A (4S0V),super,,,
GHSR,ghsra,16,0,0,100,Class_A,align,,,
GPR139,gpr139,16,0,4,100,Class_A,super,,,
GPR17,gpr17,16,0,2,100,Class_A,super,,,
GPR37,gpr37b,16,0,3,100,Class_A (4S0V),super,,,
GRM2,grm2a,16,0,9,100,Class_B1,super,,,
LGR4,lgr4,16,0,2,100,Class_A,align,,,
MC3R,mc3r,16,0,1,100,Class_A,super,,,
CXCR3,cxcr3.2,17,7,2,70.83,Class_B1,super,,,
OPN3,opn3,17,7,1,70.83,Class_A (4S0V),super,,,
TAAR1,taar1b,17,5,2,77.27,Class_A (4S0V),super,,,
CCR7,ccr7,17,4,4,80.95,Class_B1,align,,,
F2RL1,f2rl1.1,17,3,1,85,Class_A (4S0V),super,,,
F2RL1,f2rl1.2,17,3,1,85,Class_A (4S0V),super,,,
GPER1,gper1,17,3,2,85,Class_B1,super,,,
GPR6,gpr6,17,3,4,85,Class_B1,super,,,
NPY2R,npy2r,17,3,0,85,Class_A (4S0V),super,,,
NPY2R,npy2rl,17,3,0,85,Class_A (4S0V),super,,,
TACR1,tacr1a,17,3,1,85,Class_A (4S0V),super,,,
ADRB3,adrb3a,17,2,0,89.47,Class_A,super,align and super equal,,
ADRB3,adrb3b,17,2,0,89.47,Class_A,super,align and super equal,,
CNR2,cnr2,17,2,1,89.47,Class_A (4S0V),super,,,
GALR2,galr2a,17,2,4,89.47,Class_A,super,,,
HCAR1,hcar1-2,17,2,2,89.47,Class_A (4S0V),super,,,
HCRTR2,hcrtr2,17,2,3,89.47,Class_C,super,,,
NMUR1,nmur1a,17,2,0,89.47,Class_A (4S0V),super,,,
P2RY8,p2ry8,17,2,1,89.47,Class_A,align,,,
S1PR4,s1pr4,17,2,1,89.47,Class_A,super,,,
ADRA1A,adra1aa,17,1,0,94.44,Class_A,super,align and super equal,,
ADRB1,adrb1,17,1,2,94.44,Class_A,super,align and super equal,,
CHRM4,chrm4b,17,1,0,94.44,Class_A,align,,,
CHRM5,chrm5a,17,1,0,94.44,Class_A,align,,,
HTR2A,htr2ab,17,1,2,94.44,Class_A,align,,,
LPAR4,lpar4,17,1,1,94.44,Class_A (4S0V),super,,,
DRD2,drd2b,17,0,2,100,Class_A,align,,,
GABBR1,gabbr1a,17,0,3,100,Class_A (4S0V),super,,,
GPR22,gpr22a,17,0,4,100,Class_A,align,,,
HTR1A,htr1aa,17,0,1,100,Class_A,align,,,
HTR1F,htr1fa,17,0,3,100,Class_A,align,,,
GPRC5B,gprc5bb,18,5,1,78.26,Class_A,super,,,
OPN1SW,opn1sw1,18,5,2,78.26,Class_B1,super,,,
GPR26,gpr26,18,4,4,81.82,Class_B1,align,,,
GPRC6A,gprc6a,18,3,2,85.71,Class_A (4S0V),super,,,
TACR1,tacr1b,18,3,0,85.71,Class_A (4S0V),super,,,
F2R,f2r,18,2,2,90,Class_A (4S0V),super,,,
GPR45,gpr45,18,2,2,90,Class_A (4S0V),super,,,
HTR2B,htr2b,18,2,1,90,Class_A (4S0V),super,,,
ADRA1B,adra1ba,18,1,2,94.74,Class_A,align,,,
ADRA2C,adra2c,18,1,0,94.74,Class_A,align,,,
GPR22,gpr22b,18,1,3,94.74,Class_A (4S0V),super,,,
HTR1F,htr1fb,18,1,1,94.74,Class_A,align,,,
MC4R,mc4r,18,1,3,94.74,Class_B1,super,,,
MTNR1B,mtnr1bb,18,1,0,94.74,Class_C,super,,,
P2RY2,p2ry2.3,18,1,1,94.74,Class_A,super,,,
ADGRL1,adgrl1a,18,0,1,100,Class_A (4S0V),super,,,
ADRA1D,adra1d,18,0,0,100,Class_A,super,align and super equal,,
CHRM2,chrm2b,18,0,0,100,Class_A,align,,,
CHRM4,chrm4a,18,0,0,100,Class_A,align,,,
DRD3,drd3,18,0,1,100,Class_A,align,,,
FZD9,fzd9a,18,0,2,100,Class_A (4S0V),super,,,
FZD9,fzd9b,18,0,2,100,Class_A (4S0V),super,,,
MC5R,mc5ra,18,0,0,100,Class_A (4S0V),super,,,
P2RY12,p2ry12,18,0,2,100,Class_A,super,,,
P2RY2,p2ry2.2,18,0,2,100,Class_A,super,,,
TACR2,tacr2,18,0,1,100,Class_A (4S0V),super,,,
LPAR2,lpar2a,19,4,2,82.61,Class_B1,super,,,
ADGRD2,adgrd2,19,3,2,86.36,Class_B1,super,,,
FZD8,fzd8b,19,3,1,86.36,Class_A,super,,,
GALR2,galr2b,19,3,1,86.36,Class_A (4S0V),super,,,
CXCR4,cxcr4b,19,2,2,90.48,Class_B1,super,,,
GPR84,gpr84,19,2,0,90.48,Class_A (4S0V),super,,,
GPRC5C,gprc5c,19,2,3,90.48,Class_C,super,,,
TBXA2R,tbxa2r,19,2,4,90.48,Class_A (4S0V),super,,,
GRM6,grm6b,19,1,1,95,Class_A,super,,,
HTR1D,htr1d,19,1,0,95,Class_A,align,,,
S1PR5,s1pr5a,19,1,2,95,Class_A (4S0V),super,,,
ADORA1,adora1b,19,0,0,100,Class_A (4S0V),super,,,
ADRA2B,adra2b,19,0,0,100,Class_A (4S0V),super,,,
ADRB2,adrb2b,19,0,1,100,Class_A,super,align and super equal,,
CHRM1,chrm1a,19,0,1,100,Class_A (4S0V),super,,,
GPR12,gpr12,19,0,11,100,Class_B1,super,,,
LPAR6,lpar6a,19,0,1,100,Class_A (4S0V),super,,,
RXFP2,rxfp2b,19,0,7,100,Class_B1,super,,,
SSTR2,sstr2b,20,3,0,86.96,Class_B1,super,,,
CASR,casr,20,2,3,90.91,Class_B1,super,,,
FZD8,fzd8a,20,2,0,90.91,Class_C,super,,,
GRM1,grm1b,20,2,2,90.91,Class_C,super,align and super equal,,
PTGER3,ptger3,20,2,1,90.91,Class_A (4S0V),super,,,
SSTR2,sstr2a,20,2,2,90.91,Class_B1,align,,,
ADGRA1,adgra1a,20,1,3,95.24,Class_A (4S0V),super,,,
CXCR4,cxcr4a,20,1,2,95.24,Class_B1,super,,,
GPR75,gpr75,20,1,2,95.24,Class_A (4S0V),super,,,
HRH3,hrh3,20,1,1,95.24,Class_A,align,,,
RGR,rgra,20,1,2,95.24,Class_A (4S0V),super,,,
RXFP1,rxfp1,20,1,1,95.24,Class_A,super,,,
ADORA2A,adora2ab,20,0,4,100,Class_A (4S0V),super,,,
CHRM2,chrm2a,20,0,3,100,Class_C,super,,,
DRD1,drd1b,20,0,0,100,Class_A,super,align and super equal,,
DRD4,drd4b,20,0,0,100,Class_A,align,,,
EDNRB,ednrba,20,0,2,100,Class_A (4S0V),super,,,
GABBR2,gabbr2,20,0,7,100,Class_C,align,,,
GALR1,galr1a,20,0,0,100,Class_A (4S0V),super,,,
HTR4,htr4,20,0,0,100,Class_A,super,align and super equal,,
MTNR1A,mtnr1ab,20,0,5,100,Class_A (4S0V),super,,,
OPN4,opn4b,20,0,4,100,Class_A,align,,,
RXFP2,rxfp2a,20,0,6,100,Class_B1,super,,,
SMO,smo,20,0,0,100,Class_A (4S0V),super,,,
TRHR,trhra,20,0,0,100,Class_A (4S0V),super,,,
ADGRL3,adgrl3.1,20,0,4,100,Class_B1,super,,,
GCGR,gcgrb,21,5,0,80.77,Class_B1,super,align and super equal,,
GRM6,grm6a,21,4,2,84,Class_B1,super,,,
CALCRL,calcrlb,21,3,1,87.5,Class_B1,super,,,
ADORA2A,adora2aa,21,1,2,95.45,Class_A (4S0V),super,,,
CHRM3,chrm3a,21,1,0,95.45,Class_A,align,,,
DRD4,drd4a,21,1,2,95.45,Class_B1,super,,,
RHO,rho,21,1,3,95.45,Class_A (4S0V),super,,,
ADORA2B,adora2b,21,0,2,100,Class_A (4S0V),super,,,
CNR1,cnr1,21,0,1,100,Class_C,super,,,
CRHR1,crhr1,21,0,8,100,Class_B1,align,,,
DRD2,drd2a,21,0,1,100,Class_B1,align,,,
FZD2,fzd2,21,0,2,100,Class_B1,align,,,
GPR4,gpr4,21,0,1,100,Class_A (4S0V),super,,,
HTR7,htr7a,21,0,0,100,Class_A (4S0V),super,,,
S1PR1,s1pr1,21,0,3,100,Class_C,super,,,
S1PR2,s1pr2,21,0,1,100,Class_B1,super,,,
CALCRL,calcrla,22,3,0,88,Class_B1,super,,,
LPAR2,lpar2b,22,3,0,88,Class_B1,super,,,
PTGER4,ptger4a,22,2,3,91.67,Class_C,super,,,
FZD6,fzd6,22,1,3,95.65,Class_F,align,,,
GPR63,gpr63,22,1,1,95.65,Class_A (4S0V),super,,,
OPN4,opn4a,22,1,1,95.65,Class_A,align,,,
VIPR2,vipr2,22,1,4,95.65,Class_B1,super,,,
FZD1,fzd1,22,0,2,100,Class_A (4S0V),super,,,
FZD3,fzd3b,22,0,3,100,Class_B1,super,,,
HTR1A,htr1ab,22,0,3,100,Class_B1,super,,,
RRH,rrh,22,0,2,100,Class_F,super,,,
FZD5,fzd5,23,2,3,92,Class_F,align,,,
PTGFR,ptgfr,23,2,3,92,Class_B1,super,,,
CALCR,calcr,23,1,0,95.83,Class_B1,super,,,
FZD3,fzd3a,23,1,2,95.83,Class_B1,align,,,
ADGRB3,adgrb3,23,0,2,100,Class_B1,align,,,
GPR85,gpr85,23,0,2,100,Class_A (4S0V),super,,,
GRM1,grm1a,23,0,1,100,Class_C,super,align and super equal,,
GRM5,grm5b,23,0,4,100,Class_A (4S0V),super,,,
HTR5A,htr5aa,23,0,1,100,Class_B1,super,,,
HTR5A,htr5ab,23,0,1,100,Class_B1,super,,,
GPR158,gpr158b,24,4,0,85.71,Class_B1,super,,,
GRM2,grm2b,24,1,0,96,Class_B1,super,,,
OPN5,opn5,24,1,3,96,Class_B1,super,,,
GPR158,gpr158a,24,0,4,100,Class_B1,super,,,
GRM3,grm3,24,0,2,100,Class_F,super,,,
GRM4,grm4,24,0,4,100,Class_B1,super,,,
GRM5,grm5a,24,0,3,100,Class_A (4S0V),super,,,
LPAR1,lpar1,24,0,3,100,Class_F,super,,,
FZD10,fzd10,25,1,2,96.15,Class_F,align,,,
ADGRB1,adgrb1b,25,0,2,100,Class_B1,super,,,
DRD1,drd1a,25,0,2,100,Class_B1,super,,,
GPR173,gpr173,25,0,1,100,Class_A (4S0V),super,,,
GRM8,grm8b,25,0,1,100,Class_B1,super,,,
P2RY1,p2ry1,25,0,2,100,Class_A (4S0V),super,,,
ADGRB1,adgrb1a,26,0,1,100,Class_B1,super,,,
GRM8,grm8a,26,0,0,100,Class_B1,super,,,
ADCYAP1R1,adcyap1r1a,27,0,1,100,Class_B1,align,,,
FZD4,fzd4,27,0,1,100,Class_B1,super,,,
OPN1LW,opn1lw1,28,0,1,100,Class_A (4S0V),super,,,
