human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method
ADORA2B,adora2b,21,0,2,100.0,Class_A (4S0V),super
ADRA1A,adra1aa,17,1,0,94.44,Class_A,align
ADRA1A,adra1aa,17,1,0,94.44,Class_A,super
ADRA1A,adra1ab,14,1,1,93.33,Class_A (4S0V),super
ADRA1B,adra1ba,18,1,2,94.74,Class_A,align
ADRA1B,adra1bb,15,1,4,93.75,Class_A (4S0V),super
ADRA1D,adra1d,18,0,0,100.0,Class_A,align
ADRA1D,adra1d,18,0,0,100.0,Class_A,super
ADRA2A,adra2a,20,1,2,95.24,Class_A (4S0V),align
ADRA2B,adra2b,19,0,0,100.0,Class_A (4S0V),super
ADRA2C,adra2c,18,1,0,94.74,Class_A,align
ADRB1,adrb1,19,1,7,95.0,Class_B1,align
ADRB2,adrb2a,14,0,6,100.0,Class_A (4S0V),super
ADRB2,adrb2b,19,0,1,100.0,Class_A,align
ADRB2,adrb2b,19,0,1,100.0,Class_A,super
ADRB3,adrb3a,17,2,0,89.47,Class_A,align
ADRB3,adrb3a,17,2,0,89.47,Class_A,super
ADRB3,adrb3b,17,2,0,89.47,Class_A,align
ADRB3,adrb3b,17,2,0,89.47,Class_A,super
AGTR1,agtr1a,9,6,3,60.0,Class_A,align
AGTR1,agtr1b,11,4,3,73.33,Class_A,align
AGTR2,agtr2,14,4,2,77.78,Class_A (4S0V),align
AGTR2,agtr2,14,4,3,77.78,Class_A (4S0V),super
APLNR,aplnra,14,5,2,73.68,Class_A (4S0V),align
APLNR,aplnra,14,5,3,73.68,Class_A (4S0V),super
APLNR,aplnrb,12,4,1,75.0,Class_A,align
APLNR,aplnrb,12,4,3,75.0,Class_A,super
AVPR1A,avpr1aa,17,1,1,94.44,Class_A (4S0V),align
AVPR1A,avpr1ab,18,1,1,94.74,Class_A (4S0V),super
AVPR2,avpr2aa,11,4,5,73.33,Class_A (4S0V),super
AVPR2,avpr2ab,12,5,3,70.59,Class_A (4S0V),align
BDKRB1,bdkrb1,12,5,3,70.59,Class_A (4S0V),super
C5AR1,c5ar1,8,10,1,44.44,Class_A (4S0V),align
C5AR1,c5ar1,8,10,8,44.44,Class_B1,super
C5AR1,c5ar1,4,5,9,44.44,Class_C,super
CALCR,calcr,23,1,0,95.83,Class_B1,super
CALCRL,calcrla,22,3,0,88.0,Class_B1,super
CALCRL,calcrlb,7,1,1,87.5,Class_A,super
CALCRL,calcrlb,21,3,1,87.5,Class_B1,super
CASR,casr,20,2,0,90.91,Class_A (4S0V),super
CASR,casr,20,2,3,90.91,Class_B1,super
CCKAR,cckar,14,4,0,77.78,Class_A,align
CCKBR,cckbra,15,3,2,83.33,Class_C,super
CCR10,ccr10,4,6,15,40.0,Class_B1,align
CCR2,ccr2,8,9,5,47.06,Class_A (4S0V),super
CCR6,ccr6a,5,5,8,50.0,Class_C,align
CCR6,ccr6b,12,7,5,63.16,Class_B1,super
CCR7,ccr7,15,4,1,78.95,Class_C,align
CCR8,ccr8.1,12,5,5,70.59,Class_C,super
CCR9,ccr9a,13,3,3,81.25,Class_A (4S0V),align
CCR9,ccr9a,13,3,5,81.25,Class_A (4S0V),super
CCR9,ccr9b,12,5,2,70.59,Class_A (4S0V),align
CELSR1,celsr1a,3,11,10,21.43,Class_A (4S0V),align
CELSR1,celsr1b,0,12,12,0.0,Class_A (4S0V),align
CELSR1,celsr1b,0,0,0,0.0,Class_A,align
CELSR1,celsr1b,0,0,1,0.0,Class_B1,align
CELSR1,celsr1b,0,2,4,0.0,Class_C,align
CELSR1,celsr1b,0,1,2,0.0,Class_F,align
CELSR1,celsr1b,0,0,3,0.0,Class_A (4S0V),super
CELSR1,celsr1b,0,4,6,0.0,Class_A,super
CELSR1,celsr1b,0,0,0,0.0,Class_B1,super
CELSR1,celsr1b,0,0,0,0.0,Class_C,super
CELSR1,celsr1b,0,0,9,0.0,Class_F,super
CELSR3,celsr3,1,0,3,100.0,Class_C,super
CHRM1,chrm1a,18,0,0,100.0,Class_A,align
CHRM1,chrm1a,19,0,1,100.0,Class_A (4S0V),super
CHRM2,chrm2a,19,0,2,100.0,Class_A (4S0V),align
CHRM2,chrm2a,18,0,0,100.0,Class_A,align
CHRM2,chrm2a,16,0,1,100.0,Class_A,super
CHRM2,chrm2a,20,0,3,100.0,Class_C,super
CHRM2,chrm2b,18,0,3,100.0,Class_A (4S0V),align
CHRM2,chrm2b,18,0,0,100.0,Class_A,align
CHRM2,chrm2b,10,0,7,100.0,Class_A,super
CHRM3,chrm3a,21,1,0,95.45,Class_A,align
CHRM3,chrm3b,12,1,8,92.31,Class_A (4S0V),super
CHRM4,chrm4a,18,0,0,100.0,Class_A,align
CHRM4,chrm4b,18,1,1,94.74,Class_A (4S0V),align
CHRM5,chrm5a,18,1,1,94.74,Class_A (4S0V),align
CHRM5,chrm5b,18,1,1,94.74,Class_A (4S0V),align
CMKLR1,cmklr1,12,7,3,63.16,Class_A (4S0V),align
CMKLR1,cmklr1,12,7,3,63.16,Class_A (4S0V),super
CMKLR2,cmklr2,11,4,5,73.33,Class_A (4S0V),super
CNR1,cnr1,21,0,1,100.0,Class_C,super
CNR2,cnr2,17,2,1,89.47,Class_A (4S0V),super
CRHR1,crhr1,13,0,5,100.0,Class_A (4S0V),align
CRHR1,crhr1,12,0,4,100.0,Class_A (4S0V),super
CRHR1,crhr1,10,0,2,100.0,Class_A,super
CRHR1,crhr1,6,0,12,100.0,Class_C,super
CXCR1,cxcr1,18,3,5,85.71,Class_B1,super
CXCR2,cxcr2,17,7,2,70.83,Class_B1,super
CXCR3,cxcr3.1,7,2,4,77.78,Class_A,super
CXCR3,cxcr3.2,18,7,1,72.0,Class_B1,super
CXCR4,cxcr4a,20,1,2,95.24,Class_B1,super
CXCR4,cxcr4b,19,2,2,90.48,Class_B1,super
CXCR5,cxcr5,8,9,3,47.06,Class_A (4S0V),super
CYSLTR1,cysltr1,15,1,2,93.75,Class_A (4S0V),align
CYSLTR1,cysltr1,15,1,3,93.75,Class_C,align
DRD1,drd1a,20,0,0,100.0,Class_A,align
DRD1,drd1a,18,0,1,100.0,Class_A (4S0V),super
DRD1,drd1a,20,0,0,100.0,Class_A,super
DRD1,drd1a,25,0,2,100.0,Class_B1,super
DRD1,drd1b,20,0,0,100.0,Class_A,align
DRD1,drd1b,17,0,2,100.0,Class_A (4S0V),super
DRD1,drd1b,20,0,0,100.0,Class_A,super
DRD2,drd2a,20,0,1,100.0,Class_A (4S0V),align
DRD2,drd2a,19,0,0,100.0,Class_A,align
DRD2,drd2a,21,0,1,100.0,Class_B1,align
DRD2,drd2b,20,0,1,100.0,Class_A (4S0V),align
DRD2,drd2b,17,0,2,100.0,Class_A,align
DRD3,drd3,18,0,1,100.0,Class_A,align
DRD3,drd3,15,0,3,100.0,Class_A,super
DRD4,drd4a,21,1,2,95.45,Class_B1,super
DRD4,drd4b,20,0,0,100.0,Class_A,align
EDNRA,ednraa,16,0,1,100.0,Class_A,align
EDNRA,ednraa,15,0,1,100.0,Class_A,super
EDNRA,ednrab,11,0,4,100.0,Class_F,super
EDNRB,ednrba,22,0,1,100.0,Class_A (4S0V),align
EDNRB,ednrba,18,0,1,100.0,Class_A,align
EDNRB,ednrba,20,0,2,100.0,Class_A (4S0V),super
EDNRB,ednrbb,16,1,2,94.12,Class_A,align
F2R,f2r,18,2,3,90.0,Class_A (4S0V),align
F2R,f2r,18,2,2,90.0,Class_A (4S0V),super
F2RL1,f2rl1.1,17,3,1,85.0,Class_A (4S0V),align
F2RL1,f2rl1.1,17,3,1,85.0,Class_A (4S0V),super
F2RL1,f2rl1.2,17,3,1,85.0,Class_A (4S0V),align
F2RL1,f2rl1.2,17,3,1,85.0,Class_A (4S0V),super
F2RL2,f2rl2,11,5,1,68.75,Class_A,super
FPR1,fpr1,9,8,9,52.94,Class_F,super
FSHR,fshr,16,1,1,94.12,Class_A,align
FZD1,fzd1,22,0,2,100.0,Class_A (4S0V),super
FZD1,fzd1,19,0,3,100.0,Class_A,super
FZD10,fzd10,25,1,2,96.15,Class_F,align
FZD10,fzd10,25,1,1,96.15,Class_F,super
FZD2,fzd2,21,0,2,100.0,Class_B1,align
FZD3,fzd3a,25,0,1,100.0,Class_A (4S0V),align
FZD3,fzd3b,22,0,3,100.0,Class_B1,super
FZD4,fzd4,17,0,7,100.0,Class_A,super
FZD4,fzd4,27,0,1,100.0,Class_B1,super
FZD4,fzd4,18,0,2,100.0,Class_C,super
FZD5,fzd5,23,2,3,92.0,Class_F,align
FZD6,fzd6,22,1,3,95.65,Class_F,align
FZD7,fzd7a,18,0,5,100.0,Class_B1,super
FZD7,fzd7b,15,0,7,100.0,Class_A,super
FZD7,fzd7b,17,0,6,100.0,Class_B1,super
FZD8,fzd8a,20,2,0,90.91,Class_C,super
FZD8,fzd8b,19,3,1,86.36,Class_A,super
FZD9,fzd9a,15,0,3,100.0,Class_A,super
FZD9,fzd9b,18,1,1,94.74,Class_A (4S0V),super
GABBR1,gabbr1a,17,0,3,100.0,Class_A (4S0V),super
GABBR1,gabbr1b,22,1,2,95.65,Class_C,super
GABBR2,gabbr2,23,0,4,100.0,Class_C,align
GABBR2,gabbr2,20,0,2,100.0,Class_B1,super
GALR1,galr1a,20,0,0,100.0,Class_A (4S0V),align
GALR1,galr1a,18,0,0,100.0,Class_A,align
GALR1,galr1a,20,0,0,100.0,Class_A (4S0V),super
GALR1,galr1a,17,0,0,100.0,Class_A,super
GALR1,galr1b,11,2,5,84.62,Class_F,super
GALR2,galr2a,17,2,4,89.47,Class_A,super
GALR2,galr2b,20,3,0,86.96,Class_A (4S0V),align
GCGR,gcgra,1,0,4,100.0,Class_A,align
GCGR,gcgrb,21,5,0,80.77,Class_B1,align
GCGR,gcgrb,21,5,0,80.77,Class_B1,super
GHRHR,ghrhra,17,8,0,68.0,Class_B1,super
GHRHR,ghrhrb,16,6,2,72.73,Class_B1,align
GHSR,ghsra,15,0,4,100.0,Class_A (4S0V),align
GHSR,ghsra,16,0,0,100.0,Class_A,align
GHSR,ghsra,15,0,1,100.0,Class_A (4S0V),super
GHSR,ghsra,15,0,0,100.0,Class_A,super
GHSR,ghsrb,17,0,2,100.0,Class_A (4S0V),align
GHSR,ghsrb,13,0,3,100.0,Class_A,align
GHSR,ghsrb,15,0,1,100.0,Class_A (4S0V),super
GHSR,ghsrb,13,0,2,100.0,Class_A,super
GIPR,gipr,8,0,3,100.0,Class_A,super
GPBAR1,gpbar1,8,4,6,66.67,Class_A,super
GPER1,gper1,17,3,2,85.0,Class_B1,super
GPR101,gpr101,10,10,1,50.0,Class_A (4S0V),align
GPR12,gpr12,22,0,8,100.0,Class_B1,super
GPR132,gpr132a,11,3,6,78.57,Class_A (4S0V),align
GPR132,gpr132a,11,3,4,78.57,Class_A,align
GPR132,gpr132a,11,3,4,78.57,Class_A,super
GPR132,gpr132b,12,2,4,85.71,Class_A,align
GPR135,gpr135,8,7,6,53.33,Class_A,align
GPR139,gpr139,17,0,3,100.0,Class_A (4S0V),align
GPR139,gpr139,16,0,4,100.0,Class_A,super
GPR142,gpr142,10,2,1,83.33,Class_A,super
GPR146,gpr146,13,4,1,76.47,Class_A (4S0V),align
GPR151,gpr151,9,4,8,69.23,Class_A,super
GPR153,gpr153,15,1,1,93.75,Class_A,super
GPR156,gpr156,3,4,10,42.86,Class_A,super
GPR158,gpr158a,24,0,4,100.0,Class_B1,super
GPR158,gpr158b,24,4,0,85.71,Class_B1,super
GPR160,gpr160,4,4,17,50.0,Class_B1,align
GPR160,gpr160,9,9,5,50.0,Class_B1,super
GPR161,gpr161b,18,5,1,78.26,Class_A (4S0V),super
GPR17,gpr17,16,1,2,94.12,Class_A,align
GPR17,gpr17,16,1,1,94.12,Class_A,super
GPR171,gpr171,14,3,4,82.35,Class_A,align
GPR173,gpr173,23,0,2,100.0,Class_A (4S0V),align
GPR173,gpr173,17,0,2,100.0,Class_A,align
GPR173,gpr173,25,0,1,100.0,Class_A (4S0V),super
GPR173,gpr173,18,0,1,100.0,Class_A,super
GPR174,gpr174,13,0,3,100.0,Class_A,align
GPR174,gpr174,17,0,2,100.0,Class_A (4S0V),super
GPR174,gpr174,11,0,3,100.0,Class_A,super
GPR176,gpr176,10,5,1,66.67,Class_A (4S0V),align
GPR18,gpr18,16,4,6,80.0,Class_A (4S0V),align
GPR183,gpr183a,15,2,3,88.24,Class_A,super
GPR183,gpr183b,13,1,6,92.86,Class_A,super
GPR19,gpr19,16,6,0,72.73,Class_B1,super
GPR20,gpr20,13,5,3,72.22,Class_A (4S0V),align
GPR22,gpr22a,17,0,4,100.0,Class_A,align
GPR22,gpr22b,21,1,2,95.45,Class_A (4S0V),align
GPR25,gpr25,13,2,5,86.67,Class_A (4S0V),super
GPR26,gpr26,21,4,1,84.0,Class_B1,align
GPR27,gpr27,12,5,4,70.59,Class_A (4S0V),super
GPR3,gpr3,14,7,2,66.67,Class_B1,super
GPR34,gpr34a,16,2,3,88.89,Class_A (4S0V),align
GPR34,gpr34a,16,2,3,88.89,Class_A (4S0V),super
GPR34,gpr34b,17,1,3,94.44,Class_A (4S0V),align
GPR35,gpr35.1,15,10,2,60.0,Class_B1,super
GPR37,gpr37a,16,1,0,94.12,Class_A (4S0V),align
GPR37,gpr37a,16,1,2,94.12,Class_A (4S0V),super
GPR37,gpr37b,16,0,1,100.0,Class_A (4S0V),align
GPR37,gpr37b,16,0,3,100.0,Class_A (4S0V),super
GPR37L1,gpr37l1a,12,3,1,80.0,Class_A,align
GPR37L1,gpr37l1b,16,1,2,94.12,Class_A (4S0V),align
GPR39,gpr39,15,3,0,83.33,Class_C,super
GPR4,gpr4,21,0,0,100.0,Class_A (4S0V),align
GPR4,gpr4,14,0,3,100.0,Class_A,align
GPR4,gpr4,21,0,1,100.0,Class_A (4S0V),super
GPR4,gpr4,17,0,2,100.0,Class_A,super
GPR45,gpr45,18,2,2,90.0,Class_A (4S0V),super
GPR52,gpr52,22,1,2,95.65,Class_A (4S0V),align
GPR55,gpr55a,7,7,6,50.0,Class_A (4S0V),align
GPR6,gpr6,18,3,3,85.71,Class_B1,super
GPR61,gpr61,17,2,4,89.47,Class_A (4S0V),super
GPR63,gpr63,22,1,2,95.65,Class_A (4S0V),align
GPR63,gpr63,22,1,1,95.65,Class_A (4S0V),super
GPR65,gpr65,11,5,4,68.75,Class_C,super
GPR75,gpr75,21,1,1,95.45,Class_A (4S0V),super
GPR78,gpr78a,6,2,7,75.0,Class_C,super
GPR78,gpr78b,13,5,2,72.22,Class_A,align
GPR84,gpr84,17,1,8,94.44,Class_A (4S0V),align
GPR85,gpr85,18,0,0,100.0,Class_A,align
GPR85,gpr85,17,0,2,100.0,Class_C,align
GPR85,gpr85,23,0,2,100.0,Class_A (4S0V),super
GPRC5B,gprc5ba,16,6,2,72.73,Class_A,super
GPRC5B,gprc5bb,18,5,1,78.26,Class_A,super
GPRC5C,gprc5c,19,2,3,90.48,Class_C,super
GPRC6A,gprc6a,18,3,2,85.71,Class_A (4S0V),super
GRM1,grm1a,23,0,1,100.0,Class_C,align
GRM1,grm1a,23,0,1,100.0,Class_C,super
GRM1,grm1b,20,2,2,90.91,Class_C,align
GRM1,grm1b,20,2,2,90.91,Class_C,super
GRM2,grm2a,19,0,6,100.0,Class_B1,super
GRM2,grm2b,24,1,0,96.0,Class_B1,super
GRM3,grm3,23,0,1,100.0,Class_C,align
GRM3,grm3,22,0,2,100.0,Class_C,super
GRM3,grm3,24,0,2,100.0,Class_F,super
GRM4,grm4,26,0,1,100.0,Class_A (4S0V),super
GRM4,grm4,24,0,4,100.0,Class_B1,super
GRM5,grm5a,19,0,3,100.0,Class_C,align
GRM5,grm5a,24,0,3,100.0,Class_A (4S0V),super
GRM5,grm5a,19,0,1,100.0,Class_A,super
GRM5,grm5a,20,0,4,100.0,Class_C,super
GRM5,grm5a,25,0,1,100.0,Class_F,super
GRM5,grm5b,19,0,3,100.0,Class_C,align
GRM5,grm5b,23,0,4,100.0,Class_A (4S0V),super
GRM5,grm5b,19,0,1,100.0,Class_A,super
GRM5,grm5b,20,0,4,100.0,Class_C,super
GRM6,grm6a,21,4,2,84.0,Class_B1,super
GRM6,grm6b,19,1,1,95.0,Class_A,super
GRM8,grm8a,26,0,0,100.0,Class_B1,super
GRM8,grm8b,25,0,1,100.0,Class_B1,super
HCAR1,hcar1-1,15,2,4,88.24,Class_A (4S0V),super
HCAR1,hcar1-2,17,3,1,85.0,Class_A (4S0V),super
HCRTR2,hcrtr2,17,2,3,89.47,Class_C,super
HRH1,hrh1,1,6,5,14.29,Class_B1,align
HRH2,hrh2a,14,3,3,82.35,Class_A (4S0V),super
HRH2,hrh2b,13,5,2,72.22,Class_A (4S0V),super
HRH3,hrh3,21,1,1,95.45,Class_A (4S0V),align
HTR1A,htr1aa,19,0,0,100.0,Class_A (4S0V),align
HTR1A,htr1aa,17,0,1,100.0,Class_A,align
HTR1A,htr1aa,17,0,0,100.0,Class_A,super
HTR1A,htr1ab,22,0,3,100.0,Class_B1,super
HTR1B,htr1b,18,1,1,94.74,Class_A,align
HTR1D,htr1d,19,1,0,95.0,Class_A,align
HTR1F,htr1fa,17,0,3,100.0,Class_A,align
HTR1F,htr1fb,18,1,1,94.74,Class_A,align
HTR2A,htr2ab,17,1,2,94.44,Class_A,align
HTR2B,htr2b,18,2,1,90.0,Class_A (4S0V),super
HTR4,htr4,20,0,0,100.0,Class_A (4S0V),align
HTR4,htr4,20,0,0,100.0,Class_A,align
HTR4,htr4,18,0,2,100.0,Class_A (4S0V),super
HTR4,htr4,20,0,0,100.0,Class_A,super
HTR5A,htr5aa,20,0,0,100.0,Class_A (4S0V),align
HTR5A,htr5aa,18,0,1,100.0,Class_A (4S0V),super
HTR5A,htr5aa,23,0,1,100.0,Class_B1,super
HTR5A,htr5ab,18,0,1,100.0,Class_A (4S0V),super
HTR5A,htr5ab,23,0,1,100.0,Class_B1,super
HTR6,htr6,19,1,0,95.0,Class_A (4S0V),align
HTR7,htr7a,21,0,0,100.0,Class_A (4S0V),align
HTR7,htr7a,21,0,0,100.0,Class_A,align
HTR7,htr7a,21,0,0,100.0,Class_A (4S0V),super
KISS1R,kiss1ra,15,4,4,78.95,Class_F,super
KISS1R,kiss1rb,15,4,4,78.95,Class_A (4S0V),align
KISS1R,kiss1rb,15,4,4,78.95,Class_A (4S0V),super
LGR4,lgr4,16,0,2,100.0,Class_A,align
LGR6,lgr6,12,5,7,70.59,Class_A (4S0V),super
LHCGR,lhcgr,16,3,1,84.21,Class_B1,super
LHCGR,lhcgr,16,3,0,84.21,Class_C,super
LPAR1,lpar1,17,0,1,100.0,Class_A (4S0V),align
LPAR1,lpar1,17,0,1,100.0,Class_A,align
LPAR1,lpar1,17,0,2,100.0,Class_A (4S0V),super
LPAR1,lpar1,15,0,3,100.0,Class_A,super
LPAR1,lpar1,19,0,4,100.0,Class_C,super
LPAR1,lpar1,24,0,3,100.0,Class_F,super
LPAR2,lpar2a,19,4,2,82.61,Class_B1,super
LPAR2,lpar2b,22,3,0,88.0,Class_B1,super
LPAR3,lpar3,14,1,6,93.33,Class_A (4S0V),super
LPAR4,lpar4,17,1,1,94.44,Class_A (4S0V),super
LPAR5,lpar5a,7,6,3,53.85,Class_A,super
LPAR5,lpar5b,6,6,10,50.0,Class_A (4S0V),super
LPAR6,lpar6a,19,0,2,100.0,Class_A (4S0V),align
LPAR6,lpar6a,16,0,0,100.0,Class_A,align
LPAR6,lpar6a,19,0,1,100.0,Class_A (4S0V),super
LPAR6,lpar6b,17,2,2,89.47,Class_A (4S0V),align
LTB4R,ltb4r,16,5,0,76.19,Class_A (4S0V),align
LTB4R2,ltb4r2a,13,4,2,76.47,Class_A,align
LTB4R2,ltb4r2b,12,5,2,70.59,Class_A,align
MC1R,mc1r,16,2,1,88.89,Class_C,super
MC2R,mc2r,12,5,7,70.59,Class_B1,super
MC3R,mc3r,16,0,1,100.0,Class_A,super
MC4R,mc4r,18,1,3,94.74,Class_B1,super
MC5R,mc5ra,18,0,1,100.0,Class_A (4S0V),align
MC5R,mc5ra,18,0,0,100.0,Class_A (4S0V),super
MC5R,mc5rb,17,1,1,94.44,Class_A (4S0V),align
MCHR1,mchr1a,14,3,3,82.35,Class_C,super
MCHR1,mchr1b,14,5,2,73.68,Class_A (4S0V),super
MCHR2,mchr2a,15,4,1,78.95,Class_A (4S0V),align
MCHR2,mchr2a,15,4,1,78.95,Class_A (4S0V),super
MCHR2,mchr2b,3,1,16,75.0,Class_A (4S0V),align
MLNR,mlnr,14,5,5,73.68,Class_B1,super
MTNR1A,mtnr1aa,12,0,9,100.0,Class_C,super
MTNR1A,mtnr1ab,20,0,5,100.0,Class_A (4S0V),super
MTNR1A,mtnr1al,9,0,10,100.0,Class_A,super
MTNR1B,mtnr1ba,15,2,1,88.24,Class_A,align
MTNR1B,mtnr1bb,18,1,0,94.74,Class_C,super
NMUR1,nmur1a,17,2,0,89.47,Class_A (4S0V),super
NPBWR2,npbwr2a,14,0,5,100.0,Class_A,align
NPBWR2,npbwr2b,14,0,5,100.0,Class_A,align
NPBWR2,npbwr2b,8,0,14,100.0,Class_F,super
NPFFR1,npffr1,14,1,4,93.33,Class_A (4S0V),super
NPFFR1,npffr1l1,16,2,0,88.89,Class_A (4S0V),align
NPFFR1,npffr1l2,16,1,2,94.12,Class_A (4S0V),super
NPFFR1,npffr1l3,15,1,2,93.75,Class_A (4S0V),align
NPFFR1,npffr1l3,15,1,1,93.75,Class_A,align
NPFFR1,npffr1l3,15,1,3,93.75,Class_A (4S0V),super
NPFFR2,npffr2a,14,0,1,100.0,Class_A,align
NPFFR2,npffr2a,15,0,0,100.0,Class_A,super
NPFFR2,npffr2b,15,0,0,100.0,Class_A,align
NPFFR2,npffr2b,14,0,1,100.0,Class_A,super
NPY1R,npy1r,15,2,0,88.24,Class_F,super
NPY2R,npy2r,17,3,0,85.0,Class_A (4S0V),align
NPY2R,npy2r,17,3,0,85.0,Class_A (4S0V),super
NPY2R,npy2rl,17,3,0,85.0,Class_A (4S0V),align
NPY2R,npy2rl,17,3,0,85.0,Class_A (4S0V),super
NPY4R,npy4r,16,1,4,94.12,Class_A,super
NTSR1,ntsr1,16,3,1,84.21,Class_A,align
NTSR1,ntsr1,16,3,3,84.21,Class_A,super
OPN1LW,opn1lw1,26,0,1,100.0,Class_A (4S0V),align
OPN1LW,opn1lw1,22,0,0,100.0,Class_A,align
OPN1LW,opn1lw1,28,0,1,100.0,Class_A (4S0V),super
OPN1LW,opn1lw1,23,0,0,100.0,Class_A,super
OPN1SW,opn1sw1,18,5,1,78.26,Class_A,super
OPN1SW,opn1sw1,18,5,2,78.26,Class_B1,super
OPN3,opn3,18,7,0,72.0,Class_A (4S0V),align
OPN4,opn4a,22,1,1,95.65,Class_A,align
OPN4,opn4b,21,0,3,100.0,Class_A (4S0V),align
OPN4,opn4b,20,0,4,100.0,Class_A,align
OPN4,opn4b,20,0,1,100.0,Class_A (4S0V),super
OPN4,opn4b,22,0,1,100.0,Class_A,super
OPN5,opn5,24,1,3,96.0,Class_B1,super
OPRD1,oprd1a,13,3,4,81.25,Class_A (4S0V),super
OPRD1,oprd1a,13,3,3,81.25,Class_A,super
OPRD1,oprd1b,12,2,4,85.71,Class_A,align
OPRK1,oprk1,14,0,8,100.0,Class_C,super
OPRL1,oprl1,11,4,1,73.33,Class_A (4S0V),align
OPRL1,oprl1,11,4,1,73.33,Class_A (4S0V),super
OPRM1,oprm1,13,0,1,100.0,Class_A,align
OPRM1,oprm1,13,0,0,100.0,Class_A,super
OXGR1,oxgr1a.1,13,3,4,81.25,Class_A,align
OXGR1,oxgr1a.2,13,4,3,76.47,Class_A,align
OXGR1,oxgr1a.3,15,4,2,78.95,Class_C,align
OXGR1,oxgr1b,7,1,12,87.5,Class_A,align
OXTR,oxtra,7,0,10,100.0,Class_F,super
OXTR,oxtrb,6,0,11,100.0,Class_F,super
P2RY1,p2ry1,24,0,1,100.0,Class_A (4S0V),align
P2RY1,p2ry1,25,0,2,100.0,Class_A (4S0V),super
P2RY10,p2ry10,14,0,4,100.0,Class_A,align
P2RY11,p2ry11,10,5,1,66.67,Class_A,align
P2RY12,p2ry12,18,0,2,100.0,Class_A,super
P2RY13,p2ry13,13,1,4,92.86,Class_A,align
P2RY2,p2ry2.1,16,1,2,94.12,Class_A,align
P2RY2,p2ry2.2,18,0,2,100.0,Class_A,super
P2RY2,p2ry2.3,18,1,1,94.74,Class_A,super
P2RY8,p2ry8,19,1,3,95.0,Class_A (4S0V),align
PITPNM3,pitpnm3,15,2,1,88.24,Class_A,super
PROKR1,prokr1a,16,1,1,94.12,Class_A,super
PROKR1,prokr1b,15,2,2,88.24,Class_A (4S0V),super
PTAFR,ptafr,12,1,5,92.31,Class_A,super
