human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity,best class alignment,best method,,n =290
PTGER4,ptger4c,12,6,3,66.67,Class_A (4S0V),align,,
CCR9,ccr9b,12,5,4,70.59,Class_A (4S0V),super,,
LTB4R2,ltb4r2b,12,5,2,70.59,Class_A,align,,
APLNR,aplnrb,12,4,3,75,Class_A,super,,
GPR146,gpr146,12,4,2,75,Class_A (4S0V),align,,
LGR6,lgr6,12,4,8,75,Class_A (4S0V),super,,
KISS1R,kiss1rb,12,3,8,80,Class_F,super,,
OXGR1,oxgr1a.2,12,3,5,80,Class_A,super,,
PTGER1,ptger1b,12,3,9,80,Class_A (4S0V),align,,
GPR61,gpr61,12,2,9,85.71,Class_A (4S0V),super,,
GPR132,gpr132b,12,1,5,92.31,Class_A,align,,
GPR183,gpr183b,12,1,7,92.31,Class_A,super,,
OPRD1,oprd1b,12,1,5,92.31,Class_A,align,,
PTAFR,ptafr,12,1,5,92.31,Class_A,super,,
VIPR1,vipr1a,12,1,4,92.31,Class_A (4S0V),super,,
ADGRG2,adgrg2a,12,0,3,100,Class_A (4S0V),super,,
FZD7,fzd7a,12,0,11,100,Class_B1,super,,
BDKRB1,bdkrb1,13,5,3,72.22,Class_A (4S0V),align,,
HRH2,hrh2a,13,3,4,81.25,Class_A (4S0V),super,,
CXCR1,cxcr1,13,2,11,86.67,Class_B1,super,,
GPR25,gpr25,13,2,5,86.67,Class_A (4S0V),super,,
OPRD1,oprd1a,13,2,6,86.67,Class_A (4S0V),align,,
GALR2,galr2a,13,1,4,92.86,Class_F,super,,
GPR6,gpr6,13,1,7,92.86,Class_A (4S0V),align,,
LPAR3,lpar3,13,1,7,92.86,Class_A (4S0V),super,,
P2RY13,p2ry13,13,1,4,92.86,Class_A,align,,
GPR22,gpr22b,13,0,9,100,Class_A (4S0V),super,,
LGR4,lgr4,13,0,5,100,Class_A,align,,
OPRM1,oprm1,13,0,1,100,Class_A,align,,
PTH2R,pth2ra,13,0,14,100,Class_B1,align,,
PTH2R,pth2rb,13,0,14,100,Class_B1,align,,
GHRHR,ghrhrb,14,6,4,70,Class_B1,align,,
APLNR,aplnra,14,5,3,73.68,Class_A (4S0V),super,,
CCKAR,cckar,14,4,0,77.78,Class_A,align,,
LTB4R2,ltb4r2a,14,4,3,77.78,Class_A (4S0V),super,,
AGTR2,agtr2,14,3,3,82.35,Class_A (4S0V),align,,
MCHR1,mchr1b,14,3,4,82.35,Class_A (4S0V),super,,
GCGR,gcgra,14,2,10,87.5,Class_B1,align,,
QRFPR,qrfprb,14,2,0,87.5,Class_A,super,,
SSTR5,sstr5,14,2,2,87.5,Class_A,super,,
ACKR3,ackr3a,14,1,2,93.33,Class_A (4S0V),align,,
ADRA1A,adra1ab,14,1,1,93.33,Class_A (4S0V),super,,
MTNR1B,mtnr1ba,14,1,4,93.33,Class_C,super,,
S1PR4,s1pr4,14,1,5,93.33,Class_A (4S0V),align,,
NPBWR2,npbwr2a,14,0,5,100,Class_A,align,,
NPBWR2,npbwr2b,14,0,5,100,Class_A,align,,
P2RY10,p2ry10,14,0,7,100,Class_A (4S0V),align,,
PTH1R,pth1r,14,0,1,100,Class_A (4S0V),super,,
S1PR1,s1pr1,14,0,10,100,Class_C,super,,
GPRC5B,gprc5ba,15,6,3,71.43,Class_A,super,,
GPR78,gpr78a,15,5,7,75,Class_F,super,,
MCHR2,mchr2a,15,4,1,78.95,Class_A (4S0V),super,align and super equal,
GPR18,gpr18,15,3,8,83.33,Class_A (4S0V),super,align and super equal,
KISS1R,kiss1ra,15,3,5,83.33,Class_F,super,,
GPR183,gpr183a,15,2,3,88.24,Class_A,super,,
GPR78,gpr78b,15,2,10,88.24,Class_F,super,,
NPY1R,npy1r,15,2,0,88.24,Class_F,super,,
NTSR1,ntsr1,15,2,5,88.24,Class_A,super,,
PITPNM3,pitpnm3,15,2,1,88.24,Class_A,super,,
ADRA1B,adra1bb,15,1,4,93.75,Class_A (4S0V),super,,
CYSLTR1,cysltr1,15,1,2,93.75,Class_A (4S0V),align,,
HCAR1,hcar1-1,15,1,5,93.75,Class_A (4S0V),super,,
NPFFR1,npffr1l3,15,1,3,93.75,Class_A (4S0V),super,,
S1PR3,s1pr3a,15,1,2,93.75,Class_A,super,,
GABBR1,gabbr1a,15,0,5,100,Class_A (4S0V),super,,
GHSR,ghsra,15,0,4,100,Class_A (4S0V),align,,
NPFFR2,npffr2a,15,0,0,100,Class_A,super,,
NPFFR2,npffr2b,15,0,0,100,Class_A,align,,
GHRHR,ghrhra,16,7,2,69.57,Class_B1,super,,
GPR19,gpr19,16,6,0,72.73,Class_B1,super,,
RGR,rgrb,16,6,1,72.73,Class_A (4S0V),super,,
OPN3,opn3,16,5,7,76.19,Class_B1,super,,
LHCGR,lhcgr,16,3,1,84.21,Class_B1,super,,
GPR34,gpr34a,16,2,3,88.89,Class_A (4S0V),super,align and super equal,
MC1R,mc1r,16,2,1,88.89,Class_C,super,,
NPFFR1,npffr1l1,16,2,0,88.89,Class_A (4S0V),align,,
S1PR5,s1pr5b,16,2,2,88.89,Class_A,super,,
AVPR1A,avpr1aa,16,1,2,94.12,Class_A (4S0V),align,,
CHRM3,chrm3b,16,1,5,94.12,Class_A,align,,
FSHR,fshr,16,1,1,94.12,Class_A,align,,
GPR37,gpr37a,16,1,2,94.12,Class_A (4S0V),super,,
NPFFR1,npffr1l2,16,1,2,94.12,Class_A (4S0V),super,,
NPY4R,npy4r,16,1,4,94.12,Class_A,super,,
P2RY2,p2ry2.1,16,1,2,94.12,Class_A,align,,
PROKR1,prokr1a,16,1,1,94.12,Class_A,super,,
PTGER4,ptger4a,16,1,1,94.12,Class_A,super,,
TSHR,tshr,16,1,3,94.12,Class_A (4S0V),super,,
ADGRL2,adgrl2a,16,0,1,100,Class_A,super,,
EDNRA,ednraa,16,0,1,100,Class_A,align,,
GABBR1,gabbr1b,16,0,4,100,Class_A (4S0V),super,,
GPR17,gpr17,16,0,2,100,Class_A,super,,
GPR37,gpr37b,16,0,3,100,Class_A (4S0V),super,align and super equal,
MC3R,mc3r,16,0,1,100,Class_A,super,,
MC5R,mc5ra,16,0,16,100,Class_F,super,,
PTGER4,ptger4b,16,0,3,100,Class_A,align,,
CXCR3,cxcr3.2,17,7,2,70.83,Class_B1,super,,
F2RL1,f2rl1.1,17,3,1,85,Class_A (4S0V),super,align and super equal,
F2RL1,f2rl1.2,17,3,1,85,Class_A (4S0V),super,align and super equal,
NPY2R,npy2r,17,3,0,85,Class_A (4S0V),super,align and super equal,
NPY2R,npy2rl,17,3,0,85,Class_A (4S0V),super,align and super equal,
TACR1,tacr1a,17,3,1,85,Class_A (4S0V),super,align and super equal,
ADRB3,adrb3b,17,2,0,89.47,Class_A,super,align and super equal,
HCRTR2,hcrtr2,17,2,3,89.47,Class_C,super,,
LPAR6,lpar6b,17,2,2,89.47,Class_A (4S0V),align,,
NMUR1,nmur1a,17,2,0,89.47,Class_A (4S0V),super,,
ADRB1,adrb1,17,1,2,94.44,Class_A,super,align and super equal,
GPR84,gpr84,17,1,8,94.44,Class_A (4S0V),align,,
LPAR4,lpar4,17,1,1,94.44,Class_A (4S0V),super,,
MC5R,mc5rb,17,1,1,94.44,Class_A (4S0V),align,,
SSTR1,sstr1a,17,1,4,94.44,Class_A (4S0V),align,,
ADRA1D,adra1d,17,0,1,100,Class_A,super,align and super equal,
CHRM2,chrm2a,17,0,6,100,Class_C,super,,
GABBR2,gabbr2,17,0,10,100,Class_C,align,,
GHSR,ghsrb,17,0,2,100,Class_A (4S0V),align,,
GPR12,gpr12,17,0,13,100,Class_B1,super,,
GPR139,gpr139,17,0,3,100,Class_A (4S0V),align,,
GPR174,gpr174,17,0,5,100,Class_A (4S0V),align,,
GPR22,gpr22a,17,0,4,100,Class_A,align,,
HTR1F,htr1fa,17,0,3,100,Class_A,align,,
MC4R,mc4r,17,0,5,100,Class_B1,super,,
RXFP2,rxfp2b,17,0,9,100,Class_B1,super,,
TAAR1,taar1b,18,5,2,78.26,Class_A (4S0V),align,,
TACR1,tacr1b,18,3,0,85.71,Class_A (4S0V),super,align and super equal,
GPR45,gpr45,18,2,2,90,Class_A (4S0V),super,align and super equal,
OXTR,oxtra,18,2,1,90,Class_A (4S0V),super,,
SSTR2,sstr2b,18,2,4,90,Class_B1,align,,
ADRA1B,adra1ba,18,1,2,94.74,Class_A,align,,
AVPR1A,avpr1ab,18,1,1,94.74,Class_A (4S0V),super,,
CHRM4,chrm4b,18,1,1,94.74,Class_A (4S0V),align,,
CHRM5,chrm5a,18,1,1,94.74,Class_A (4S0V),align,,
CHRM5,chrm5b,18,1,1,94.74,Class_A (4S0V),align,,
CXCR4,cxcr4a,18,1,4,94.74,Class_B1,super,,
HTR1F,htr1fb,18,1,1,94.74,Class_A,align,,
HTR2B,htr2b,18,1,2,94.74,Class_A (4S0V),super,,
MTNR1B,mtnr1bb,18,1,0,94.74,Class_C,super,,
P2RY2,p2ry2.3,18,1,1,94.74,Class_A,super,,
TBXA2R,tbxa2r,18,1,4,94.74,Class_A (4S0V),align,,
TRHR,trhrb,18,1,1,94.74,Class_A (4S0V),align,,
ADGRL1,adgrl1a,18,0,1,100,Class_A (4S0V),super,,
CHRM2,chrm2b,18,0,3,100,Class_A (4S0V),align,,
CHRM4,chrm4a,18,0,0,100,Class_A,align,,
DRD3,drd3,18,0,1,100,Class_A,align,,
FZD9,fzd9a,18,0,2,100,Class_A (4S0V),super,,
FZD9,fzd9b,18,0,2,100,Class_A (4S0V),super,,
OPN1LW,opn1lw1,18,0,12,100,Class_F,super,,
P2RY12,p2ry12,18,0,2,100,Class_A,super,,
P2RY2,p2ry2.2,18,0,2,100,Class_A,super,,
RXFP2,rxfp2a,18,0,8,100,Class_B1,super,,
TACR2,tacr2,18,0,1,100,Class_A (4S0V),super,align and super equal,
LPAR2,lpar2a,19,4,2,82.61,Class_B1,super,,
FZD8,fzd8b,19,3,1,86.36,Class_A,super,,
CXCR4,cxcr4b,19,2,2,90.48,Class_B1,super,,
PTGER3,ptger3,19,2,2,90.48,Class_A (4S0V),super,,
ADRA1A,adra1aa,19,1,1,95,Class_A (4S0V),align,,
ADRA2C,adra2c,19,1,1,95,Class_A (4S0V),align,,
CASR,casr,19,1,4,95,Class_F,align,,
GRM6,grm6b,19,1,1,95,Class_A,super,,
HTR1D,htr1d,19,1,0,95,Class_A,align,,
P2RY8,p2ry8,19,1,3,95,Class_A (4S0V),align,,
ADRA2B,adra2b,19,0,0,100,Class_A (4S0V),super,,
ADRB2,adrb2b,19,0,1,100,Class_A,super,align and super equal,
DRD2,drd2b,19,0,2,100,Class_A (4S0V),align,,
FZD2,fzd2,19,0,4,100,Class_B1,align,,
HTR1A,htr1aa,19,0,0,100,Class_A (4S0V),align,,
LPAR6,lpar6a,19,0,2,100,Class_A (4S0V),align,,
OPN4,opn4b,19,0,10,100,Class_F,super,,
GALR2,galr2b,20,3,0,86.96,Class_A (4S0V),align,,
CNR2,cnr2,20,2,2,90.91,Class_F,super,,
FZD8,fzd8a,20,2,0,90.91,Class_C,super,,
GPRC5C,gprc5c,20,2,5,90.91,Class_A (4S0V),super,,
ADGRA1,adgra1a,20,1,3,95.24,Class_A (4S0V),super,,
RGR,rgra,20,1,2,95.24,Class_A (4S0V),super,,
RXFP1,rxfp1,20,1,1,95.24,Class_A,super,,
SSTR2,sstr2a,20,1,3,95.24,Class_B1,align,,
ADORA1,adora1b,20,0,2,100,Class_A (4S0V),align,,
CRHR1,crhr1,20,0,9,100,Class_B1,align,,
DRD1,drd1b,20,0,0,100,Class_A,super,align and super equal,
DRD4,drd4b,20,0,0,100,Class_A,align,,
GALR1,galr1a,20,0,0,100,Class_A (4S0V),super,align and super equal,
GPR75,gpr75,20,0,3,100,Class_A (4S0V),super,,
HTR4,htr4,20,0,0,100,Class_A,super,align and super equal,
MTNR1A,mtnr1ab,20,0,5,100,Class_A (4S0V),super,,
SMO,smo,20,0,0,100,Class_A (4S0V),super,,
TRHR,trhra,20,0,0,100,Class_A (4S0V),super,,
ADGRL3,adgrl3.1,20,0,4,100,Class_B1,super,,
GCGR,gcgrb,21,4,1,84,Class_B1,super,align and super equal,
GRM6,grm6a,21,4,2,84,Class_B1,super,,
CALCRL,calcrlb,21,3,1,87.5,Class_B1,super,,
ADORA2A,adora2aa,21,1,2,95.45,Class_A (4S0V),super,,
CALCR,calcr,21,1,2,95.45,Class_B1,super,,
CHRM3,chrm3a,21,1,0,95.45,Class_A,align,,
DRD4,drd4a,21,1,2,95.45,Class_B1,super,,
HRH3,hrh3,21,1,1,95.45,Class_A (4S0V),align,,
CNR1,cnr1,21,0,1,100,Class_C,super,,
DRD1,drd1a,21,0,6,100,Class_B1,super,,
DRD2,drd2a,21,0,1,100,Class_B1,align,,
GPR158,gpr158a,21,0,7,100,Class_B1,super,,
GPR4,gpr4,21,0,1,100,Class_A (4S0V),super,,
HTR1A,htr1ab,21,0,4,100,Class_B1,super,,
HTR7,htr7a,21,0,0,100,Class_A (4S0V),super,align and super equal,
OPN4,opn4b,21,0,3,100,Class_A (4S0V),align,,
S1PR2,s1pr2,21,0,1,100,Class_B1,super,,
CALCRL,calcrla,22,3,0,88,Class_B1,super,,
LPAR2,lpar2b,22,3,0,88,Class_B1,super,,
FZD6,fzd6,22,1,3,95.65,Class_F,align,,
ADGRB3,adgrb3,22,0,3,100,Class_B1,align,,
EDNRB,ednrba,22,0,1,100,Class_A (4S0V),align,,
FZD1,fzd1,22,0,2,100,Class_A (4S0V),super,,
FZD3,fzd3b,22,0,3,100,Class_B1,super,,
RRH,rrh,22,0,2,100,Class_F,super,,
FZD5,fzd5,23,2,3,92,Class_F,align,,
GPR85,gpr85,23,0,2,100,Class_A (4S0V),super,,
GRM1,grm1a,23,0,1,100,Class_C,super,align and super equal,
GRM5,grm5b,23,0,4,100,Class_A (4S0V),super,,
HTR5A,htr5aa,23,0,1,100,Class_B1,super,,
HTR5A,htr5ab,23,0,1,100,Class_B1,super,,
GRM2,grm2b,24,1,0,96,Class_B1,super,,
GRM3,grm3,24,0,2,100,Class_F,super,,
GRM4,grm4,24,0,4,100,Class_B1,super,,
GRM5,grm5a,24,0,3,100,Class_A (4S0V),super,,
LPAR1,lpar1,24,0,3,100,Class_F,super,,
FZD10,fzd10,25,1,2,96.15,Class_F,align,,
RHO,rho,25,1,1,96.15,Class_A (4S0V),align,,
ADGRB1,adgrb1b,25,0,2,100,Class_B1,super,,
FZD3,fzd3a,25,0,1,100,Class_A (4S0V),align,,
GPR173,gpr173,25,0,1,100,Class_A (4S0V),super,,
GRM8,grm8b,25,0,1,100,Class_B1,super,,
P2RY1,p2ry1,25,0,2,100,Class_A (4S0V),super,,
ADGRB1,adgrb1a,26,0,1,100,Class_B1,super,,
GRM8,grm8a,26,0,0,100,Class_B1,super,,
ADCYAP1R1,adcyap1r1a,27,0,1,100,Class_B1,align,,
FZD4,fzd4,27,0,1,100,Class_B1,super,,
